base_product_code,related_product_code,reason,is_mock
688408fe53a62100046f6aab,68840a8553a62100046f6aac,Subí al slime mediano: más volumen y mejor ticket.,true
68840a8553a62100046f6aac,68840b6753a62100046f6aae,Slime grande con muñecos: presentación premium vs mediano.,true
6808cd6961f3ad00041a0974,68782da9575f4d0004f4c0de,Pasá del llavero Capibara al peluche con luz y sonido.,true
688008740416e700046fdf41,6880123c9e463c00046ed0c0,Upgrade a peluche Labubu gigante para mayor ticket.,true
68c965555abc0f0004b75c90,68c979871038dd0004dd2553,Upgrade de toalla de mano a toallón secado rápido.,true
6808d4c13b260c0004dd1a2d,6808d41bf0bafe000465a255,"Upgrade a sábanas 2 1/2 plazas, mayor tamaño.",true
680938dfa4b14c00041e3754,68092a4a7b096f00046bfec4,"Upgrade a gorras de marcas, mayor valor percibido.",true
69a83b623191d7000414d6ef,6808cf9ab81c5f00044d5eb3,"En lugar del tapón suelto, ofrecé el termo completo.",true
6808d144625daf00047e1cc5,6808d212625daf00047e1cc8,"Upgrade a repasador ART 973, mejor presentación.",true
6808cf50f7c7090004d3a961,69b1b5104d443c0004cee344,Variante premium/alternativa de naipes para ampliar surtido.,true
