base_product_code,related_product_code,reason,is_mock
6808cd6961f3ad00041a0974,687fd63de04629000442baa5,Llavero Capibara + monedero Capibara para armar kit novedades.,true
6808cd6961f3ad00041a0974,68782da9575f4d0004f4c0de,Llavero Capibara se complementa con peluche Capibara para la misma línea.,true
687fdb2caafbe40004ebc612,687ffe74d760110004860432,Dispenser Capibara + monopatín Capibara para mesa de juguetes temáticos.,true
68782bc0fa95a9000460d444,688008740416e700046fdf41,Llavero Labubu + Labubu candy para surtido de la misma línea.,true
688008bb0416e700046fdf42,6880123c9e463c00046ed0c0,Labubu en caja + peluche gigante para exhibición escalonada.,true
6808cf9ab81c5f00044d5eb3,69a83b623191d7000414d6ef,Termo acero + tapón de repuesto para kit bazar.,true
6808cf9ab81c5f00044d5eb3,6808d0563197610004e9245b,Termo + botella sport para mix de térmicos.,true
68c965555abc0f0004b75c90,68c979871038dd0004dd2553,Toalla de mano + toallón secado rápido para set blanquería.,true
6808d6acf3178f000406fa67,6808d99fcf60490004aecbe3,Juego toalla/toallón + cortina de baño para pack baño.,true
6808d4c13b260c0004dd1a2d,6808d144625daf00047e1cc5,Sábanas + repasador para surtido textil hogar.,true
6808d41bf0bafe000465a255,6877f20a45cea10004ebc396,Sábanas 2 1/2 + frazada para pack cama completo.,true
680938dfa4b14c00041e3754,680936d8cc71820004c437f6,Gorra infantil + gorra lisa para surtido gorras de verano.,true
688408fe53a62100046f6aab,68840d0fd4311300046763f5,Slime chico + squishy para mesa de juguetes sensoriales.,true
6808cf50f7c7090004d3a961,6808ce8806ca020004cf0e95,Naipes UNO + llaveros animados para combo novedades.,true
685ae40aa9b8640004a8e575,685ae4744e0f7a00049e1f4b,Perfumes árabes Club de Nuit + Amber Oud para línea fragancias.,true
