schema,product_code,nombre,status,source,query,tokin_ref,tokin_name,tokin_brand,image_url,image_url_prev
gonzales,10619,MANI CONFITADO COLOR ARCOR 40X80G,miss,tokin_catalog,ARC-1010619,,,,,
gonzales,10620,MANI CON CHOCOLATE ARCOR 40X80G,miss,tokin_catalog,ARC-1010620,,,,,
gonzales,10631,GARRAPIÑADA ALMENDRA ARCOR 30X100G,miss,tokin_catalog,ARC-1010631,,,,,
gonzales,11823,ROCKLETS BOLLS 30x120G,miss,tokin_catalog,ARC-1011823,,,,,
gonzales,12265,ROCKLETS 3 DESEOS 24X120G,miss,tokin_catalog,ARC-1012265,,,,,
gonzales,12717,BUDIN ARCOR SIN FRUTA 18X215G,miss,tokin_catalog,ARC-1012717,,,,,
gonzales,12718,BUDIN ARCOR CON FRUTA 18X215G,miss,tokin_catalog,ARC-1012718,,,,,
gonzales,12719,BUDIN ARCOR MARMOLADO 18X215G,miss,tokin_catalog,ARC-1012719,,,,,
gonzales,12720,BUDIN BAGLEY SIN FRUTA 18X215G,miss,tokin_catalog,ARC-1012720,,,,,
gonzales,12722,BUDIN BAGLEY CON FRUTA 18X215G,miss,tokin_catalog,ARC-1012722,,,,,
gonzales,12725,PAN DULCE ARCOR VENECIANO 12X400G,miss,tokin_catalog,ARC-1012725,,,,,
gonzales,12726,PAN DULCE ARCOR MADRILEÑO 12X400G,miss,tokin_catalog,ARC-1012726,,,,,
gonzales,12727,PAN DULCE ARCOR CON FRUTA 12x400G,miss,tokin_catalog,ARC-1012727,,,,,
gonzales,12731,PAN DULCE BAGLEY CON FRUTA 12X400G,miss,tokin_catalog,ARC-1012731,,,,,
gonzales,13111,POSTRE AGUILA CHOCO TRIFLE 21x160G,miss,tokin_catalog,ARC-1013111,,,,,
gonzales,13113,POSTRE AGUILA MOUSSE 21x160G,miss,tokin_catalog,ARC-1013113,,,,,
gonzales,13583,POSTRE BONOBON 24X220G,miss,tokin_catalog,ARC-1013583,,,,,
gonzales,13594,CEREAL CHOCOLATOSOS ARCOR 40X70G,miss,tokin_catalog,ARC-1013594,,,,,
gonzales,13635,POSTRE BONOBON TENTACION 24X260G,miss,tokin_catalog,ARC-1013635,,,,,
gonzales,13640,BONOBON SUPERBOLLS 30X80G,miss,tokin_catalog,ARC-1013640,,,,,
gonzales,13642,CRUNCHY MIX AGUILA 30X120G,miss,tokin_catalog,ARC-1013642,,,,,
