product_code,nombre_excel,lineas,comprobantes
1090038,Pan Dulce France c/Frutas x400g (B/8),241,241
4000406,Aceite Doña Norita 900cc (B/12),109,109
1090075,Pan Dulce Principito c/Frutas x400g (B/8),63,63
4040285,Budin 9 de Oro relleno ddl 190g (B/14),49,49
4050347,Harina c/Fibra Pureza 1Kg (B/10),38,38
78607,Gongys Corazon Frut. Vain. 28gr (B/48),22,22
78560,Gongys Frutilla 28gr (B/48),19,19
78561,Gongys Nubecita 28gr (B/48),19,19
370890,Gomas Piñata Pete x700gr (B/8),19,19
79029,Bull Dog Regaliz Frutilla Aceitado x75g (B/24),16,16
1090074,Budin Firenze s/Frutas x200g (B/12),16,16
378621,Yummy Dientes 500gr (B/6),16,16
370899,Gomas Piñata Miel Menta Limon x700gr (B/8),15,15
95041,Yummy Ositos 500gr (B/6),12,12
95059,Yummy Ositos Acidos 500gr (B/6),11,11
95076,Yummy Frutilla c/Crema 12x30gr (B/12),11,11
95044,Yummy Piecitos Acidos 12x30gr (B/12),10,10
10100037,Pan Dulce Firenze s/Frutas x500g (B/8),9,9
1015571,Gom Fantasia Misky 12x25g (B/12),8,8
1090034,Pan Dulce Firenze c/Frutas x500g (B/8),8,8
505,Choc. c/Leche Frases Latte 10x70gr (B/10),8,8
201700698,Papas Murken Rust. Queso y Oreg. 115gr (B/16),8,8
201700699,Papas Murken Rust. Cebolla Car. 115gr (B/16),8,8
201700701,Papas Murken Rust. Albahaca y Oliv. 115gr (B/16),8,8
10100035,Pan Dulce Firenze c/Chips x500g (B/8),7,7
95047,Yummy Frutilla c/Crema 500gr (B/6),6,6
370896,Yummy Huevos Fritos 500gr (B/6),6,6
9000979,Pasta Frola Frut. Rojos Aires de Lujan 50gr (B/40),6,6
201700697,Papas Murken Rust. Sal de Mar 115gr (B/16),6,6
9001316,Barra Smack Bar Rell. Mousse 12ux35gr (B/6),5,5
9001320,Barra Smack Bar Rell. Leche Bañ. 12ux35gr (B/6),5,5
300849,Kinder Bueno Dark 30ux43gr (B/4),4,4
2012,Prime Superfino x3u (D24),4,4
201700705,Papas Murken Clasicas Corte Liso  80gr (B/16),4,4
9000880,Alf. Fulbito rell. chocolate 30gr (B/44),3,3
2004,Prime Texturado x3u (D/24),3,3
201700703,Papas Murken Crema Ciboulette 115gr (B/16),3,3
201700704,Papas Murken Jamon Serrano 115gr (B/16),3,3
201700706,Papas Murken Clasicas Cort. Ame. 80gr (B/16),3,3
9001821,Alfajor Smack Blanco rell. ddl 60gr (B/24),2,2
2002,Prime Extralubricado x3u (D/24),2,2
506,Choc. c/Leche Frases Deport. Latte 10x70gr (B/10),1,1
373436,Past Bull Dog Mix 12x30g Uva (B/12),1,1
373438,Past Bull Dog Mix 12x30g Tutti/Limon (B/12),1,1
9001800,Alfajor Smack rell. choc. y mani 50gr (B/24),1,1
373437,Past Bull Dog Mix 12x30g Uva/Mand (B/12),1,1
2099,Prime Anatomico x3u (D/24),1,1
2006,Prime Tachas x3u (D/24),1,1
2010,Prime Retardante x3u (D/24),1,1
2011,Prime Espermicida x3u (D24),1,1
14106902159983,Aceite de Oliv Terranova Ext. Virg. 500cc (B/12),1,1
