DETALLE,BLT X PL,PRECIO BULTO
AZUCAR DUL C 10 X 1 KG,126,$11.200,00
AZUCAR BELLA VISTA 10X1KG,130,$11.200,00
AZUCAR FRONTERITA 10 X 1 KG,126,$12.500,00
AZUCAR X 50 KG,28,
DISTINGUIDA 3/0 X 25 KG,50,$15.200,00
GRACIELA. REAL 3/0 X 25 KG,50,$15.200,00
GRACIELA. REAL 4/0 X 25 KG,50,$17.500,00
SALVADO X 25 KG,50,$14.500,00
HARINA MORIXES 3/0 10XKG,128,$6.950,00
HARINA MORIXES 4/0 10XKG,128,$9.600,00
HARINA PARA PIZZA MORIXES 10X1KG,128,$10.600,00
HARINA MORIXES LEUDANTE 10 X 1 KG,128,$12.500,00
GRACIELA. REAL 3/0 10 X 1 KG,126,$7.100,00
GRACIELA. REAL 4/0 10 X 1 KG,126,$9.700,00
GRACIELA. REAL LEUDANTE 10 X 1 KG,126,$11.000,00
SAL ENTREFINA X 25KG RINSAL,48,$8.400,00
SAL FINA X 25KG RINSAL,48,$10.000,00
PAN RALLADO/REBOZADOR 5 KG,200,$7.400,00
PAN RALLADO/REBOZADOR 25KG,200,$10.000,00
PAN RALLADO/REBOZADOR 8X1KG,200,$10.000,00
MORIXES AREPA 20 X 1 KG,60,$44.000,00
GRASA X 25 KG,100,$41.172,00
OLEOMARGARINA 1 X 20 KG,50,$81.328,00
