nombre,telefono,telefono_normalizado,email,vat,direccion,zip,ref,lista_precios_odoo,odoo_id,match_status,client_id,client_phone
# 17- BRAVO FLAMINGO,(954) 443-5521,9544435521,superbravoflamingo@gmail.com,,"12141 Pembroke Rd,, Pembroke Pines",33025,,Price List (USD),469,existente,57,19544435521
-4 DEGREES CAFE,(561) 956-4465,5619564465,RIKIN@CAFE-4DEGREES.COM,,"2650 S Military Trail
Unit 28, West Palm Beach",33415,,Default (USD) (USD),470,existente,83,15619564465
1-Bite LLC,(786) 294-8109,7862948109,fmerlino@1-bite.com,,"14260 sw 136th street, unit 18, Miami",33186,,Default (USD) (USD),471,existente,67,17862948109
3 BF Group LLC,,,,,"2827 NW 3rd Ave - Unit 108, Miami",33127,,Default (USD) (USD),13879,sin_telefono,,
3 BF Group LLC,,,,,"2827 NW 3rd Ave - Unit 108, Miami",33127,,Default (USD) (USD),13878,sin_telefono,,
A Family - Brickell,+1 305-801-1684,13058011684,,,"41 SE 5th St, Miami",33131,,Default (USD) (USD),13872,existente,84,113058011684
A Marshall Catering & Take Out II,(954) 889-4410,9548894410,"contact@marshallmeals.com,mercedes@franciscomeals.com",,"613/615 E Atlantic Blvd, Pompano Beach",33060,,Marshall's & Francisco's (USD),472,existente,27,19548894410
A- Family Winwood,+1 786-510-3374,17865103374,,,"2827 NW 3 ave, Miami",33127,,Default (USD) (USD),13898,nuevo,,
A-Family Winwood,+1 786-510-3374,17865103374,,,"2827 NW 3 AVE, MIAMI",33127,,Default (USD) (USD),13899,nuevo,,
ACAI MASTERS,(305) 775-3414,3057753414,tanyavdenis@gmail.com,,"8842 SW 129th St, Miami",33176,,Default (USD) (USD),475,existente,68,13057753414
ACAI TASTY,(786) 646-7438,7866467438,,,"1024 71st STREET, MIAMI BEACH",33141,,Default (USD) (USD),476,existente,58,17866467438
AGUAMIEL - Doral,,,admin@aguamiel.us,,"8455 NW 53rd St, Doral",33166,,Default (USD) (USD),480,sin_telefono,,
AGUAMIEL LLC,(786) 650-4076,7866504076,admin@aguamiel.us,,"10 Village Green Way, Key Biscayne",33149,,Default (USD) (USD),481,existente,34,17866504076
Aguamiel KB,,,,,"10 Village Green Way, Key Biscayne",33149,,Default (USD) (USD),13829,sin_telefono,,
ALWAYS FOOD LLC,,,,,"30 N GOULD ST, SHERIDAN",82801,,Default (USD) (USD),483,sin_telefono,,
"AMAZONIC VENTURES, LLC - NATIVO (CUSTOMER)",(786) 552-2582,7865522582,groovemanto@gmail.com,,"888 Biscayne Blvd, Miami",33132,,Default (USD) (USD),484,existente,99,17865522582
AMIGOS DELI LLC,(786) 920-7180,7869207180,mvilledah@gmail.com,,"312 N Federal Hwy, Hallandale Beach",33009,,Default (USD) (USD),486,existente,147,17869207180
