product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
101085,ZEOCAR Lustre a Maquina(2) x 1lt (78),26234.41,458,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR Lustre,0.36,,Producto ZEOCAR Lustre a Maquina(2) x 1lt (78) (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101088,ZEOCAR PLATO SOPORTE 5/8 (111),20611.62,74,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR PLATO,0.23,,Producto ZEOCAR PLATO SOPORTE 5/8 (111) (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101021,KIT REPAR ZEOPARCH ZEOCAR X4L,111908.38,370,4,unidad,unidad,categoria_1,,,,KIT|KIT REPAR,0.34,,Producto KIT REPAR ZEOPARCH ZEOCAR X4L (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101074,MASILLA ZEOFLEX X 0.700 Kgs,18413.19,436,1,unidad,unidad,categoria_1,,,,MASILLA|MASILLA ZEOFLEX,0.36,,Producto MASILLA ZEOFLEX X 0.700 Kgs (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101072,"MASILLA UNICA X 1,45 LT.",26141.34,187,1,unidad,unidad,categoria_1,,,,MASILLA|MASILLA UNICA,0.38,,"Producto MASILLA UNICA X 1,45 LT. (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101073,"MASILLA UNICA X 2,25 LT.",40088.67,116,1,unidad,unidad,categoria_1,,,,MASILLA|MASILLA UNICA,0.36,,"Producto MASILLA UNICA X 2,25 LT. (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101027,PASTA PULIR ZEOCAR GRUESA AL AGUA X480CC,9150.69,117,480,unidad,unidad,categoria_1,,,,PASTA|PASTA PULIR,0.14,,Producto PASTA PULIR ZEOCAR GRUESA AL AGUA X480CC (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101104,RESINA POLIESTER 1 LT.,27103.18,226,1,unidad,unidad,categoria_1,,,,RESINA|RESINA POLIESTER,0.11,,Producto RESINA POLIESTER 1 LT. (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101090,"ZEOCAR DISCO G ESPUMA 5"" AMARILLO (132)",18859.07,412,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR DISCO,0.21,,"Producto ZEOCAR DISCO G ESPUMA 5"" AMARILLO (132) (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101092,"ZEOCAR DISCO .LANA 8"" P/ABROJO (120)",22226.76,192,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR DISCO,0.39,,"Producto ZEOCAR DISCO .LANA 8"" P/ABROJO (120) (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101093,"ZEOCAR DISCO ESPUMA. 8"" DOBLE 5/8(131)",38930.51,242,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR DISCO,0.34,,"Producto ZEOCAR DISCO ESPUMA. 8"" DOBLE 5/8(131) (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101091,"ZEOCAR DISCO LANA 5"" T-240 (123)",18859.07,182,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR DISCO,0.23,,"Producto ZEOCAR DISCO LANA 5"" T-240 (123) (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101083,ZEOCAR Paño Microfibra 40x 50 cm (90),8621.29,391,40,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR Paño,0.29,,Producto ZEOCAR Paño Microfibra 40x 50 cm (90) (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101087,"ZEOCAR PLATO SOPORTE 5"" M-14 (114)",21620.58,147,1,unidad,unidad,categoria_1,,,,ZEOCAR|ZEOCAR PLATO,0.16,,"Producto ZEOCAR PLATO SOPORTE 5"" M-14 (114) (categoria_1)",https://via.placeholder.com/150,true,true,categoria_1
101144,ESPATULA DE PLASTICO MEDIANA,1219.1,206,1,unidad,unidad,categoria_1,,,,ESPATULA|ESPATULA DE,0.29,,Producto ESPATULA DE PLASTICO MEDIANA (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
101028,KIT REPAR ZEOPARCH ZEOCAR X190CC,12944.96,221,190,unidad,unidad,categoria_1,,,,KIT|KIT REPAR,0.13,,Producto KIT REPAR ZEOPARCH ZEOCAR X190CC (categoria_1),https://via.placeholder.com/150,true,true,categoria_1
