product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
AFAP0001,Branca 750cc,18000.0,72,1,unidad,unidad,Destilados,,,,Branca 750cc|AFAP0001,0.34,0.0,Branca 750cc. Producto de Destilados en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Destilados
AFBE0001,Coca Cola x 1.5Lt,4502.92,11,1,unidad,unidad,Bebida,,,,Coca Cola x 1.5Lt|AFBE0001,0.93,0.0,Coca Cola x 1.5Lt. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBE0002,Fanta Naranja x 1.5Lt,4238.04,10,1,unidad,unidad,Bebida,,,,Fanta Naranja x 1.5Lt|AFBE0002,0.25,0.0,Fanta Naranja x 1.5Lt. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBE0004,Coca Zero x 1.5Lt,4502.92,6,1,unidad,unidad,Bebida,,,,Coca Zero x 1.5Lt|AFBE0004,0.93,0.0,Coca Zero x 1.5Lt. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBE0013,Schweppes Pomelo x 1.5Lt,3827.91,6,1,unidad,unidad,Bebida,,,,Schweppes Pomelo x 1.5Lt|AFBE0013,0.12,0.0,Schweppes Pomelo x 1.5Lt. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBE0015,Coca Zero Lata x 354CC,1900.0,7,1,unidad,unidad,Bebida,,,,Coca Zero Lata x 354CC|AFBE0015,0.93,0.0,Coca Zero Lata x 354CC. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBE0018,Sprite Lata x 354CC,1400.0,11,1,unidad,unidad,Bebida,,,,Sprite Lata x 354CC|AFBE0018,0.86,0.0,Sprite Lata x 354CC. Bebida disponible en tienda Al Fuego Valle Escondido.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bebida
AFBO0020,Saint Felicien Cabernet-Merlot x 750cc,13500.0,15,1,unidad,unidad,Bodega,,,,Saint Felicien Cabernet-Merlot x 750cc|AFBO0020,0.88,0.0,Saint Felicien Cabernet-Merlot x 750cc. Producto de Bodega en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bodega
AFBO0022,DV Catena Malbec Malbec 750cc,25200.0,22,1,unidad,unidad,Bodega,,,,DV Catena Malbec Malbec 750cc|AFBO0022,0.92,0.0,DV Catena Malbec Malbec 750cc. Producto de Bodega en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bodega
AFBO0023,Saint Felicien Malbec 750cc,13500.0,26,1,unidad,unidad,Bodega,,,,Saint Felicien Malbec 750cc|AFBO0023,0.88,0.0,Saint Felicien Malbec 750cc. Producto de Bodega en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bodega
AFBO0047,Campari x 750cc,9500.0,24,1,unidad,unidad,Destilados,,,,Campari x 750cc|AFBO0047,0.33,0.0,Campari x 750cc. Producto de Destilados en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Destilados
AFBO0060,Corona Bot x 330CC,4000.0,20,1,unidad,unidad,Cervezas,,,,Corona Bot x 330CC|AFBO0060,0.29,0.0,Corona Bot x 330CC. Producto de Cervezas en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Cervezas
AFBO0067,DV Catena Cab-Malb x 750cc,22000.0,22,1,unidad,unidad,Bodega,,,,DV Catena Cab-Malb x 750cc|AFBO0067,0.92,0.0,DV Catena Cab-Malb x 750cc. Producto de Bodega en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Bodega
AFBO0202,Enemigo malbec x750,31600.0,1,1,unidad,unidad,Al Fuego,,,,Enemigo malbec x750|AFBO0202,0.92,0.0,Enemigo malbec x750. Producto de Al Fuego en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Al Fuego
AFBO0203,Enemigo cab-franc x750,31600.0,3,1,unidad,unidad,Al Fuego,,,,Enemigo cab-franc x750|AFBO0203,0.92,0.0,Enemigo cab-franc x750. Producto de Al Fuego en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Al Fuego
AFCE0009,Costillitas Ribbs,14501.58,4,1,unidad,unidad,Cerdo,,,,Costillitas Ribbs|AFCE0009,0.29,0.0,Costillitas Ribbs. Producto de Cerdo en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Cerdo
AFCE0102,Matambre de cerdo Magret,27654.17,11,1,unidad,unidad,Al Fuego,,,,Matambre de cerdo Magret|AFCE0102,0.9,0.0,"Matambre de cerdo Magret. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Al Fuego
AFCE0103,Bondiola Magret EV,14417.27,5,1,unidad,unidad,Al Fuego,,,,Bondiola Magret EV|AFCE0103,0.94,0.0,"Bondiola Magret EV. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Al Fuego
