base_product_code,related_product_code,reason,is_mock
AFCE0102,AFLA0074,Disfruta de un delicioso matambre de cerdo con una provoleta parrillera Formagge.,true
AFTE0005,AFBO0022,Un bife de chorizo combina perfectamente con un DV Catena Malbec.,true
AFDE0201,AFLA0078,El chimichurri es el acompañante ideal para un provolone patagónico Formagge.,true
AFDE0034,AFCE0103,La sal marina entrefina es perfecta para realzar el sabor de una bondiola Magret.,true
AFBO0023,AFDE0040,Un Saint Felicien Malbec va de maravilla con ajíes dulces en vinagre.,true
AFDE0035,AFTE0010,La sal marina fina es ideal para sazonar un vacío a la parrilla.,true
AFDE0041,AFCE0111,Las berenjenas en escabeche son un excelente acompañamiento para morcilla bombom.,true
AFDE0155,AFTE0006,El hummus Baba Ganush es un gran dip para disfrutar con un ojo de bife.,true
AFDE0082,AFDE0083,El chocolate con leche de Lindt es un excelente postre después de una buena comida.,true
AFDE0212,AFDE0211,Prueba las Pringles de cebolla con las Pringles de queso para un snack variado.,true
AFDE0170,AFDE0171,El aceite de oliva Arauco es ideal para acompañar una cena con su versión de 500ml.,true
