product_code,lista_id,precio
AFAP0001,lista-01-base,18000.0
AFAP0001,lista-02-15up,20700.0
AFAP0001,lista-03-10off,16200.0
AFAP0001,lista-04-15off,15300.0
AFBE0001,lista-01-base,4502.92
AFBE0001,lista-02-15up,5178.36
AFBE0001,lista-03-10off,4052.63
AFBE0001,lista-04-15off,3827.48
AFBE0002,lista-01-base,4238.04
AFBE0002,lista-02-15up,4873.75
AFBE0002,lista-03-10off,3814.24
AFBE0002,lista-04-15off,3602.33
AFBE0004,lista-01-base,4502.92
AFBE0004,lista-02-15up,5178.36
AFBE0004,lista-03-10off,4052.63
AFBE0004,lista-04-15off,3827.48
AFBE0013,lista-01-base,3827.91
AFBE0013,lista-02-15up,4402.1
AFBE0013,lista-03-10off,3445.12
AFBE0013,lista-04-15off,3253.72
AFBE0015,lista-01-base,1900.0
AFBE0015,lista-02-15up,2185.0
AFBE0015,lista-03-10off,1710.0
AFBE0015,lista-04-15off,1615.0
AFBE0018,lista-01-base,1400.0
AFBE0018,lista-02-15up,1610.0
AFBE0018,lista-03-10off,1260.0
AFBE0018,lista-04-15off,1190.0
AFBO0020,lista-01-base,13500.0
AFBO0020,lista-02-15up,15525.0
AFBO0020,lista-03-10off,12150.0
AFBO0020,lista-04-15off,11475.0
AFBO0022,lista-01-base,25200.0
AFBO0022,lista-02-15up,28980.0
AFBO0022,lista-03-10off,22680.0
AFBO0022,lista-04-15off,21420.0
AFBO0023,lista-01-base,13500.0
AFBO0023,lista-02-15up,15525.0
AFBO0023,lista-03-10off,12150.0
AFBO0023,lista-04-15off,11475.0
AFBO0047,lista-01-base,9500.0
AFBO0047,lista-02-15up,10925.0
AFBO0047,lista-03-10off,8550.0
AFBO0047,lista-04-15off,8075.0
AFBO0060,lista-01-base,4000.0
AFBO0060,lista-02-15up,4600.0
AFBO0060,lista-03-10off,3600.0
AFBO0060,lista-04-15off,3400.0
AFBO0067,lista-01-base,22000.0
AFBO0067,lista-02-15up,25300.0
AFBO0067,lista-03-10off,19800.0
AFBO0067,lista-04-15off,18700.0
AFBO0202,lista-01-base,31600.0
AFBO0202,lista-02-15up,36340.0
AFBO0202,lista-03-10off,28440.0
AFBO0202,lista-04-15off,26860.0
AFBO0203,lista-01-base,31600.0
AFBO0203,lista-02-15up,36340.0
AFBO0203,lista-03-10off,28440.0
AFBO0203,lista-04-15off,26860.0
AFCE0009,lista-01-base,14501.58
AFCE0009,lista-02-15up,16676.82
AFCE0009,lista-03-10off,13051.42
AFCE0009,lista-04-15off,12326.34
AFCE0102,lista-01-base,27654.17
AFCE0102,lista-02-15up,31802.3
AFCE0102,lista-03-10off,24888.75
AFCE0102,lista-04-15off,23506.04
AFCE0103,lista-01-base,14417.27
AFCE0103,lista-02-15up,16579.86
AFCE0103,lista-03-10off,12975.54
AFCE0103,lista-04-15off,12254.68
AFCE0108,lista-01-base,13940.78
AFCE0108,lista-02-15up,16031.9
AFCE0108,lista-03-10off,12546.7
AFCE0108,lista-04-15off,11849.66
AFCE0111,lista-01-base,10377.11
AFCE0111,lista-02-15up,11933.68
AFCE0111,lista-03-10off,9339.4
AFCE0111,lista-04-15off,8820.54
AFCV0002,lista-01-base,2900.0
AFCV0002,lista-02-15up,3335.0
AFCV0002,lista-03-10off,2610.0
AFCV0002,lista-04-15off,2465.0
AFDE0033,lista-01-base,3760.0
AFDE0033,lista-02-15up,4324.0
AFDE0033,lista-03-10off,3384.0
AFDE0033,lista-04-15off,3196.0
AFDE0034,lista-01-base,2600.0
AFDE0034,lista-02-15up,2990.0
AFDE0034,lista-03-10off,2340.0
AFDE0034,lista-04-15off,2210.0
AFDE0035,lista-01-base,2548.78
AFDE0035,lista-02-15up,2931.1
AFDE0035,lista-03-10off,2293.9
AFDE0035,lista-04-15off,2166.46
AFDE0040,lista-01-base,6500.0
AFDE0040,lista-02-15up,7475.0
AFDE0040,lista-03-10off,5850.0
AFDE0040,lista-04-15off,5525.0
AFDE0041,lista-01-base,7000.0
AFDE0041,lista-02-15up,8050.0
AFDE0041,lista-03-10off,6300.0
AFDE0041,lista-04-15off,5950.0
AFDE0042,lista-01-base,7419.6
AFDE0042,lista-02-15up,8532.54
AFDE0042,lista-03-10off,6677.64
AFDE0042,lista-04-15off,6306.66
AFDE0044,lista-01-base,7297.6
AFDE0044,lista-02-15up,8392.24
AFDE0044,lista-03-10off,6567.84
AFDE0044,lista-04-15off,6202.96
AFDE0055,lista-01-base,6900.0
AFDE0055,lista-02-15up,7935.0
AFDE0055,lista-03-10off,6210.0
AFDE0055,lista-04-15off,5865.0
AFDE0063,lista-01-base,14300.0
AFDE0063,lista-02-15up,16445.0
AFDE0063,lista-03-10off,12870.0
AFDE0063,lista-04-15off,12155.0
AFDE0082,lista-01-base,17200.0
AFDE0082,lista-02-15up,19780.0
AFDE0082,lista-03-10off,15480.0
AFDE0082,lista-04-15off,14620.0
AFDE0083,lista-01-base,17700.0
AFDE0083,lista-02-15up,20355.0
AFDE0083,lista-03-10off,15930.0
AFDE0083,lista-04-15off,15045.0
AFDE0087,lista-01-base,7865.6
AFDE0087,lista-02-15up,9045.44
AFDE0087,lista-03-10off,7079.04
AFDE0087,lista-04-15off,6685.76
AFDE0088,lista-01-base,7100.0
AFDE0088,lista-02-15up,8165.0
AFDE0088,lista-03-10off,6390.0
AFDE0088,lista-04-15off,6035.0
AFDE0091,lista-01-base,5206.39
AFDE0091,lista-02-15up,5987.35
AFDE0091,lista-03-10off,4685.75
AFDE0091,lista-04-15off,4425.43
AFDE0110,lista-01-base,8000.0
AFDE0110,lista-02-15up,9200.0
AFDE0110,lista-03-10off,7200.0
AFDE0110,lista-04-15off,6800.0
AFDE0115,lista-01-base,12700.0
AFDE0115,lista-02-15up,14605.0
AFDE0115,lista-03-10off,11430.0
AFDE0115,lista-04-15off,10795.0
AFDE0150,lista-01-base,6300.0
AFDE0150,lista-02-15up,7245.0
AFDE0150,lista-03-10off,5670.0
AFDE0150,lista-04-15off,5355.0
AFDE0152,lista-01-base,5500.0
AFDE0152,lista-02-15up,6325.0
AFDE0152,lista-03-10off,4950.0
AFDE0152,lista-04-15off,4675.0
AFDE0153,lista-01-base,5500.0
AFDE0153,lista-02-15up,6325.0
AFDE0153,lista-03-10off,4950.0
AFDE0153,lista-04-15off,4675.0
AFDE0155,lista-01-base,5500.0
AFDE0155,lista-02-15up,6325.0
AFDE0155,lista-03-10off,4950.0
AFDE0155,lista-04-15off,4675.0
AFDE0170,lista-01-base,22300.0
AFDE0170,lista-02-15up,25645.0
AFDE0170,lista-03-10off,20070.0
AFDE0170,lista-04-15off,18955.0
AFDE0171,lista-01-base,42000.0
AFDE0171,lista-02-15up,48300.0
AFDE0171,lista-03-10off,37800.0
AFDE0171,lista-04-15off,35700.0
AFDE0173,lista-01-base,28900.0
AFDE0173,lista-02-15up,33235.0
AFDE0173,lista-03-10off,26010.0
AFDE0173,lista-04-15off,24565.0
AFDE0174,lista-01-base,12700.0
AFDE0174,lista-02-15up,14605.0
AFDE0174,lista-03-10off,11430.0
AFDE0174,lista-04-15off,10795.0
AFDE0201,lista-01-base,9700.0
AFDE0201,lista-02-15up,11155.0
AFDE0201,lista-03-10off,8730.0
AFDE0201,lista-04-15off,8245.0
AFDE0210,lista-01-base,5600.0
AFDE0210,lista-02-15up,6440.0
AFDE0210,lista-03-10off,5040.0
AFDE0210,lista-04-15off,4760.0
AFDE0211,lista-01-base,6300.0
AFDE0211,lista-02-15up,7245.0
AFDE0211,lista-03-10off,5670.0
AFDE0211,lista-04-15off,5355.0
AFDE0212,lista-01-base,6300.0
AFDE0212,lista-02-15up,7245.0
AFDE0212,lista-03-10off,5670.0
AFDE0212,lista-04-15off,5355.0
AFDE0233,lista-01-base,6300.0
AFDE0233,lista-02-15up,7245.0
AFDE0233,lista-03-10off,5670.0
AFDE0233,lista-04-15off,5355.0
AFDS0017,lista-01-base,15000.0
AFDS0017,lista-02-15up,17250.0
AFDS0017,lista-03-10off,13500.0
AFDS0017,lista-04-15off,12750.0
AFEL0050,lista-01-base,3000.0
AFEL0050,lista-02-15up,3450.0
AFEL0050,lista-03-10off,2700.0
AFEL0050,lista-04-15off,2550.0
AFEL0051,lista-01-base,10000.0
AFEL0051,lista-02-15up,11500.0
AFEL0051,lista-03-10off,9000.0
AFEL0051,lista-04-15off,8500.0
AFLA0070,lista-01-base,9400.0
AFLA0070,lista-02-15up,10810.0
AFLA0070,lista-03-10off,8460.0
AFLA0070,lista-04-15off,7990.0
AFLA0074,lista-01-base,12000.0
AFLA0074,lista-02-15up,13800.0
AFLA0074,lista-03-10off,10800.0
AFLA0074,lista-04-15off,10200.0
AFLA0075,lista-01-base,7200.0
AFLA0075,lista-02-15up,8280.0
AFLA0075,lista-03-10off,6480.0
AFLA0075,lista-04-15off,6120.0
AFLA0076,lista-01-base,7200.0
AFLA0076,lista-02-15up,8280.0
AFLA0076,lista-03-10off,6480.0
AFLA0076,lista-04-15off,6120.0
AFLA0077,lista-01-base,7200.0
AFLA0077,lista-02-15up,8280.0
AFLA0077,lista-03-10off,6480.0
AFLA0077,lista-04-15off,6120.0
AFLA0078,lista-01-base,8000.0
AFLA0078,lista-02-15up,9200.0
AFLA0078,lista-03-10off,7200.0
AFLA0078,lista-04-15off,6800.0
AFLA0080,lista-01-base,9690.0
AFLA0080,lista-02-15up,11143.5
AFLA0080,lista-03-10off,8721.0
AFLA0080,lista-04-15off,8236.5
AFTE0002,lista-01-base,32990.0
AFTE0002,lista-02-15up,37938.5
AFTE0002,lista-03-10off,29691.0
AFTE0002,lista-04-15off,28041.5
AFTE0003,lista-01-base,22990.0
AFTE0003,lista-02-15up,26438.5
AFTE0003,lista-03-10off,20691.0
AFTE0003,lista-04-15off,19541.5
AFTE0005,lista-01-base,43990.0
AFTE0005,lista-02-15up,50588.5
AFTE0005,lista-03-10off,39591.0
AFTE0005,lista-04-15off,37391.5
AFTE0006,lista-01-base,44990.0
AFTE0006,lista-02-15up,51738.5
AFTE0006,lista-03-10off,40491.0
AFTE0006,lista-04-15off,38241.5
AFTE0007,lista-01-base,40990.0
AFTE0007,lista-02-15up,47138.5
AFTE0007,lista-03-10off,36891.0
AFTE0007,lista-04-15off,34841.5
AFTE0007 (C),lista-01-base,40990.0
AFTE0007 (C),lista-02-15up,47138.5
AFTE0007 (C),lista-03-10off,36891.0
AFTE0007 (C),lista-04-15off,34841.5
AFTE0010,lista-01-base,23990.0
AFTE0010,lista-02-15up,27588.5
AFTE0010,lista-03-10off,21591.0
AFTE0010,lista-04-15off,20391.5
AFTE0011,lista-01-base,14990.0
AFTE0011,lista-02-15up,17238.5
AFTE0011,lista-03-10off,13491.0
AFTE0011,lista-04-15off,12741.5
AFTE0012,lista-01-base,39990.0
AFTE0012,lista-02-15up,45988.5
AFTE0012,lista-03-10off,35991.0
AFTE0012,lista-04-15off,33991.5
AFTE0020,lista-01-base,10990.0
AFTE0020,lista-02-15up,12638.5
AFTE0020,lista-03-10off,9891.0
AFTE0020,lista-04-15off,9341.5
AFTE0020 (C),lista-01-base,10990.0
AFTE0020 (C),lista-02-15up,12638.5
AFTE0020 (C),lista-03-10off,9891.0
AFTE0020 (C),lista-04-15off,9341.5
AFTE0023,lista-01-base,35990.0
AFTE0023,lista-02-15up,41388.5
AFTE0023,lista-03-10off,32391.0
AFTE0023,lista-04-15off,30591.5
AFTE0029,lista-01-base,18990.0
AFTE0029,lista-02-15up,21838.5
AFTE0029,lista-03-10off,17091.0
AFTE0029,lista-04-15off,16141.5
