base_product_code,related_product_code,reason,is_mock
1079,118,Combo Pantene: shampoo Liso Infinito 200 ml + acondicionador Keratina 250 ml para góndola de cabello.,true
116,118,Misma línea Keratina: shampoo 300 ml con acondicionador 250 ml. El PdV suele pedir los dos.,true
1453,1451,Pantene Restauración: shampoo 400 ml con su acondicionador par. Reposición de cuidado capilar.,true
116,17500,Shampoo Keratina 300 ml + crema de peinar Pantene 300 ml. Cierra el ritual de cabello.,true
1880,8105,Pasta Oral-B 150 g + cepillo 123 x1. Combo bucal de kiosco.,true
1192,6320,Pañal Pampers Baby Dry G x8 + toallitas Pampers x48. Pedido típico de bebé.,true
1088,2413,Always día 8 un + protectores diarios x40. Completa el lineal de cuidado femenino.,true
1642,20193,Magistral limón 500 ml + esponja Mortimer. Lavavajillas y utensilio van juntos.,true
18342,18387,Zorro jabón líquido 800 ml + suavizante 900 ml. Combo ropa de almacén.,true
20102,20032,Poett bebé 900 ml + Ayudín lavandina 1 L. Limpieza de piso y desinfección.,true
550,1003,Prestobarba Ultra Grip + espuma Foamy 312 g. Afeitado desechable de mostrador.,true
10053,508,Fernet 1882 750 ml + Coca-Cola 1.5 L. El combo clásico de kiosco.,true
11012,18707,Yerba Taragüi 1 kg + galletitas Okebon. Pedido de almacén de la mañana.,true
18240,18260,Plusbelle shampoo 1 L + acondicionador Brillo 1 L. Par PLB de lineal económico.,true
