pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493517000001,Kiosco 24 Horas Nueva Córdoba,2026-05-30 08:00:00,confirmado,11077.75,Pedido historico mock - Kiosco 24 Horas Nueva Córdoba,true,false,2
P-00002,25001,5493517000001,Kiosco 24 Horas Nueva Córdoba,2026-06-16 09:19:07,entregado,18327.34,Pedido historico mock - Kiosco 24 Horas Nueva Córdoba,true,false,2
P-00003,25002,5493517000002,Maxikiosco Plaza España,2026-06-06 11:11:23,entregado,21917.79,Pedido historico mock - Maxikiosco Plaza España,true,false,3
P-00004,25002,5493517000002,Maxikiosco Plaza España,2026-06-23 12:30:30,facturado,13229.44,Pedido historico mock - Maxikiosco Plaza España,true,false,3
P-00005,25003,5493517000003,Autoservicio Chacabuco,2026-06-13 14:22:46,facturado,9904.13,Pedido historico mock - Autoservicio Chacabuco,true,false,4
P-00006,25003,5493517000003,Autoservicio Chacabuco,2026-06-30 15:41:53,confirmado,30580.04,Pedido historico mock - Autoservicio Chacabuco,true,false,4
P-00007,25004,5493517000004,Almacén Doña Rosa,2026-06-20 17:33:09,confirmado,135410.32,Pedido historico mock - Almacén Doña Rosa,true,false,1
P-00008,25004,5493517000004,Almacén Doña Rosa,2026-07-07 08:52:16,entregado,29605.28,Pedido historico mock - Almacén Doña Rosa,true,false,1
P-00009,25005,5493517000005,Kiosco El Palacio,2026-06-27 10:44:32,entregado,19791.57,Pedido historico mock - Kiosco El Palacio,true,false,2
P-00010,25005,5493517000005,Kiosco El Palacio,2026-07-14 11:03:39,facturado,80565.86,Pedido historico mock - Kiosco El Palacio,true,false,2
P-00011,25006,5493517000006,Despensa Bv. Chacabuco,2026-07-04 13:55:55,facturado,8830.31,Pedido historico mock - Despensa Bv. Chacabuco,true,false,3
P-00012,25006,5493517000006,Despensa Bv. Chacabuco,2026-07-21 14:14:02,confirmado,14300.70,Pedido historico mock - Despensa Bv. Chacabuco,true,false,3
P-00013,25007,5493517000007,Maxikiosco Nueva Córdoba,2026-07-11 16:06:18,confirmado,32786.41,Pedido historico mock - Maxikiosco Nueva Córdoba,true,false,4
P-00014,25007,5493517000007,Maxikiosco Nueva Córdoba,2026-07-28 17:25:25,entregado,24186.26,Pedido historico mock - Maxikiosco Nueva Córdoba,true,false,4
P-00015,25008,5493517000008,Kiosco Los Andes,2026-07-18 09:17:41,entregado,19852.73,Pedido historico mock - Kiosco Los Andes,true,false,1
P-00016,25008,5493517000008,Kiosco Los Andes,2026-08-04 10:36:48,facturado,65227.32,Pedido historico mock - Kiosco Los Andes,true,false,1
P-00017,25009,5493517000009,Autoservicio Plaza España,2026-07-25 12:28:04,facturado,12531.64,Pedido historico mock - Autoservicio Plaza España,true,false,2
P-00018,25009,5493517000009,Autoservicio Plaza España,2026-08-11 13:47:11,confirmado,14017.87,Pedido historico mock - Autoservicio Plaza España,true,false,2
P-00019,25010,5493517000010,Despensa Alberdi,2026-08-01 15:39:27,confirmado,11554.70,Pedido historico mock - Despensa Alberdi,true,false,3
P-00020,25010,5493517000010,Despensa Alberdi,2026-08-18 16:58:34,entregado,73060.40,Pedido historico mock - Despensa Alberdi,true,false,3
P-00021,25011,5493517000011,Maxikiosco Colón,2026-08-08 08:50:50,entregado,32085.90,Pedido historico mock - Maxikiosco Colón,true,false,4
P-00022,25011,5493517000011,Maxikiosco Colón,2026-08-25 09:09:57,facturado,10306.80,Pedido historico mock - Maxikiosco Colón,true,false,4
P-00023,25012,5493517000012,Almacén Don Pedro,2026-08-15 11:01:13,facturado,9263.30,Pedido historico mock - Almacén Don Pedro,true,false,1
P-00024,25012,5493517000012,Almacén Don Pedro,2026-06-01 12:20:20,confirmado,44829.80,Pedido historico mock - Almacén Don Pedro,true,false,1
P-00025,25013,5493517000013,Kiosco Heladera Llena,2026-08-22 14:12:36,confirmado,15492.24,Pedido historico mock - Kiosco Heladera Llena,true,false,2
P-00026,25013,5493517000013,Kiosco Heladera Llena,2026-06-08 15:31:43,entregado,48631.66,Pedido historico mock - Kiosco Heladera Llena,true,false,2
P-00027,25014,5493517000014,Autoservicio Colón,2026-08-29 17:23:59,entregado,77507.71,Pedido historico mock - Autoservicio Colón,true,false,3
P-00028,25014,5493517000014,Autoservicio Colón,2026-06-15 08:42:06,facturado,41634.96,Pedido historico mock - Autoservicio Colón,true,false,3
P-00029,25015,5493517000015,Despensa El Familiar,2026-06-05 10:34:22,facturado,55597.52,Pedido historico mock - Despensa El Familiar,true,false,4
P-00030,25015,5493517000015,Despensa El Familiar,2026-06-22 11:53:29,confirmado,1734.11,Pedido historico mock - Despensa El Familiar,true,false,4
P-00031,25016,5493517000016,Maxikiosco Alto Alberdi,2026-06-12 13:45:45,confirmado,16744.36,Pedido historico mock - Maxikiosco Alto Alberdi,true,false,1
P-00032,25016,5493517000016,Maxikiosco Alto Alberdi,2026-06-29 14:04:52,entregado,19978.70,Pedido historico mock - Maxikiosco Alto Alberdi,true,false,1
P-00033,25017,5493517000017,Kiosco La Estación Colón,2026-06-19 16:56:08,entregado,48712.73,Pedido historico mock - Kiosco La Estación Colón,true,false,2
P-00034,25017,5493517000017,Kiosco La Estación Colón,2026-07-06 17:15:15,facturado,34355.73,Pedido historico mock - Kiosco La Estación Colón,true,false,2
P-00035,25018,5493517000018,Almacén Doña Marta,2026-06-26 09:07:31,facturado,17226.40,Pedido historico mock - Almacén Doña Marta,true,false,3
P-00036,25018,5493517000018,Almacén Doña Marta,2026-07-13 10:26:38,confirmado,119231.34,Pedido historico mock - Almacén Doña Marta,true,false,3
