id,product_code,nombre,stock,created_at,updated_at,unidades_por_bulto,descripcion,rotacion_index,unidad_minima_de_venta,en_catalogo,image_url,bultos_por_pallet,cantidad_minima_de_venta,umv_tipo,unidades_por_display,displays_por_bulto,motivo_baja,mental_priority,es_pesable,peso_referencia_kg,pallets_por_equipo,caja_semantica,is_mock
926,9,QUESO CREMOSO CAJA x4 HORMAS,-3757,2026-03-18 13:08:38.704824+00,2026-04-14 17:52:21.549609+00,1,"Descubre el delicioso sabor del Queso Cremoso Caja x4 Hormas, un favorito en constante tendencia que encantará a tus clientes. Cada caja incluye 4 hormas, ideales para compartir o disfrutar en cualquier momento. Este producto es perfecto para el mostrador, atrayendo a los amantes del queso que buscan calidad y frescura. Su excelente margen de ganancia y alta rotación garantizan que tus ventas se disparen. ¡No dejes pasar la oportunidad de ofrecer una delicia que se vende sola!",0.053324705135333196059921334608588949777185916900634765625,unidad,true,,,1,unidad,4,,,0,false,,,,false
927,7,QUESO POR SALUT CAJA x2 HORMAS,17,2026-03-18 13:08:39.948169+00,2026-04-14 17:52:03.167917+00,1,"Descubre la delicia del QUESO POR SALUT en su práctica CAJA x2 HORMAS, ideal para los amantes del buen sabor. Este queso, versátil y cremoso, se convierte en la estrella de cualquier plato o aperitivo. Cada caja contiene 2 hormas perfectas para el exhibidor. Su fácil manejo y atractivo sabor aseguran una rápida rotación en tu negocio, atrayendo a clientes en busca de un producto premium. ¡Aumenta tus ventas y deleita a tus consumidores con esta irresistible opción!",0.0023667348691125793258560605636375839821994304656982421875,unidad,true,,,1,unidad,2,,,0,false,,,,false
928,11,QUESO POR SALUT LIGHT CAJA x2 HORMAS,56,2026-03-18 13:08:41.153469+00,2026-04-14 17:51:48.42352+00,1,"¡Descubre el delicioso y cremoso QUESO POR SALUT LIGHT! Perfecto para quienes buscan un sabor auténtico sin sacrificar su bienestar. Cada caja contiene 2 hormas, ideales para una presentación atractiva en tu kiosco. Su formato práctico facilita la venta por porciones, atrayendo a un público que busca opciones saludables. Al tenerlo en tu mostrador, maximizarás la rotación y disfrutarás de un margen atractivo, impulsando compras por impulso. ¡No te quedes sin este clásico en tu oferta!",0.003488545158277306205973911090723049710504710674285888671875,unidad,true,,,1,unidad,2,,,0,false,,,,false
929,211,QUESO AZUL HORMA,112,2026-03-18 13:08:42.362953+00,2026-03-18 13:27:35.411044+00,1,"Descubre el irresistible sabor del Queso Azul Horma, un deleite gourmet que conquistará a tus clientes. Presentado en un formato de 12 displays de 200 g, es perfecto para atraer a los amantes del queso y los entusiastas de la cocina. Su distintivo sabor y textura lo convierten en un complemento ideal para ensaladas, pastas y tablas de quesos. Ofrece un alto margen de ganancia y es perfecto para compras por impulso, asegurando así una rápida rotación en tu negocio. ¡Haz que tu mostrador brille!",0.003954211226045181,unidad,true,,,1,unidad,,,,0,false,,,,false
930,1334,QUESO AZUL MEDIA HORMA Caja  x 4 unidades,-8,2026-03-18 13:08:43.594859+00,2026-05-04 17:48:29.977076+00,1,"Descubre el irresistible sabor del QUESO AZUL MEDIA HORMA, un deleite gourmet que conquistará a tus clientes. Presentado en una caja de 4 unidades, es perfecto para exhibir en tu tienda y atraer a los amantes del buen comer. Este queso, ideal para ensaladas, salsas o aperitivos, garantiza una alta rotación gracias a su demanda creciente entre los foodies. Aprovecha su margen atractivo y dale un impulso a tus ventas con este producto clave en el mostrador. ¡No te lo pierdas!",0.000412588808991162987217793389760345235117711126804351806640625,unidad,false,,,1,unidad,4,,,0,false,,,,false
931,195,QUESO CRIOLLO CAJA ESPECIAL,43,2026-03-18 13:08:44.814168+00,2026-05-04 17:48:29.977076+00,1,"Descubre el irresistible sabor del Queso Criollo Caja Especial, el aliado perfecto para tus clientes que buscan un deleite auténtico en cada bocado. Este formato incluye 12 cajas, cada una con 24 unidades, ideal para maximizar tu inventario. Su versatilidad lo convierte en una opción ideal para acompañar comidas o disfrutar solo. Además, su atractivo sabor asegura una alta rotación y margen de ganancia. ¡Impulsa tus ventas y deleita a tu público con este delicioso queso!",0.00008702650711569414,unidad,false,,,1,unidad,,,,0,false,,,,false
932,1095,QUESO CRIOLLO CAJA x2 HORMAS,84,2026-03-18 13:08:46.050533+00,2026-04-14 17:51:16.437247+00,1,"Descubre el delicioso Queso Criollo, un clásico que no puede faltar en tu kiosco. Presentado en una práctica caja con 2 hormas, este queso combina sabor auténtico y frescura, ideal para acompañar tus platos o disfrutar solo. Cada caja contiene 12 unidades, perfectas para exhibir en tu mostrador. Su atractivo sabor lo convierte en un producto de compra por impulso, asegurando un alto margen de ganancia y atrayendo a un público amante de la gastronomía local. ¡No te lo pierdas!",0.0033591934727862323740998906629329212591983377933502197265625,unidad,true,,,1,unidad,2,,,0,false,,,,false
933,1098,QUESO DANBO CAJA X 4 HORMAS,232,2026-03-18 13:08:47.279981+00,2026-04-14 17:51:04.251627+00,1,"Descubre el irresistible Queso Danbo, un deleite lácteo que conquista paladares. Presentado en una caja conveniente con 4 hormas, es ideal para exhibir en tu kiosco o almacén. Este queso versátil, perfecto para sándwiches o picadas, atrae a un amplio público, desde familias hasta jóvenes en busca de un snack delicioso. Su rápido consumo asegura una alta rotación y un margen atractivo, convirtiéndolo en una compra por impulso que no puede faltar en tu mostrador. ¡Impulsa tus ventas con Danbo!",0.04087412275127444427624823219957761466503143310546875,unidad,true,,,1,unidad,4,,,0,false,,,,false
934,104,QUESO FONTINA HORMA,92,2026-03-18 13:08:48.50187+00,2026-03-18 13:55:13.467998+00,1,"Descubre el irresistible Queso Fontina Horma, un deleite cremoso que hará que tus clientes vuelvan por más. Presentado en un formato de 6 hormas de 1 kg, es ideal para kioscos y almacenes que buscan diversificar su oferta. Su versatilidad en la cocina y su sabor único lo convierten en un favorito para los amantes del buen comer. Además, su alta demanda asegura una rotación rápida, impulsando tus ventas y maximizando tu margen de ganancia. ¡No dejes pasar esta oportunidad!",0.002844281688705117,unidad,true,,,1,unidad,,,,0,false,,,,false
935,1096,QUESO HOLANDA CAJA x2 HORMAS,91,2026-03-18 13:08:49.722313+00,2026-04-14 17:50:51.70098+00,1,"Descubre el irresistible sabor del Queso Holanda, un clásico que nunca pasa de moda. Presentado en una práctica caja que contiene 2 hormas, es perfecto para exhibir y atraer a tus clientes. Su versatilidad lo convierte en una opción ideal para sándwiches, ensaladas y tablas de quesos. Con un excelente margen de ganancia y alta rotación, este producto es una compra por impulso asegurada que cautivará a todos. ¡Aprovecha la oportunidad de potenciar tus ventas con este delicioso queso!",0.0014535505819890238814184879601043576258234679698944091796875,unidad,true,,,1,unidad,2,,,0,false,,,,false
