base_product_code,related_product_code,reason,is_mock
2014,4502,Agua y soda Marinaro: el combo de mesa para la despensa.,true
3012,7301,Cola Marinaro con maní Semix: el pedido típico de kiosco.,true
3012,7331,Cola Marinaro con papas Quento BBQ para la reunión.,true
3016,4501,"Granadina Marinaro con soda 2,25: para armar tragos en el PdV.",true
5022,7331,Quilmes lata con papas BBQ: cerveza + snack de mostrador.,true
7638,4501,Smirnoff lata con soda Marinaro para el mixer.,true
777,7301,Puna Malbec con maní Semix: vinoteca + picada.,true
9473,2014,Yerba Verdeflor con agua Marinaro: el mate no se arma solo.,true
2518,3012,Sierra de los Padres manzana con Cola Marinaro: las dos exclusivas juntas.,true
3000,7301,"Coca 1,5 con maní Semix para el kiosco.",true
7205,2518,Terma citrus con Sierra de los Padres: amargo + agua saborizada.,true
8019,7331,Sidra Luna Negra con papas BBQ para eventos.,true
