base_product_code,related_product_code,reason,is_mock
LYL-0001,LYL-0015,Disfruta de una gaseosa Secco con un jugo Tutti para un sabor refrescante.,true
LYL-0004,LYL-0002,Combina la gaseosa Secco con la Winner's para una fiesta perfecta.,true
LYL-0005,LYL-0016,Acompaña tu gaseosa Secco con una chocolatada Mr. Choco para un snack delicioso.,true
LYL-0011,LYL-0017,La bebida isotónica Sporting es ideal para refrescarte después de un chocolate Mr. Choco.,true
LYL-0019,LYL-0020,Aprovecha el agua mineral Bio Balance con el agua mineral Bio Sports para mantenerte hidratado.,true
LYL-0023,LYL-0024,Disfruta de un energizante Speed en lata con su pack para tener siempre a mano.,true
LYL-0034,LYL-0035,El Fernet ONLY combina perfectamente con el Fernet ONLY FORTE para un trago más intenso.,true
LYL-0046,LYL-0047,El vino Trumpeter Malbec es ideal para acompañar el vino DADA Malbec en tu cena.,true
LYL-0052,LYL-0053,El espumante DADA Extra Brut es perfecto para brindar con el espumante DADA 7 Maracuyá.,true
LYL-0115,LYL-0116,Combina el gin Prófugo Mendocina Picante con el London Dry para un cóctel único.,true
LYL-0241,LYL-0242,Las galletas rellenas de chocolate son ideales para acompañar las obleas de chocolate y frutilla.,true
LYL-0250,LYL-0251,Galletitas de 5 semillas son perfectas para disfrutar con las galletitas de salvado.,true
LYL-0274,LYL-0275,Las tostadas saladas son ideales para acompañar las tostadas con gluten.,true
LYL-0287,LYL-0288,El puré de tomates Noel es perfecto para usar con el atún NOEL en tus recetas.,true
