familia,producto_referencia,presentacion,precio_ars,fuente_url,fecha_consulta
levadura_fresca,Calsa Virgen levadura fresca,500 g,5700,https://distribuidoraalpes.com.ar/producto/levadura-prensada-virgen-x-500-grs-calsa/,2026-09-25
levadura_seca,Mauripan levadura seca instantánea,500 g,12320,https://tienda.elnuevoemporio.com.ar/tienda/otros-alimentos/levadura-seca-instantanea-mauripan-x-500gr,2026-09-25
margarina,MTK margarina,20 kg,144780,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/,2026-09-25
grasa,Pastelgras grasa refinada,20 kg,128999.92,https://distribuidorachichi.com.ar/productos/77-grasa-pastelgras-x-20-kg.html,2026-09-25
premezcla,Premezcla pan de queso Calsa,2 kg,21072.61,https://www.distribuidorajumbalay.com.ar/levadura-premezcla-pan-de-queso-x-2-kg-calsa--det--PRM000,2026-09-25
mejorador,Mejorador Fórmula Uno Calsa,10 kg,82000,https://sapore.com.ar/s-0101610-mejorador-formula-1-calsa-x-10-kg/,2026-09-25
crema,Crema pastelera Calsa,3 kg,33178,https://marinosrl.com.ar/producto/400_crema-pastelera-calsa-(en-frio)-x-3-kg,2026-09-25
esencia,Esencia de vainilla Calsa,5 l,15000.01,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html,2026-09-25
kolaroma,Kolaroma Calsa,1 l,26600,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html,2026-09-25
extracto_malta,Extracto de malta Calsa,28 kg,174000,https://distribuidorachichi.com.ar/productos/74-0101710_EXTRACTO-DE-MALTA-CALSA-X-28-K.html,2026-09-25
