codigo_producto,nombre,descripcion
PAN-PAN-01735,Baguettin Blanco 115gr 40u.,"Baguettín congelado, Baguettin Blanco 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades."
PAN-PAN-01736,Baguettin Salvado 115gr 40u.,"Baguettín congelado, Baguettin Salvado 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades."
PAN-PAN-01819,Chipa Congelada 15grs 1KG,"Chipá congelada, Chipa Congelada 15grs 1KG, marca CORDOBA PAN, 15g."
PAN-PAN-01725,Chipa Congelada 15grs caja x 5KG,"Chipá congelada, Chipa Congelada 15grs caja x 5KG, marca CORDOBA PAN, 15g."
PAN-PAN-01724,"Chipaca Congelada 50grs 7,5KG","Chipá congelada, Chipaca Congelada 50grs 7,5KG, marca CORDOBA PAN, 50g."
PAN-PAN-01739,Criollo Comun 50grs x210u.,"Criollo congelado, Criollo Comun 50grs x210u, marca CORDOBA PAN, 50g, x210 unidades."
PAN-PAN-01722,Criollo Hojaldre 50grs x 10.5 kg x caja,"Criollo congelado, Criollo Hojaldre 50grs x 10.5 kg x caja, marca CORDOBA PAN, 50g, venta por kg."
PAN-PAN-01741,Factura Carasucia Congelada x192u,"Factura congelada, Factura Carasucia Congelada x192u, marca CORDOBA PAN, x192 unidades."
PAN-COR-01877,Factura Persianita c/ Crema x120u 50gr,"Factura congelada, Factura Persianita c/ Crema x120u 50gr, marca CORDOBA PAN, 50gr, x120 unidades."
PAN-PAN-01740,Factura Persianita Congelada 60grs 120u.,"Factura congelada, Factura Persianita Congelada 60grs 120u, marca CORDOBA PAN, 60g, x120 unidades."
PAN-PAN-01810,FACTURAS INDEPENDENCIA SIN CREMA,"Factura congelada FACTURAS INDEPENDENCIA SIN CREMA, marca CORDOBA PAN, categoría Panificados Pasteleria, presentación de catálogo."
PAN-COR-01964,Mini Criollo de Hojaldre x384u,"Criollo congelado, Mini Criollo de Hojaldre x384u, marca CORDOBA PAN, x384 unidades."
PAN-PAN-01812,Pan de Molde blanco caja x 6 unidades x 540 gr,"Pan congelado, Pan de Molde blanco caja x 6 unidades x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades."
PAN-COR-01878,Pan de Molde Multiceral caja x 6 un x 540 gr,"Pan congelado, Pan de Molde Multiceral caja x 6 un x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades."
PAN-PAN-01793,Pan Frances Crudo Congelado caja x14kg,"Pan congelado, Pan Frances Crudo Congelado caja x14kg, marca CORDOBA PAN, 14kg."
PAN-COR-20001,Pan Mignon Crudo Congelado caja x14kg,"Pan congelado, Pan Mignon Crudo Congelado caja x14kg, marca CORDOBA PAN, 14kg."
PAN-PAN-01813,Pan Molde Salvado caja x 6 unid x 540 gr,"Pan congelado, Pan Molde Salvado caja x 6 unid x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades."
PAN-PAN-01744,Super Criollo Hojaldre 65grs 120u.,"Criollo congelado, Super Criollo Hojaldre 65grs 120u, marca CORDOBA PAN, 65g, x120 unidades."
PAN-PAN-01730,Super Medialuna de Manteca 50grs 120u.,"Medialuna congelada, Super Medialuna de Manteca 50grs 120u, marca CORDOBA PAN, 50g, x120 unidades."
PAN-PAN-01729,Tortilla de Hojaldre 50grs 200u.,"Producto congelado, Tortilla de Hojaldre 50grs 200u, marca CORDOBA PAN, 50g, x200 unidades."
PAN-COR-01954,Tortilla Tucumana x 60 gr caja x 160 unidades,"Producto congelado, Tortilla Tucumana x 60 gr caja x 160 unidades, marca CORDOBA PAN, 60 gr, x160 unidades."
PAN-PAN-01594,Vigilantes x 162u. unidades 40 grs.,"Producto congelado, Vigilantes x 162u. unidades 40 grs, marca CORDOBA PAN, 40 g, x162 unidades."
SIN-CRE-02000,Baguette de Jamon y Queso x unidad,"Baguettín congelado, Baguette de Jamon y Queso x unidad, marca CRESFOOD."
SIN-CRE-01969,Caja Chipa de 25g x 25 bolsas de 10u c/u Sin TACC,"Chipá congelada, Caja Chipa de 25g x 25 bolsas de 10u c/u Sin TACC, marca CRESFOOD, 25g, x10 unidades."
SIN-CRE-01971,Chipa x 10u de 25g Sin TACC,"Chipá congelada, Chipa x 10u de 25g Sin TACC, marca CRESFOOD, 25g, x10 unidades."
SIN-CRE-01984,Criollo Cocido de 100g Sin TACC x 5 bolsas de 3u,"Criollo congelado, Criollo Cocido de 100g Sin TACC x 5 bolsas de 3u, marca CRESFOOD, 100g, x3 unidades."
SIN-CRE-02002,Criollo crudo x 30u de 1kg SIN TACC,"Criollo congelado, Criollo crudo x 30u de 1kg SIN TACC, marca CRESFOOD, 1kg, x30 unidades."
SIN-CRE-01965,Medialuna Cocida x 2u de 120g CAJA DE 30u Sin TACC,"Medialuna congelada, Medialuna Cocida x 2u de 120g CAJA DE 30u Sin TACC, marca CRESFOOD, 120g, x2 unidades."
SIN-CRE-01999,Medialuna Cruda de 60g x 12u,"Medialuna congelada, Medialuna Cruda de 60g x 12u, marca CRESFOOD, 60g, x12 unidades."
SIN-CRE-01985,Medialunas Cocidas de 120g Sin TACC x 5 bolsas de 2u,"Medialuna congelada, Medialunas Cocidas de 120g Sin TACC x 5 bolsas de 2u, marca CRESFOOD, 120g, x2 unidades."
SIN-CRE-02001,Palmeritas precocidas x12u de 250g SIN TACC,"Producto sin TACC, Palmeritas precocidas x12u de 250g SIN TACC, marca CRESFOOD, 250g, x12 unidades."
