"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock (Ventas en Villa Carlos Paz)";SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo;Visibilidad
jabon-sri-sri-ayurvedico-con-limon-y-tea-tree-1iipc;"Jabón Sri Sri Ayurvédico Con Limón Y Tea Tree";"Belleza y Cuidado Personal > Higiene Personal > Jabones";;;;;;;6,636.21;;0.10;4.00;8.00;5.00;50;6300;8904150190104;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Zona de aplicación:</b> Cuerpo/Rostro
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Beneficios:</b> Antibacterial
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Sri Sri Tattva
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de alcohol:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Está dermatológicamente testeado:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es hipoalergénico:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es orgánico:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es apto para bebés:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es vegano:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Línea:</b> Ayurvedico
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Componente destacado:</b> Limón y Tea Tree
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Modelo:</b> Limón y Tea Tree
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso de la unidad:</b> 75 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con fragancia:</b> Sí
                                </li>                    </ul>
                        </div>";"Antibacterial, Ayurvédico, Jabón, SriSri, Vegano";"Jabón Ayurvédico Sri Sri Limón y Tea Tree 75g";"Comprá Jabón Ayurvédico Sri Sri Limón y Tea Tree 75g en Kiki Market. Antibacterial, vegano y apto para bebés. Calidad online garantizada.";"Sri Sri Tattva";SI;;;;2,885.31;Visible
skarchitos-copos-de-maiz-azucarados-cereal-granix-500-grs-bzqzc;"Skarchitos Copos De Maíz Azucarados Cereal Granix 500 Grs";"Alimentos y Bebidas, Alimentos y Bebidas > Almacén > Cereales y Barras";;;;;;;5,882.46;;0.55;22.00;18.00;4.00;632;6127;7790045000624;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Alimentos Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre del cereal:</b> Copos de Maiz
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de azúcar agregada:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de conservantes:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es apta para bebés:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es integral:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Línea:</b> Skarchitos
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso neto:</b> 500 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de envase:</b> Bolsa
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con proteína:</b> No
                                </li>                    </ul>
                        </div>";"azucarado, cereal, copos, desayuno, Granix";"Skarchitos Copos de Maíz Azucarados Granix 500g";"Comprá Skarchitos Copos de Maíz Azucarados Granix 500g en Kiki Market. Disfrutá un cereal dulce y crocante para tus desayunos.";"Alimentos Granix";SI;;;;2,557.59;Visible
galletitas-granix-de-salvado-sin-sal-tripack-690gr-106r4;"Galletitas Granix De Salvado Sin Sal Tripack 690gr";"Tu dieta > Sin sal agregada, Alimentos y Bebidas > Almacén > Galletitas";Sabor;Salvado;;;;;7,015.69;;0.69;14.00;18.00;12.00;56;6125;7790045826101;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Características de la galletita:</b> 3en1,Crackers Sin sal,Saludable
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipos de galletita:</b> Galletitas de salvado
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Salvado
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es producto dietético:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Fabricante:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre:</b> Salvado Sin Sal Agregada
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con sal:</b> No
                                </li>                    </ul>
                        </div>";"crackers, dietético, Granix, saludable, salvado";"Galletitas Granix de Salvado Sin Sal Tripack 690gr";"Comprá Galletitas Granix de Salvado Sin Sal Tripack 690gr en Kiki Market. Saludables y sin sal agregada para tu dieta diaria.";Granix;SI;;;;3,050.30;Visible
bocaditos-granix-cereal-relleno-chocolate-blanco-180g-13otm;"Bocaditos Granix Cereal Relleno Chocolate Blanco 180g";"Alimentos y Bebidas, Tu dieta, Alimentos y Bebidas > Almacén > Cereales y Barras";Sabor;Chocolate;;;;;5,169.23;;0.18;18.00;15.00;3.00;0;6124;7790045825470;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre del cereal:</b> Bocaditos
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Chocolate
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de azúcar agregada:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de conservantes:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es apta para bebés:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es integral:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Línea:</b> Bocaditos
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso neto:</b> 180 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de envase:</b> Bolsa
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con proteína:</b> No
                                </li>                    </ul>
                        </div>";"bolsa, cereal, chocolate, Granix, snack";"Bocaditos Granix Cereal Relleno Chocolate Blanco 180g";"Comprá Bocaditos Granix Cereal Relleno Chocolate Blanco 180g en Kiki Market. Disfrutá sabor y calidad en cada bocado.";Granix;SI;;;;2,247.49;Visible
galletitas-granix-salvado-tripack-x-720grs-in0wu;"Galletitas Granix Salvado Tripack X 720grs";"Alimentos y Bebidas > Almacén > Galletitas";;;;;;;7,923.96;;0.72;23.00;20.00;9.00;111;6129;7790045826231;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Características de la galletita:</b> Crakers
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipos de galletita:</b> Galletitas de salvado
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es producto dietético:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso de la unidad:</b> 720 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con sal:</b> Sí
                                </li>                    </ul>
                        </div>";"crackers, galletitas, Granix, saladas, salvado";"Galletitas Granix Salvado Tripack 720g - Crackers con Sal";"Comprá Galletitas Granix Salvado Tripack 720g en Kiki Market. Crackers saladas con salvado, ideales para tu snack saludable.";Granix;SI;;;;3,445.20;Visible
granix-copos-de-maiz-sin-azucar-bolsa-3-kg-r2rto;"Granix Copos De Maíz Sin Azúcar Bolsa 3 Kg";"Alimentos y Bebidas > Almacén > Cereales y Barras";Sabor;Maíz;;;;;25,904.67;;3.00;35.00;20.00;10.00;46;6128;7790045001232;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre del cereal:</b> Copos de Maíz
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Maíz
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de azúcar agregada:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de conservantes:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es apta para bebés:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es integral:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso neto:</b> 3 kg
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de envase:</b> Bolsa
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con proteína:</b> No
                                </li>                    </ul>
                        </div>";"bebés, copos, Granix, maíz, sinAzúcar";"Granix Copos de Maíz Sin Azúcar 3 Kg Bolsa";"Comprá Granix Copos de Maíz Sin Azúcar 3 Kg Bolsa en Kiki Market. Ideal para bebés y sin azúcares agregados.";Granix;SI;;;;11,023.80;Visible
galletitas-granix-sandwich-tripack-x-600grs-1v3id;"Galletitas Granix Sándwich Tripack X 600grs";"Alimentos y Bebidas > Almacén > Galletitas";Sabor;Agua;;;;;6,066.94;;0.60;20.00;15.00;7.00;0;6126;7790045001379;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Características de la galletita:</b> 3en1,Sandwich Crackers
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipos de galletita:</b> Galletitas de agua
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Agua
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es producto dietético:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre:</b> Sandwich
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso de la unidad:</b> 600 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con sal:</b> Sí
                                </li>                    </ul>
                        </div>";"dietético, galletitas, Granix, sandwich, snack";"Galletitas Granix Sándwich Tripack 600g - Snack Dietético";"Comprá Galletitas Granix Sándwich Tripack 600g en Kiki Market. Disfrutá un snack dietético y sabroso para cualquier momento.";Granix;SI;;;;2,637.80;Visible
granix-aritos-cereal-frutal-bajo-en-sodio-bolsa-350g-5lu7f;"Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g";"Alimentos y Bebidas, Alimentos y Bebidas > Almacén > Cereales y Barras";Sabor;Cereal;;;;;6,719.75;;0.35;20.00;15.00;5.00;525;6123;7790045826972;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Granix
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Nombre del cereal:</b> Aritos
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Cereal
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de azúcar agregada:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de conservantes:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es apta para bebés:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es integral:</b> No
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Línea:</b> Aritos
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso neto:</b> 350 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de envase:</b> Bolsa
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Con proteína:</b> No
                                </li>                    </ul>
                        </div>";"bajoSodio, cereal, frutal, Granix, snack";"Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g";"Comprá Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g en Kiki Market. Disfrutá un desayuno delicioso y saludable.";Granix;SI;;;;2,921.63;Visible
aceite-de-oliva-virgen-laur-cruz-de-piedra-organico-500ml-1jted;"Aceite De Oliva Virgen Laur Cruz De Piedra Organico 500ml";"Alimentos y Bebidas > Aceites y Vinagres, Tu dieta > Orgánico, Alimentos y Bebidas > Almacén > Aceites y Vinagres";;;;;;;25,771.50;;0.55;28.00;6.50;6.50;90;6120;7798159942489;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Laur
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de aceite para cocina:</b> Oliva virgen extra orgánico
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Tipo de envase:</b> Botella
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Usos recomendados:</b> Cocina
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Volumen de la unidad:</b> 500 mL
                                </li>                    </ul>
                        </div>";"aceite, Laur, oliva, orgánico, virgen";"Aceite de Oliva Virgen Extra Orgánico Laur 500ml";"Comprá Aceite de Oliva Virgen Extra Orgánico Laur 500ml en Kiki Market. Ideal para cocina saludable y libre de gluten.";Laur;SI;;;;11,205.00;Visible
pasta-dental-sudanta-ultra-blanqueadora-200g-srisri-tattva-12fre;"Pasta Dental Sudanta Ultra Blanqueadora - 200g Srisri Tattva";"Belleza y Cuidado Personal > Higiene Personal > Cuidado Bucal";;;;;;;13,164.69;;0.22;16.00;4.50;3.50;0;6068;8904150196250;SI;NO;"
                        <div style=""padding: 10px; border-radius: 5px;"">
                            <p style=""color: #666;"">.</p>

                            <h3 style=""color: #777;"">Detalles Técnicos:</h3>
                            <ul style=""list-style-type: none; padding: 0;"">                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Beneficios:</b> Blanqueamiento,Protección antibacterial
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Marca:</b> Sri Sri Tattva
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Sabor:</b> Piña y menta
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Es libre de gluten:</b> Sí
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Modelo:</b> Ultra Blanqueadora
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Volumen neto:</b> 200 mL
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Peso neto:</b> 200 g
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato de venta:</b> Unidad
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Formato del dentrífico:</b> Crema
                                </li>                        <li style=""padding: 5px 0; border-bottom: 1px solid #eee;"">
                                    <b>Unidades por pack:</b> 1
                                </li>                    </ul>
                        </div>";"antibacterial, blanqueadora, menta, sinGluten, Sudanta";"Pasta Dental Sudanta Ultra Blanqueadora 200g Sri Sri Tattva";"Comprá Pasta Dental Sudanta Ultra Blanqueadora 200g Sri Sri Tattva en Kiki Market. Blanquea y protege con sabor piña y menta.";"Sri Sri Tattva";SI;;;;5,723.78;Visible
