codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
6009,12 X Barras Laddubar Sin Tacc Sabor Menta Granizada,"12 X Barras Laddubar Sin Tacc Sabor Menta Granizada, almacén.","Barras de cereal sabor menta granizada, marca Laddubar, pack x12, sin TACC.",barritas|barras de cereal|snacks,ACTUALIZAR
1281,Calcio 500 Natufarma X 50 Comprimidos Sabor No,"Calcio 500 Natufarma X 50 Comprimidos Sabor No, nutricionales, suplemento de calcio.","Calcio 500 comprimidos, marca Natufarma, sin sabor, envase de 50 unidades.",calcio|comprimidos|suplemento|sin tacc,ACTUALIZAR
1287,Body Fort Hair Cabello Natufarma x30 sin Sabor,"Body Fort Hair Cabello Natufarma x30 sin Sabor, nutricionales, nutricionales.","Suplemento dietario en cápsulas para el cabello, marca Natufarma, pack x30.",suplemento|cápsulas|vitaminas|minerales,ACTUALIZAR
1288,Natulax Plus Cascara Sagrada Natufarma x40 sin Sabor,"Natulax Plus Cascara Sagrada Natufarma x40 sin Sabor, nutricionales, nutricionales.","Cáscara sagrada Natulax Plus, marca Natufarma, formato x40 comprimidos, sin sabor.",laxante|cápsulas|comprimidos,ACTUALIZAR
1305,Magnesio Sport x30 Comprimidos Natufarma sin Sabor,"Magnesio Sport x30 Comprimidos Natufarma sin Sabor, nutricionales, suplemento de magnesio.","Magnesio en comprimidos, marca Natufarma, presentación x30 comprimidos, sin sabor.",magnesio|comprimidos|suplemento|sin sabor,ACTUALIZAR
1785,Garcinia Cambogia Geonat x60 sin Sabor,"Garcinia Cambogia Geonat x60 sin Sabor, marca Provefarma, nutricionales, nutricionales.","Garcinia cambogia en cápsulas, marca Geonat, pack de 60 unidades, sin sabor.",garcinia|cápsulas|suplemento|dietario|sin tacc|vegano,ACTUALIZAR
3559,Colágeno Hidrolizado Agial Natufarma 300 g. Sabor Limón,"Colágeno Hidrolizado Agial Natufarma 300 g. Sabor Limón, nutricionales, nutricionales.","Colágeno hidrolizado en polvo sabor limón, marca Natufarma, 300 g.",colágeno|suplemento|polvo|colágeno en polvo,ACTUALIZAR
4742,Citrato de Magnesio Vitamin Way 180g Sabor Limón,"Citrato de Magnesio Vitamin Way 180g Sabor Limón, nutricionales, suplemento de magnesio.","Citrato de magnesio en polvo sabor limón, marca Vitamin Way, 180g.",magnesio|citrato de magnesio|suplemento de magnesio,ACTUALIZAR
5024,Multi Magnesio Vitamin Way 220g Sabor Limón,"Multi Magnesio Vitamin Way 220g Sabor Limón, nutricionales, suplemento de magnesio.","Suplemento de magnesio en polvo sabor limón, marca Vitamin Way, 220 g.",magnesio|suplemento|polvo|vitaminas,ACTUALIZAR
5025,Vitamina C Vitamin Way Frasco x195g Sabor Naranja,"Vitamina C Vitamin Way Frasco x195g Sabor Naranja, nutricionales, nutricionales.","Vitamina C en polvo sabor naranja, marca Vitamin Way, frasco de 195 g.",vitamina c|suplemento|vitamina|polvo,ACTUALIZAR
5027,Magnesio Quelato Vitamin Way x30 Cápsulas Sabor Neutro,"Magnesio Quelato Vitamin Way x30 Cápsulas Sabor Neutro, nutricionales, suplemento de magnesio.","Magnesio quelato en cápsulas sabor neutro, marca Vitamin Way, pack x30.",magnesio|capsulas|suplemento,ACTUALIZAR
5069999,Citrato de Magnesio Gomitas Masticables Sabor Uva Provefarma,"Citrato de Magnesio Gomitas Masticables Sabor Uva Provefarma, marca Dr Food, nutricionales.","Citrato de magnesio gomitas masticables sabor uva, marca Provefarma.",gomitas|masticables|suplemento,ACTUALIZAR
5292,Colágeno Beauty Flex Vitamin Way Bebible 360g Sabor Limón,"Colágeno Beauty Flex Vitamin Way Bebible 360g Sabor Limón, nutricionales.","Colágeno hidrolizado sabor limón, marca Vitamin Way, formato bebible 360 g.",colageno|colageno hidrolizado|colageno limon|colageno bebible,ACTUALIZAR
5304999,Vitamina D3 Geonat x30 Cápsulas sin Sabor,"Vitamina D3 Geonat x30 Cápsulas sin Sabor, nutricionales, nutricionales, presentación individual.","Vitamina D3 en cápsulas, marca Geonat, presentación de 30 cápsulas sin sabor.",vitamina d3|cápsulas|suplemento dietario,ACTUALIZAR
5470,Citrato de Magnesio Vitamin Way 180 g Sabor Naranja,"Citrato de Magnesio Vitamin Way 180 g Sabor Naranja, nutricionales.","Citrato de magnesio en polvo sabor naranja, marca Vitamin Way, frasco de 180 g.",magnesio|suplemento|polvo|vitaminas,ACTUALIZAR
5602,Hierro Quelato Vitamin Way x30 Cápsulas sin Sabor,"Hierro Quelato Vitamin Way x30 Cápsulas sin Sabor, nutricionales, suplemento.","Suplemento de hierro quelato en cápsulas, marca Vitamin Way, pack de 30 unidades.",hierro|cápsulas de hierro|suplemento de hierro|vitaminas,ACTUALIZAR
5603,Insaponificables de Palta y Soja Vitamin Way x30 sin Sabor,"Insaponificables de Palta y Soja Vitamin Way x30 sin Sabor, nutricionales.","Insaponificables de palta y soja, marca Vitamin Way, formato x30 comprimidos, sin sabor.",insaponificables|suplemento|comprimidos|vitaminas,ACTUALIZAR
5605,Trans Resveratrol 500 Vitamin Way x30 Cápsulas sin Sabor,"Trans Resveratrol 500 Vitamin Way x30 Cápsulas sin Sabor, nutricionales.","Trans resveratrol 500 mg en cápsulas, marca Vitamin Way, pack de 30.",capsulas|suplemento|antioxidante,ACTUALIZAR
5622999,Multivitamínico y Multimineral Vitamin Way x30 Cápsulas sin Sabor,"Multivitamínico y Multimineral Vitamin Way x30 Cápsulas sin Sabor, nutricionales.","Multivitamínico y multimineral en cápsulas, marca Vitamin Way, sin sabor, pack x30.",multivitaminico|multimineral|capsulas|vitaminas|minerales,ACTUALIZAR
5677999,PRE WORK Vitamin Way 450 g Sabor Limón,"PRE WORK Vitamin Way 450 g Sabor Limón, deportivos, deportivos.","Suplemento pre entreno en polvo sabor limón, marca Vitamin Way, 450 g.",pre entreno|suplemento energético|energizante,ACTUALIZAR
5678999,Óxido Nítrico Pre Entreno Vitamin Way Sabor Limón 180g,"Óxido Nítrico Pre Entreno Vitamin Way Sabor Limón 180g, deportivos.","Óxido nítrico pre entreno sabor limón en polvo, marca Vitamin Way, 180 g.",suplemento|pre entreno|óxido nítrico|vitaminas,ACTUALIZAR
5687,Próbioticos + Vitaminas Vitamin Way x30 Cápsulas sin Sabor,"Próbioticos + Vitaminas Vitamin Way x30 Cápsulas sin Sabor, nutricionales.","Probióticos y vitaminas en cápsulas, marca Vitamin Way, formato x30, sin sabor.",probioticos|vitaminas|capsulas|suplemento nutricional|vitaminas sin sabor|vitaminas veganas,ACTUALIZAR
6006,Caja X12 Barras Vegana Laddubar Coco 30 G,"Caja X12 Barras Vegana Laddubar Coco 30 G, almacén, almacén.","Barras veganas sabor coco, marca Laddubar, formato caja x12 de 30 g cada una.",barras|snacks|barritas,ACTUALIZAR
6007,12 Barras Laddubar Arandanos 30g Raw Vegana Sin Tacc Kosher,"12 Barras Laddubar Arandanos 30g Raw Vegana Sin Tacc Kosher, almacén.","Barras de arándano veganas de 30 g, marca Laddubar, pack de 12 unidades.",barra|snack|barrita,ACTUALIZAR
6008,12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,"12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher, almacén.","Barras de cereal sabor frutos rojos, marca Laddubar, 30g, sin TACC, veganas.",barritas|snacks|barras de cereal,ACTUALIZAR
6011,12 X Barras Vegana Laddu Bar Brownie 30 G,"12 X Barras Vegana Laddu Bar Brownie 30 G, marca Laddubar, almacén.","Barra vegana de brownie elaborada con castañas de caju, dátiles y cacao, 30 g.",barra vegana|barra de brownie|snack vegano,ACTUALIZAR
