product_code,nombre,image_url,estado
5508999,Melena de León Fungileón Geonat x60 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5508999.jpg,ok
6094,Polen Reconvertido Crinway Antioxidante 5 Ampollas x10 ml,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6094.jpg,ok
6116,Salsa Hoisin Lee Kum Kee 397 g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6116.jpg,ok
GLU-8960_v,Glutamina Monohidrato Micronizada Vitamin Way Sport 150g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/GLU-8960_v.jpg,ok
5232,Magnesio Sport Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5232.jpg,ok
361000,Te Negro Royal Black Saint Gottard 20 Saquitos,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/361000.jpg,ok
6152,Nad+ Resveratrol Colabella + Q10 Antienvejecimiento X 60,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6152.jpg,ok
6207,Aceto Balsamico Bronce Olei&co Bidon X2000ml,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6207.jpg,ok
6123,Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6123.jpg,ok
6086,Aceite De Pescado 2400mg Omega 3 Nature's Truth 90 Cap Limón,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6086.jpg,ok
5559,Selenio Quelato 200 Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5559.jpg,ok
237,Té Chai Saint Gottard x20 Saquitos,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/237.jpg,ok
3286,Salsa de Ostras Panda Lee Kum Kee 255g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/3286.jpg,ok
4557999,Café Molido Premium Juan Valdez Cumbre 250g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/4557999.jpg,ok
6096,Omega 3 Geonat Omeganat Concentrado Epa 1000 Dha 500 X 60,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6096.jpg,ok
5345,Aceto Balsámico Laur Millán Italiano 250 ml Premium,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5345.jpg,ok
6144,Suplemento Corazon Con Magnesio - Srisri 60 Caps,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6144.jpg,ok
2824100,Pack x2 Multisemillas Mix Natural Seed sin Tacc x250 g.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/2824100.jpg,ok
5325,Colágeno FLEX Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5325.jpg,ok
2825,Semillas de Lino Natural Seed x200g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/2825.jpg,ok
5324,Colágeno + Hialurónico Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5324.jpg,ok
5604,Vitamina K2 + D3 Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5604.jpg,ok
6159,Curcuma Colabella Sin Tacc X 60 Comprimidos Sin Sabor,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6159.jpg,ok
3287,Salsa Agridulce Lee Kum Kee 240 g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/3287.jpg,ok
362200,Pack X 6 Te Manzanilla Saint Gottard X 20 Saquitos,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/362200.jpg,ok
1275,Guaraná Arriba Natufarma x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/1275.jpg,ok
2761,Colágeno Geneo Solar Natufarma x250g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/2761.jpg,ok
1594,Nutrimix Natural Seed x250 g sin Tacc,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/1594.jpg,ok
5680999,Whey Protein Turbo Vitamin Way Sport 1140g Sabor Chocolate,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5680999.jpg,ok
5698300,Pack x9 Hileret Light 50% Menos Calorías x250g,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5698300.jpg,ok
4623999,Ajo Negro Geonat x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/4623999.jpg,ok
6186,Rompepiedras Colabella X 60 Comprimidos Sin Sabor,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6186.jpg,ok
5587100,Pack X 2 Bisglicinato De Magnesio Vitamin Way X 30,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5587100.jpg,ok
6198,Hongos Melena De Leon En Polvo 1kg Sabor Neutro,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/6198.jpg,ok
5499,Inmuno Plus con Vitaminas C D + Zinc Vitamin Way x30 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5499.jpg,ok
5505,Cáscara Sagrada + Aloe Vitamin Way x60 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5505.jpg,ok
2824,Multisemillas Mix Natural Seed sin Tacc x250 g.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/2824.jpg,ok
5468000,Vitamina C Vitamin Way x60 Cápsulas,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-kiki_market/5468000.jpg,ok
