Ranking,Código Producto (SKU),Nombre,Unidades Vendidas,Pedidos (Frecuencia),Total Facturado (USD)
1,89090064,Onion Diced Frozen 20 lb,8524.0,128,139502.7
2,89090067,Red Pepper diced 10x10 - Box 20 lb,5060.0,81,100191.71
3,89010007,RePacking Service,3297.0,12,12363.6
4,89090024,PEAS and CARROT DICED 22LB,2302.0,146,45337.12
5,89090066,Green Pepper diced 10x10 20lb,1952.0,48,34654.94
6,89090130,CUT GREEN BEANS 22 lb,1814.0,111,36914.45
7,736952201775,GREEN PEAS frozen 22 lb,1773.0,101,37958.96
8,89090009,Sweetcorn frozen 30 lb,1577.0,156,46806.41
9,89090131,"Carrot Sliced 22,04 lb",1386.0,53,30509.88
10,736952201850,SPINACH frozen 8/15,1310.0,40,35925.38
11,74987455943,"Broccoli frozen 22,04 lb",1023.0,92,26357.55
12,74987455860,Platano Maduro Sweet Plantain Slices 24 lb,767.0,89,22994.7
13,89090056,CALIFORNIA BLEND 22.04 lb (BroccoliCarrot slicedCauliflower),716.0,74,16479.67
14,89090045,3 vegetables Peas & Carrot & Sweetcorn 22 lb,670.0,54,14455.62
15,89090115,RICE PARBOILED LONG GRAIN,635.0,56,14739.49
16,89090129,Red & Green Pepper slice 20lb (1x20lb),600.0,4,12720.0
17,89090116,FAJITA MIX - 20 lb,582.0,61,13919.34
18,89090013,"Carrot diced frozen Box 22,04 lb (1x22,04 lb)",503.0,33,9170.35
19,89090132,"Carrot Diced 10x10 frozen Box 22,50 lb (1x22,50lb)",452.0,10,8588.17
20,736952201829,POTATO DICED frozen 22.04 lb,414.0,48,9364.41
21,89090068,Baby Carrot 24lb,327.0,49,10690.43
22,736952201874,Strawberry sliced 4 + 1 30 lb,299.0,43,20182.5
23,89090125,Pepper 3 Color Slice - 20lb,271.0,43,6324.04
24,74987455851,"Butternut Squash frozen-22,04 lb",262.0,19,5716.07
25,89090046,YUCA CHUNK FROZEN 5 lb -Box 30 lb (6x5lb),251.0,47,8804.9
26,855006006392,ACAI TROPICAL organic Sorbet 22 lb,228.0,117,18810.0
27,736952196002,Strawberry frozen 5 lb BENFRESH-Box 30 lb (6x5lb),210.0,156,11059.0
28,89090093,POTATO WEDGES 30 lb,206.0,10,9891.0
29,89090117,SOFRITO BLEND - 20 lb,199.0,59,4432.43
30,89090074,Mango Chunk frozen Box 30 lb (6x5lb),197.0,144,11435.85
31,1841100055,ACAI SAMBAZON smoothie Blend Organic 3G Tub,189.0,57,18852.75
32,89090112,Tomatoes diced - 22 lb,183.0,37,5238.29
