id,slug,title,category,price,originalPrice,currentStock,handleStock,type,featured,description,images,options
6806a2260ba1a600048ea430,combo-60-soquetes-animados_6806a2260ba1a600048ea430,COMBO 60 SOQUETES ANIMADOS,COMBOS,60000,0,0,false,available,true,"El combo incluye 60 soquetes animados

Podes surtirlo de talles para niños y adultos.

Más de 100 personajes disponibles.
",https://pency-images.nyc3.digitaloceanspaces.com/mayoristabmg/1745263453674.jpg,[]
6808cb6a55e3d00004c5a7df,mochila-3-en-1_6808cb6a55e3d00004c5a7df,MOCHILA 3 EN 1,MARROQUINERIA,50000,0,0,false,available,false,"El precio es por una mochila.

(Incluye lonchera térmica y cartuchera)

La compra mínima es de $50.000 (Podes llevar la cantidad que quieras de cada artículo y surtir tu compra, los precios ya son por mayor)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745406568013.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745406573334.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745406577683.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745406583929.jpg,[]
6808cd6961f3ad00041a0974,llavero-de-capibara_6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,NOVEDADES,3500,0,0,false,available,false,"- Variedad de modelos capibara
- Material resistente

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407090764.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407105106.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407118149.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407133543.jpg,[]
6808ce8806ca020004cf0e95,llaveros-animados_6808ce8806ca020004cf0e95,LLAVEROS ANIMADOS,NOVEDADES,3500,0,0,false,available,false,"- Variedad de modelos y personajes
- Material resistente

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407437719.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407505909.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407522490.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407536931.jpg,[]
6808cf50f7c7090004d3a961,naipes-uno_6808cf50f7c7090004d3a961,"NAIPES ""UNO""",NOVEDADES,2000,0,0,false,available,false,"juego de naipes.

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407781513.jpg,[]
6808cf9ab81c5f00044d5eb3,termo-acero-inoxidable_6808cf9ab81c5f00044d5eb3,TERMO ACERO INOXIDABLE,BAZAR,17500,0,0,false,available,false,"- Presentado en caja
- Incluye estuche
- Acero inoxidable

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407872204.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745407876787.jpg,[]
6808d0563197610004e9245b,botella-sport-750ml_6808d0563197610004e9245b,BOTELLA SPORT 750ML,BAZAR,19000,0,0,false,available,false,"- Colores variados.
- Térmica frío/calor
- Incluye limpiador
- Materiales resistentes

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408037073.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408040806.jpg,[]
6808d144625daf00047e1cc5,repasador-economicos_6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,BLANQUERIA Y NOVEDADES,1500,0,0,false,unavailable,false,"El precio es por un repasador.

La compra mínima es de $50.000 (Podes llevar la cantidad que quieras de cada artículo y surtir tu compra, los precios ya son por mayor)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408258965.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408271481.jpg,[]
6808d212625daf00047e1cc8,repasador-art-973_6808d212625daf00047e1cc8,REPASADOR ART 973,BLANQUERIA Y NOVEDADES,2500,0,0,false,hidden,false,"- Algodón
- Color/diseño unico

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408485360.jpg | https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745408527027.jpg,[]
6808d41bf0bafe000465a255,juego-de-sabanas-2-12-plazas_6808d41bf0bafe000465a255,JUEGO DE SÁBANAS 2 1/2 PLAZAS,BLANQUERIA Y NOVEDADES,13000,0,0,false,available,false,"- Variedad de diseños y estampas
- 180 hilos

Compra mínima de $50.000 (Podes surtirla con la cantidad de artículos que quieras)",https://pency-images.nyc3.digitaloceanspaces.com/bmgmayorista/1745409004244.jpg,[]
