codigo_producto,nombre,descripcion
6806a2260ba1a600048ea430,COMBO 60 SOQUETES ANIMADOS,"Combo COMBO 60 SOQUETES ANIMADOS, el combo incluye 60 soquetes animados, x60 unidades."
6808cb6a55e3d00004c5a7df,MOCHILA 3 EN 1,"Artículo de marroquinería MOCHILA 3 EN 1, (incluye lonchera térmica y cartuchera)."
6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,"Artículo mayorista LLAVERO DE CAPIBARA, presentación para reventa, categoría novedades."
6808ce8806ca020004cf0e95,LLAVEROS ANIMADOS,"Artículo mayorista LLAVEROS ANIMADOS, presentación para reventa, categoría novedades, presentación mayorista novedades."
6808cf50f7c7090004d3a961,"NAIPES ""UNO""","Artículo mayorista NAIPES ""UNO"", presentación para reventa, categoría novedades, presentación mayorista novedades."
6808cf9ab81c5f00044d5eb3,TERMO ACERO INOXIDABLE,"Artículo de bazar mayorista TERMO ACERO INOXIDABLE, presentación para reventa, categoría bazar."
6808d0563197610004e9245b,BOTELLA SPORT 750ML,"Artículo de bazar mayorista BOTELLA SPORT 750ML, presentación para reventa, categoría bazar."
6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,"Artículo de blanquería mayorista REPASADOR ECONOMICOS, presentación para reventa, categoría blanqueria y novedades."
6808d212625daf00047e1cc8,REPASADOR ART 973,"Artículo de blanquería mayorista REPASADOR ART 973, presentación para reventa, categoría blanqueria y novedades."
6808d41bf0bafe000465a255,JUEGO DE SÁBANAS 2 1/2 PLAZAS,"Artículo de blanquería JUEGO DE SÁBANAS 2 1/2 PLAZAS, variedad de diseños y estampas."
6808d4c13b260c0004dd1a2d,JUEGO DE SÁBANAS 1 1/2 PLAZAS,"Artículo de blanquería JUEGO DE SÁBANAS 1 1/2 PLAZAS, variedad de diseños y estampas."
6808d63ff3178f000406fa66,MANTEL ECO CUERO 1.40X2.00 M,"Artículo de blanquería MANTEL ECO CUERO 1.40X2.00 M, medida: 1,40 x 2,00."
6808d6acf3178f000406fa67,JUEGO TOALLA Y TOALLON “WOSSEN”,"Artículo de blanquería JUEGO TOALLA Y TOALLON “WOSSEN”, variedad de colores."
6808d9502f28fc00048686ee,TOALLÓN PONCHO INFANTIL,"Artículo de blanquería TOALLÓN PONCHO INFANTIL, variedad de diseños y personajes."
6808d99fcf60490004aecbe3,CORTINA DE BAÑO DE PVC,"Artículo de blanquería CORTINA DE BAÑO DE PVC, gran variedad de diseños disponibles."
68092a4a7b096f00046bfec4,GORRAS DE MARCAS,"Gorra mayorista GORRAS DE MARCAS, presentación para reventa, categoría gorras de verano."
68092bb47b096f00046bfec9,CAPELINA CON OREJITAS NENA,"Gorra mayorista CAPELINA CON OREJITAS NENA, presentación para reventa, categoría gorras de verano."
680936d8cc71820004c437f6,GORRA LISA POLIESTER,"Gorra mayorista GORRA LISA POLIESTER, presentación para reventa, categoría gorras de verano."
680938dfa4b14c00041e3754,GORRA INFANTIL,"Gorra mayorista GORRA INFANTIL, presentación para reventa, categoría gorras de verano."
68306c4f4da4c2000449f14a,COMBO 48 TENIS ANIMADAS/MARCAS,"Combo COMBO 48 TENIS ANIMADAS/MARCAS, el combo incluye 48 (4 docenas) de tenis animadas y, x48 unidades."
685ae40aa9b8640004a8e575,"PERFUME ÁRABE ""CLUB DE NUIT"" 105ML","Perfume PERFUME ÁRABE ""CLUB DE NUIT"" 105ML, el precio equivale a un perfume."
685ae4744e0f7a00049e1f4b,"PERFUME ÁRABE ""AMBER OUD""  105ML","Perfume PERFUME ÁRABE ""AMBER OUD"" 105ML, el precio equivale a un perfume."
685c6a2766443e00047238b7,MANTA FLANEL LISA 2 PLAZAS,"Artículo de blanquería MANTA FLANEL LISA 2 PLAZAS, 2 plazas."
6877e397ec07430004761282,FRAZADA PARA BEBÉ X 2 UNIDADES,"Artículo de blanquería FRAZADA PARA BEBÉ X 2 UNIDADES, antialegicas, x2 unidades."
6877f20a45cea10004ebc396,"FRAZADA 2 1/2 PLAZAS ""TERRENAL""","Artículo de blanquería FRAZADA 2 1/2 PLAZAS ""TERRENAL"", terminacion con costura detallada y acabado de razo."
6877f25f7118860004171422,"FRAZADA 1 1/2 PLAZAS ""TERRENAL""","Artículo de blanquería FRAZADA 1 1/2 PLAZAS ""TERRENAL"", terminacion con costura detallada y acabado de razo."
687829b1fa95a9000460d440,SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON,"Juguete SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON, juguete sorpresa, adaptativo a cualquier tipo de dispositivo. viene en."
68782bc0fa95a9000460d444,LLAVERO LABUBU CON ROPA,"Juguete LLAVERO LABUBU CON ROPA, llavero labubu monster. edicion limitada coca cola. empaque sorpresa, pueden."
68782da9575f4d0004f4c0de,PELUCHE CAPIBARA CON LUZ Y SONIDO,"Juguete PELUCHE CAPIBARA CON LUZ Y SONIDO, peluche de capibara con luz y sonido. 3 diferentes modos."
687fd63de04629000442baa5,MONEDERO CAPIBARA,"Juguete mayorista MONEDERO CAPIBARA, presentación para reventa, categoría juguetes, presentación mayorista juguetes."
687fdb2caafbe40004ebc612,DISPENSER MINI PATO Y CAPIBARA,"Juguete DISPENSER MINI PATO Y CAPIBARA, dispenser mini para niños, modelos de pato y capibara."
687ffe74d760110004860432,MONOPATIN DE CAPIBARA CON LUCES Y MUSICA,"Juguete MONOPATIN DE CAPIBARA CON LUCES Y MUSICA, monopatin de capibara."
688002d4f0c4760004bc0aa7,SET X3 MUÑECOS CHIFLES,"Juguete mayorista SET X3 MUÑECOS CHIFLES, presentación para reventa, categoría juguetes."
