pedido_id,cliente_id,canal,n_lineas,n_matched,match_ratio,match_na,skus_matched,skus_unmatched,excerpt_humano
56,31756,chat,23,23,1.0,,10900010|4040004|4040267|4040127|4040269|700408|47031|4040005|7304|10900012|4040003|700407|1008879|10900020|10900011|3012500|10900021|10900014|10900019|4040008|7111|4040347|7005620,,"Hola, quiero hacer el siguiente pedido:  • 6 x 9 de Oro Cookies Chips Colores x120g (B/16) (Código: 4040267) • 6 x 9 de Oro Pepa Membrillo 200g (B/16) (Código: 4040127) • 10 x Bizcocho 9 de Oro Agridulce 420g (B/15) (Código: 4040005) • 10 x Bizcocho 9 de Oro Agridulces 200g (B/20) (Código: 4040003) • 4 x Galletas Mini Pamela chips choco x 180g (B/15) (Código: 10900014) • 4 x Galletas Mini Pamela Limon x180g (B/15) (Código: 10900012) • 4 x Galletas Mini Pamela Manteca x180g (B/15) (Código: 109000"
101,31927,chat,1,1,1.0,,4010002,,Hola   Hola   Anótame 1 caja de aceite cañuelas girasol de 900   Anótame 1 caja de aceite cañuelas girasol de 900   No no Solo eso   No no Solo eso   Gracias   Gracias
104,31258,tienda,5,,,catalogo_ui,,,"Catálogo   Catálogo   Hola, quiero hacer el siguiente pedido:  • 1 x Rumipal Agua sab.s/gas Manz 6x1,5L (Código: 122602) • 1 x Rumipal Agua sab.s/gas Pom.6x1,5L (Código: 122302) • 1 x Rumipal Agua bot.9x500cc (Código: 110205) • 2 x Rumipal Soda sif.6x2L (Código: 110203)  Gracias.   Hola, quiero hacer el siguiente pedido:  • 1 x Rumipal Agua sab.s/gas Manz 6x1,5L (Código: 122602) • 1 x Rumipal Agua sab.s/gas Pom.6x1,5L (Código: 122302) • 1 x Rumipal Agua bot.9x500cc (Código: 110205) • 2 x Rumipal"
105,34497,tienda,9,,,catalogo_ui,,,"Catálogo   Catálogo   Hoolaaa esto llegaría mañana??   Hoolaaa esto llegaría mañana??   3 Salsa pizza Noel  6 Aceite cañuela x 900 6 Harina leudante  Pásame cuánto es y cuando llegaría Gracias   3 Salsa pizza Noel  6 Aceite cañuela x 900 6 Harina leudante  Pásame cuánto es y cuando llegaría Gracias   Nooo aceite cañuelas de girasol x 900   Nooo aceite cañuelas de girasol x 900   NOOOOO CAÑUELAS X 900 girasol   NOOOOO CAÑUELAS X 900 girasol   Ese no es EL TOTAL 2866,5 18734 6866,7 Total 28466   E"
106,34510,tienda,10,,,catalogo_ui,,,"Hola te encargo una promoción de polvoritas.  Y rasta negro y blanco   Hola te encargo una promoción de polvoritas.  Y rasta negro y blanco   Y esto?   Y esto?   Polvorita de 81g, 4 de cada sabor.  Alfajor rasta x70g negro (6)   Polvorita de 81g, 4 de cada sabor.  Alfajor rasta x70g negro (6)   Catálogo   Catálogo   Hola, quiero hacer el siguiente pedido:  • 6 x Alfajor 9 de Oro Negro Rell/DDL (B/24) (Código: 400001) • 6 x Alfajor Toddy Mousse x50g (B/24) (Código: 5002357) • 6 x Alfajor Hamlet M"
107,36012,tienda,2,,,catalogo_ui,,,"Mandame catalogo  p ver   Mandame catalogo  p ver   Hola   10 deter cif de 300 cc, 6lav ayud de 1l   Hola   10 deter cif de 300 cc, 6lav ayud de 1l   Limon o verdes transp gel   Limon o verdes transp gel   Si   q nosea crema   Si   q nosea crema   Si el de limon   Si el de limon   Galletas vainillas tenes   Galletas vainillas tenes   No vainillas , no gallet savor vainilla , las q se usan para postres son alargaditas   No vainillas , no gallet savor vainilla , las q se usan para postres son alar"
108,36325,chat,6,6,1.0,,4010004|4050258|4050090|3012500|4010004|3012777,,"Hola, buen día, ¿cómo le va? ¿Cómo anda usted? Usted, señores, y que lo reemplaza a Rafael, le consulto, ¿tiene harina común y cuatro ceros? De esos necesito medio pack de la de cuatro ceros y de la común un pack entero. Aceite de litro y medio, una caja. No me acuerdo qué más era. Ah, las de harina de pizza, la pureza, de ese ponga medio pack también. Y ya me fijo si me falta alguito más y le aviso antes que empecé a ver el pedido.   Hola, buen día, ¿cómo le va? ¿Cómo anda usted? Usted, señores"
109,36396,tienda,12,,,catalogo_ui,,,Buenos días   Buenos días   X favor podes decirme q golosinas vendes?   X favor podes decirme q golosinas vendes?   Q días hacen reparto?   Q días hacen reparto?   Me podrías pasar precios de masticables miski de las a sugus ? Y no sé q chupetines venden si tenés algún catálogos?   Me podrías pasar precios de masticables miski de las a sugus ? Y no sé q chupetines venden si tenés algún catálogos?   Si quiero ver el catálogo x favor   Si quiero ver el catálogo x favor   Quisiera me pases el catál
112,43403,tienda,4,,,catalogo_ui,,,"Hola buen dia, consulta estamos a tiempo de realizar el pedido???   Hola buen dia, consulta estamos a tiempo de realizar el pedido???   Me podrías pasar la lista así veo?   Me podrías pasar la lista así veo?   Hola, quiero hacer el siguiente pedido:  • 4 x Aceite Girasol Canuelas 0.9l (B/12) (Código: 4010002) • 1 x Omeprazol Gene 20mg 15 compri (D/50) (Código: 41878) • 1 x Ibuprofeno 600mg x10 comp. Fabop (Código: 40310) • 12 x 9 de Oro Pepa Membrillo 350g (B/12) (Código: 4040357)  Gracias.   Ho"
113,43154,chat,8,8,1.0,,3012611|1013917|1013916|1013918|3012611|1013917|3012611|1013916,,Buen dia. Tenes los precios de jugo Baggio los chiquitos   Buen dia. Tenes los precios de jugo Baggio los chiquitos   Puede ser polvorita y jugo Baggio? Me mentenes el precio?   Puede ser polvorita y jugo Baggio? Me mentenes el precio?   No. Esas quiero   No. Esas quiero   50 polvoritas y 50 juguitos Baggio   50 polvoritas y 50 juguitos Baggio   Nooo   Nooo   Solo 50 de vainilla las polvoritas   Solo 50 de vainilla las polvoritas   Perfecto   Perfecto   406 ??   406 ??   Nooo que es esto   Nooo
114,43154,chat,2,2,1.0,,3012611|1013916,,Buen dia. Tenes los precios de jugo Baggio los chiquitos   Buen dia. Tenes los precios de jugo Baggio los chiquitos   Puede ser polvorita y jugo Baggio? Me mentenes el precio?   Puede ser polvorita y jugo Baggio? Me mentenes el precio?   No. Esas quiero   No. Esas quiero   50 polvoritas y 50 juguitos Baggio   50 polvoritas y 50 juguitos Baggio   Nooo   Nooo   Solo 50 de vainilla las polvoritas   Solo 50 de vainilla las polvoritas   Perfecto   Perfecto   406 ??   406 ??   Nooo que es esto   Nooo
