pedido_id,cliente_id,fecha,estado,origen,total,tiene_inbound,fecha_medianoche,en_ventana_24h,en_ventana_48h,en_ventana_7d,atribuido_48h,motivo_exclusion
28,31041,2025-11-06T03:00:00+00:00,confirmado,suplai,65284.04,true,true,false,false,false,false,carga_historica_sin_hora
29,31040,2025-11-18T03:00:00+00:00,confirmado,suplai,13800,true,true,false,false,false,false,carga_historica_sin_hora
226,36896,2026-01-02T03:00:00+00:00,confirmado,suplai,46429.0000,false,true,false,false,false,false,carga_historica_sin_hora
227,37068,2026-01-02T03:00:00+00:00,confirmado,suplai,139416.4370,false,true,false,false,false,false,carga_historica_sin_hora
228,37072,2026-01-02T03:00:00+00:00,confirmado,suplai,40990.0000,false,true,false,false,false,false,carga_historica_sin_hora
229,36958,2026-01-02T03:00:00+00:00,confirmado,suplai,291248.4360,true,true,false,false,false,false,carga_historica_sin_hora
230,36995,2026-01-02T03:00:00+00:00,confirmado,suplai,96900.0000,false,true,false,false,false,false,carga_historica_sin_hora
231,37235,2026-01-02T03:00:00+00:00,confirmado,suplai,30422.2000,true,true,false,false,false,false,carga_historica_sin_hora
232,31900,2026-01-02T03:00:00+00:00,confirmado,suplai,45874.9200,true,true,false,false,false,false,carga_historica_sin_hora
233,31907,2026-01-02T03:00:00+00:00,confirmado,suplai,64976.7500,false,true,false,false,false,false,carga_historica_sin_hora
234,31903,2026-01-02T03:00:00+00:00,confirmado,suplai,33587.6400,false,true,false,false,false,false,carga_historica_sin_hora
235,31921,2026-01-02T03:00:00+00:00,confirmado,suplai,48408.2800,false,true,false,false,false,false,carga_historica_sin_hora
236,31929,2026-01-02T03:00:00+00:00,confirmado,suplai,32808.2700,true,true,false,false,false,false,carga_historica_sin_hora
237,31249,2026-01-02T03:00:00+00:00,confirmado,suplai,36739.2570,true,true,false,false,false,false,carga_historica_sin_hora
238,32650,2026-01-02T03:00:00+00:00,confirmado,suplai,78820.0330,false,true,false,false,false,false,carga_historica_sin_hora
239,34971,2026-01-02T03:00:00+00:00,confirmado,suplai,118709.0600,true,true,false,false,false,false,carga_historica_sin_hora
240,36959,2026-01-02T03:00:00+00:00,confirmado,suplai,192684.7160,false,true,false,false,false,false,carga_historica_sin_hora
241,36962,2026-01-02T03:00:00+00:00,confirmado,suplai,178080.7600,false,true,false,false,false,false,carga_historica_sin_hora
242,36902,2026-01-02T03:00:00+00:00,confirmado,suplai,80471.0000,false,true,false,false,false,false,carga_historica_sin_hora
243,37211,2026-01-02T03:00:00+00:00,confirmado,suplai,43999.9890,false,true,false,false,false,false,carga_historica_sin_hora
244,37373,2026-01-02T03:00:00+00:00,confirmado,suplai,32808.2800,false,true,false,false,false,false,carga_historica_sin_hora
245,37213,2026-01-02T03:00:00+00:00,confirmado,suplai,32039.9800,true,true,false,false,false,false,carga_historica_sin_hora
246,34634,2026-01-02T03:00:00+00:00,confirmado,suplai,39608.2290,true,true,false,false,false,false,carga_historica_sin_hora
247,37247,2026-01-02T03:00:00+00:00,confirmado,suplai,90098.7180,false,true,false,false,false,false,carga_historica_sin_hora
248,37114,2026-01-02T03:00:00+00:00,confirmado,suplai,37030.2000,true,true,false,false,false,false,carga_historica_sin_hora
249,31927,2026-01-02T03:00:00+00:00,confirmado,suplai,33289.9380,true,true,false,false,false,false,carga_historica_sin_hora
250,36984,2026-01-02T03:00:00+00:00,confirmado,suplai,43910.0000,false,true,false,false,false,false,carga_historica_sin_hora
251,37367,2026-01-02T03:00:00+00:00,confirmado,suplai,45570.3640,false,true,false,false,false,false,carga_historica_sin_hora
252,36948,2026-01-02T03:00:00+00:00,confirmado,suplai,32808.2800,false,true,false,false,false,false,carga_historica_sin_hora
253,37233,2026-01-02T03:00:00+00:00,confirmado,suplai,36739.2570,false,true,false,false,false,false,carga_historica_sin_hora
254,37281,2026-01-02T03:00:00+00:00,confirmado,suplai,43258.2700,false,true,false,false,false,false,carga_historica_sin_hora
255,40140,2026-01-02T03:00:00+00:00,confirmado,suplai,31863.6380,false,true,false,false,false,false,carga_historica_sin_hora
256,40548,2026-01-02T03:00:00+00:00,confirmado,suplai,137296.2300,true,true,false,false,false,false,carga_historica_sin_hora
257,41775,2026-01-02T03:00:00+00:00,confirmado,suplai,227768.1990,false,true,false,false,false,false,carga_historica_sin_hora
