codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_locales
1677,BALDES PARA 10 LTS C/TAPA X UNIDAD,"Envase BALDES PARA 10 LTS C/TAPA X UNIDAD, marca PLASTICOS ARENALES, 10 L.",Cucurucho / envase para helado: BALDES PARA 10 LTS C/TAPA X UNIDAD. Marca PLASTICOS ARENALES. Categoría: PLASTICO / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1674,BALDES PARA 3 LTS CON TAPA X UNIDAD,"Envase BALDES PARA 3 LTS CON TAPA X UNIDAD, marca PLASTICOS ARENALES, 3 L.",Cucurucho / envase para helado: BALDES PARA 3 LTS CON TAPA X UNIDAD. Marca PLASTICOS ARENALES. Categoría: PLASTICO / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1675,BALDES PARA 5 LTS CON TAPA X UNIDAD,"Envase BALDES PARA 5 LTS CON TAPA X UNIDAD, marca PLASTICOS ARENALES, 5 L.",Cucurucho / envase para helado: BALDES PARA 5 LTS CON TAPA X UNIDAD. Marca PLASTICOS ARENALES. Categoría: PLASTICO / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2928,BARQUILLO BUBA CUPS 32 BLISTER X 3 U,"Envase BARQUILLO BUBA CUPS 32 BLISTER X 3 U, marca EREVAN, x3 unidades.",Cucurucho / envase para helado: BARQUILLO BUBA CUPS 32 BLISTER X 3 U. Marca EREVAN. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2852,BARQUILLO BUBA CUPS 40 BLISTER X 3 U,"Envase BARQUILLO BUBA CUPS 40 BLISTER X 3 U, marca EREVAN, x3 unidades.",Cucurucho / envase para helado: BARQUILLO BUBA CUPS 40 BLISTER X 3 U. Marca EREVAN. Categoría: ENSOBRADOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2495,BARQUILLO CUPS CLASICO 20 X3 UNI,"Envase BARQUILLO CUPS CLASICO 20 X3 UNI, marca ALTA ROTACION, x3 unidades.",Cucurucho / envase para helado: BARQUILLO CUPS CLASICO 20 X3 UNI. Marca ALTA ROTACION BARQUILLO. Categoría: ENSOBRADOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2055,BARRA AP 19X12X12 UNI,"Envase BARRA AP 19X12X12 UNI, marca AISLACIONES PATAGONICAS.",Cucurucho / envase para helado: BARRA AP 19X12X12 UNI. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2056,BARRA AP 26X10X9 UNI,"Envase BARRA AP 26X10X9 UNI, marca AISLACIONES PATAGONICAS.",Cucurucho / envase para helado: BARRA AP 26X10X9 UNI. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2057,BARRA AP 34X12X12 UNI,"Envase BARRA AP 34X12X12 UNI, marca AISLACIONES PATAGONICAS.",Cucurucho / envase para helado: BARRA AP 34X12X12 UNI. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1141,BOMBON SUIZO ( 6 PORCIONES ) C/TAPA X UNIDAD,"Envase BOMBON SUIZO ( 6 PORCIONES ) C/TAPA X UNIDAD, marca NOVOPOR.",Cucurucho / envase para helado: BOMBON SUIZO ( 6 PORCIONES ) C/TAPA X UNIDAD. Marca NOVOPOR. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1171,CAPELINA ARTESANAL X 72 UNIDADES,"Envase CAPELINA ARTESANAL X 72 UNIDADES, marca ALTA ROTACION, x72 unidades.",Cucurucho / envase para helado: CAPELINA ARTESANAL X 72 UNIDADES. Marca ALTA ROTACION CAPELINA. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2252,CAPSUBOM REDONDA X 1.7 KG ( EX 100 ),"Envase CAPSUBOM REDONDA X 1.7 KG ( EX 100 ), marca ALTA ROTACION, 1.7 KG.",Cucurucho / envase para helado: CAPSUBOM REDONDA X 1.7 KG ( EX 100 ). Marca ALTA ROTACION CAPSUBOM. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
