base_product_code,related_product_code,reason,is_mock
1674,1675,Pasá al formato más grande (BALDES PARA 5 LTS CON TAPA X UNIDAD) y ahorrá por volumen.,true
1204,2890,Pasá al formato más grande (MAPSACUBER BLANCO X CAJA 5 KG) y ahorrá por volumen.,true
2645,2891,Pasá al formato más grande (MAPSACUBER CELESTE X CAJA 3 KG) y ahorrá por volumen.,true
2490,2892,Pasá al formato más grande (MAPSACUBER FRUTILLA X CAJA 3 KG) y ahorrá por volumen.,true
1203,2889,Pasá al formato más grande (MAPSACUBER LECHE X CAJA 5 KG) y ahorrá por volumen.,true
1202,2902,"Pasá al formato más grande (MAPSACUBER SEMI AMARGO X 2,5 KG) y ahorrá por volumen.",true
2902,2888,Pasá al formato más grande (MAPSACUBER SEMI AMARGO X CAJA 5 KG) y ahorrá por volumen.,true
2827,2602,Pasá al formato más grande (MAPSACUBER SIN AZUCAR X CAJA 3 KG) y ahorrá por volumen.,true
1709,1708,Pasá al formato más grande (AZUCAR IMPALPABLE EXTRA X 5 KG) y ahorrá por volumen.,true
1363,1331,"Formato mayor BRIGEL (BANANA GB020 X 7,5 KG): más rendimiento.",true
