base_product_code,related_product_code,reason,is_mock
2495,1457,Salsa para decorar y acompañar el envase de helado.,true
1171,1800,Salsa para decorar y acompañar el envase de helado.,true
2252,1729,Salsa para decorar y acompañar el envase de helado.,true
2495,1330,Base o sabor ideal para completar el cucurucho.,true
1171,1395,Base o sabor ideal para completar el cucurucho.,true
2252,1396,Base o sabor ideal para completar el cucurucho.,true
2653,2677,Grana o confite para decorar con chocolate.,true
2563,2460,Grana o confite para decorar con chocolate.,true
1211,2461,Grana o confite para decorar con chocolate.,true
2653,1222,Insumo de repostería que combina con el chocolate.,true
2563,2882,Insumo de repostería que combina con el chocolate.,true
1211,1243,Insumo de repostería que combina con el chocolate.,true
1330,1457,Salsa/pulpa para topping del helado.,true
1395,1800,Salsa/pulpa para topping del helado.,true
