pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Congelados del Sur,2026-03-01 08:00:00,confirmado,157976.65,Pedido historico mock - Congelados del Sur,true,false,2
P-00002,25001,5493587905250,Congelados del Sur,2026-03-18 09:19:07,entregado,69943.00,Pedido historico mock - Congelados del Sur,true,false,2
P-00003,25001,5493587905250,Congelados del Sur,2026-04-04 10:38:14,facturado,584234.50,Pedido historico mock - Congelados del Sur,true,false,2
P-00004,25002,5493582641213,Alimentos Fríos,2026-03-08 11:11:23,entregado,249327.90,Pedido historico mock - Alimentos Fríos,true,false,3
P-00005,25002,5493582641213,Alimentos Fríos,2026-03-25 12:30:30,facturado,444540.60,Pedido historico mock - Alimentos Fríos,true,false,3
P-00006,25002,5493582641213,Alimentos Fríos,2026-04-11 13:49:37,confirmado,335092.50,Pedido historico mock - Alimentos Fríos,true,false,3
P-00007,25003,5492991227644,Frío y Sabor,2026-03-15 14:22:46,facturado,152009.75,Pedido historico mock - Frío y Sabor,true,false,4
P-00008,25003,5492991227644,Frío y Sabor,2026-04-01 15:41:53,confirmado,289986.00,Pedido historico mock - Frío y Sabor,true,false,4
P-00009,25003,5492991227644,Frío y Sabor,2026-04-18 16:00:00,entregado,379740.05,Pedido historico mock - Frío y Sabor,true,false,4
P-00010,25004,5493418277249,La Helada,2026-03-22 17:33:09,confirmado,286313.00,Pedido historico mock - La Helada,true,false,1
P-00011,25004,5493418277249,La Helada,2026-04-08 08:52:16,entregado,155816.00,Pedido historico mock - La Helada,true,false,1
P-00012,25004,5493418277249,La Helada,2026-04-25 09:11:23,facturado,422638.00,Pedido historico mock - La Helada,true,false,1
P-00013,25005,5493587747641,Cocina Congelada,2026-03-29 10:44:32,entregado,793583.95,Pedido historico mock - Cocina Congelada,true,false,2
P-00014,25005,5493587747641,Cocina Congelada,2026-04-15 11:03:39,facturado,141599.50,Pedido historico mock - Cocina Congelada,true,false,2
P-00015,25005,5493587747641,Cocina Congelada,2026-05-02 12:22:46,confirmado,122771.70,Pedido historico mock - Cocina Congelada,true,false,2
P-00016,25006,5492614053074,Almacén de Nieve,2026-04-05 13:55:55,facturado,168845.40,Pedido historico mock - Almacén de Nieve,true,false,3
