product_code,nombre,source,src_url,image_url,ok
10001276,CHAMPINON LAMINADO M.VERDE 24*350,none,,,False
10001680,PAPA GAJO DOY PACK 16*700 M.VERDE,none,,,False
10001932,P.VERDE C/F 9*1KG F/S MINUTO VERDE,none,,,False
10002101,CHOCLO 30X500 MINUTO VERDE 2101,none,,,False
11000081,PAPA PRE FRITA 20X500 Minuto Verde,none,,,False
11000509,"PAPA CRUNCH 10MM 4*2,5 MINUTO VERDE",none,,,False
11009004,"PAPA CRINKLE CUT 4*2,5 MINUTO VERDE",none,,,False
12593901,MEGA HEL ALMENDRAS MINI MP12 (5X60ML),serper,,,False
12602492,SAVORY HELADO PALETA TRENCITO 16X70 ml CL,serper,,,False
12616158,Bote Helado Banana Split 4.8L CL,serper,,,False
12616196,Bote Helado Centella 4.8L CL,none,,,False
12628885,Savory Helado Cono Trencito 18x80ml CL,serper,https://distribuidora23.cl/Content/products/1892/7/a9/7a960ac84dbd4190a0d07671703b2106_600.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/12628885.jpg,True
12629800,SAVORY Colores Hel FrutosRojos26x65mlCL,serper,,,False
12629915,SAVORY Colores Hel Manzana 26x65ml CL,serper,,,False
155963,CHULETA CENTRO 18 KG SADIA,serper,,,False
P100080503,PAPAS COUNTRY FRIES CASERA 4x2.5KG 12MM,serper,,,False
ST66182,MEGABITES MANJAR 24x39grs,serper,https://jumbocl.vtexassets.com/arquivos/ids/379537-900-900?width=900&height=900&aspect=true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/ST66182.jpg,True
ST9213,DONUT GLASEADA DE FRESA 36x60g,serper,https://i5.walmartimages.cl/asr/8788493e-6eef-4073-8ab3-bc94b656d428.75043655fb8fc40e4458a75d8375b42e.jpeg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/ST9213.jpg,True
ST9244,DONUTS RELLENA DE FRESA 36x70grs,serper,https://i5.walmartimages.cl/asr/d0bcdde1-140c-4034-8dfb-e2c805d9979c.861a3f1e17c80faf784f3db9cda4e8fa.jpeg?null=&odnHeight=612&odnWidth=612&odnBg=FFFFFF,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/ST9244.jpg,True
ST9275,DONUT GLASEADA CHOCOBOMBOM 36x60g,serper,https://richok.cl/wp-content/uploads/2024/08/Donut-rellena-chocolate-1000-x-1000.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/ST9275.png,True
ST9282,DONUT PREMIUM COOKIES&CREAM 36x75grs,serper,https://www.globalfrozen.com/wp-content/uploads/2026/06/PS00000023-cookies.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-dimer/ST9282.jpg,True
