row_num,nombre,precio
1,LAVANDINA COMUN X 1 LT X 1 SEDILE,800.0
2,LAVANDINA COMUN X 4 LT X 1 SEDILE,2900.0
3,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,1020.0
4,LAVANDINA CONCENTRADA X 2L X 1 ESENCIAL,1910.0
5,LAVANDINA CONCENTRADA X 4L X1 ESENCIAL,3610.0
6,COLAGENO LAVAVAJILLAS 1 X 750CC ESENCIAL,1273.0
7,GLICERINA VAVAJILLAS 1 X 750CC ESENCIAL,1273.0
8,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,1273.0
9,GLICERINA LAVAVAJILLAS 1 X750CC SEDILE,1275.0
10,ALOE VERA LAVAVAJILLAS 1 X750CC SEDILE,1275.0
11,LIMON LAVAVAJILLAS 1 X750CC SEDILE,1275.0
12,DETER. CONCEN 1 X 300CC ESENCIAL LIMON,1240.0
13,DETER. CONCEN1 X 300CC ESENCIAL MANZANA,1240.0
14,DETER. CONCEN 1 X 300CC ESENCIAL  MARINA,1240.0
15,LIQ DESINF 1 X900CC ESENCIAL PINO,1034.0
16,LIQ DESINF 1 X900CC ESENCIAL LIM,1034.0
17,LIQ DESINF 1 X900CC ESENCIAL LAVANDA,1034.0
18,LIQ DESINF 1 X900CC ESENCIAL BEBE,1034.0
19,LIQ DESINF1 X900CC ESENCIAL MAR,1034.0
20,LIQ DESINF 1 X900CC ESENCIAL FLOR,1034.0
21,LIQ DESINF 1 X900CC SEDILE PINO,905.0
22,LIQ DESINF 1 X900CC SEDILE LAVANDA,905.0
23,LIQ DESINF 1 X900CC SEDILE MAR,905.0
24,LIQ DESINF 1 X4.5 L ESENCIAL PINO,4525.0
25,LIQ DESINF 1 X4.5 L ESENCIAL LAVA,4525.0
26,LIQ DESINF 1 X4.5 L ESENCIAL MAR,4525.0
27,LIQ P LAVAR ROPA 1 X800 CLOW,1885.0
28,LIQ P LAVAR ROPA 1 X1.4 L CLOW DOYPACK,3706.0
29,LIQ P LAVAR ROPA 1X3LT CLOW DOYPACK,6726.0
30,SUAV 1X 900CC SEDILE MONT,1360.0
31,SUAV 1X 900CC SEDILE BOSQ,1360.0
32,PROMOPACK X1X P3 SEDILE,2780.0
