base_product_code,related_product_code,reason,is_mock
CIP-0026,CIP-0132,Complementá el aerosol Saphirus con un aromatizador deco de la misma línea.,true
CIP-0025,CIP-0852,Cross-sell marca líder: sumá sahumerios para ambientes más duraderos.,true
CIP-0128,CIP-0026,Cross-sell Saphirus: antihumedad + aerosol para baño y ambientes.,true
CIP-0001,CIP-2424,Desinfectante Cipclor + microfibra para pisos: kit básico de limpieza.,true
CIP-1711,CIP-1741,Lavavajillas Ala + dispenser con esponja para cocina.,true
CIP-1024,CIP-0003,Shampoo y acondicionador Algabo aguacate: rutina de cabello completa.,true
CIP-1068,CIP-1776,Detergente Woolite + suavizante Ecovita para lavado de ropa.,true
CIP-0828,CIP-0829,Raid aerosol + aparato 45 noches: protección antimosquitos integral.,true
CIP-0127,CIP-0024,Alguicida Cipclor + acople Vulcano para mantenimiento de pileta.,true
CIP-1587,CIP-1900,Desengrasante de cocina + extracto concentrado para uso profesional.,true
CIP-0454,CIP-0254,Esferas aromáticas Aromanza + difusor para auto.,true
CIP-0022,CIP-0849,Accesorios Vulcano: acople + rejilla superior para pileta.,true
