codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
CIP-0001,3 EN 1 CIPCLOR,"Desinfectante 3 EN 1 CIPCLOR, marca Cipclor, línea Ciprés Limpieza, Villa Constitución.","Desinfectante multiuso 3 en 1, marca Cipclor.",detergente|limpiador|cloro,ACTUALIZAR
CIP-0002,3 EN 1 CIPCLOR X 5LT,"Desinfectante 3 EN 1 CIPCLOR X 5LT, marca Cipclor, 5 L.","Desinfectante multiuso 3 en 1, marca Cipclor, 5 L.",alguicida|bactericida|clarificante|producto para piletas,ACTUALIZAR
CIP-0022,ACOPLE VULCANO GIRATORIO CLIPSABLE,"Producto para pileta ACOPLE VULCANO GIRATORIO CLIPSABLE, marca Vulcano, línea Ciprés Limpieza, Villa Constitución.","Acople giratorio clipsable para mangueras, marca Vulcano.",acople|conector|acople giratorio,ACTUALIZAR
CIP-0023,ACOPLE VULCANO GIRATORIO LISO COMBINADO,"Producto para pileta ACOPLE VULCANO GIRATORIO LISO COMBINADO, marca Vulcano.","Acople giratorio liso combinado para caños de 1 1/4"" y 1 1/2"", marca Vulcano.",acople|conector|acople rápido,ACTUALIZAR
CIP-0024,ACOPLE VULCANO P/PARED PILETAS 1 1/2 Y 1 1/4,"Producto para pileta ACOPLE VULCANO P/PARED PILETAS 1 1/2 Y 1 1/4, marca Vulcano.","Acople para manguera de pileta Vulcano, compatible con diámetros de 1 1/2 y 1 1/4.",acople de pileta|conector de manguera|acople vulcano,ACTUALIZAR
CIP-0025,AEROSOL SAPHIRUS,"Aromatizante de ambientes AEROSOL SAPHIRUS, marca Saphirus, línea Ciprés Limpieza, Villa Constitución.","Aerosol aromatizante para ambientes, marca Saphirus.",aromatizante|perfume de ambiente|ambientador,ACTUALIZAR
CIP-0026,AEROSOL SAPHIRUS - AMOUR,"Aromatizante de ambientes AEROSOL SAPHIRUS - AMOUR, marca Saphirus, línea Ciprés Limpieza, Villa Constitución.","Aromatizante en aerosol Saphirus, fragancia Amour, 280 mL.",perfume de ambiente|aroma|ambientador,ACTUALIZAR
CIP-0027,AEROSOL SAPHIRUS - ANGEL,"Aromatizante de ambientes AEROSOL SAPHIRUS - ANGEL, marca Saphirus, línea Ciprés Limpieza, Villa Constitución.","Aerosol aromatizante de ambiente fragancia Angel, marca Saphirus, 185 ml.",aromatizante|perfume de ambiente|ambientador,ACTUALIZAR
CIP-0028,AEROSOL SAPHIRUS - ANTITABACO,"Aromatizante de ambientes AEROSOL SAPHIRUS - ANTITABACO, marca Saphirus, línea Ciprés Limpieza, Villa Constitución.","Aromatizante en aerosol antitabaco, marca Saphirus, formato 185 g.",aromatizador|perfume de ambiente|ambientador,ACTUALIZAR
CIP-0029,AEROSOL SAPHIRUS - APOLO,"Aromatizante de ambientes AEROSOL SAPHIRUS - APOLO, marca Saphirus, línea Ciprés Limpieza, Villa Constitución.","Aromatizante en aerosol fragancia Apolo, marca Saphirus.",perfume de ambiente|aromatizante,ACTUALIZAR
