id,title,brand,presentation,price,priceDisplay,stock,catalogo,categoryFooter,description,images
1677,BALDES  PARA 10 LTS C/TAPA X UNIDAD,PLASTICOS ARENALES,,7605.54,"7.605,54",580,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / PLASTICO - ID 1677,,https://curlomayorista.com.ar/imagenesproductos/1677a.jpg
1674,BALDES PARA 3 LTS CON TAPA X UNIDAD,PLASTICOS ARENALES,,3272.05,"3.272,05",85,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / PLASTICO - ID 1674,,https://curlomayorista.com.ar/imagenesproductos/1674a.jpg
1675,BALDES PARA 5 LTS CON TAPA X UNIDAD,PLASTICOS ARENALES,,3925.39,"3.925,39",60,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / PLASTICO - ID 1675,,https://curlomayorista.com.ar/imagenesproductos/1675a.jpg
2928,BARQUILLO BUBA CUPS 32 BLISTER X 3 U,EREVAN,,20479.01,"20.479,01",20,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2928,,
2852,BARQUILLO BUBA CUPS 40 BLISTER X 3 U,EREVAN,,30976,"30.976,00",6,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / ENSOBRADOS - ID 2852,,https://curlomayorista.com.ar/imagenesproductos/2852a.jpg | https://curlomayorista.com.ar/imagenesproductos/2852b.jpg
2495,BARQUILLO CUPS CLASICO 20 X3 UNI,ALTA ROTACION,,21995.17,"21.995,17",-4,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / ENSOBRADOS - ID 2495,PALLETT X 112 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2495a.jpg
2055,BARRA AP 19X12X12 UNI,AISLACIONES PATAGONICAS,,905.08,"905,08",280,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 2055,,https://curlomayorista.com.ar/imagenesproductos/2055a.jpg
2056,BARRA AP 26X10X9  UNI,AISLACIONES PATAGONICAS,,1059.36,"1.059,36",221,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 2056,,https://curlomayorista.com.ar/imagenesproductos/2056a.jpg
2057,BARRA AP 34X12X12 UNI,AISLACIONES PATAGONICAS,,1902.73,"1.902,73",591,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 2057,,https://curlomayorista.com.ar/imagenesproductos/2057a.jpg
1141,BOMBON SUIZO ( 6 PORCIONES ) C/TAPA X UNIDAD,NOVOPOR,,4092.03,"4.092,03",60,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1141,,https://curlomayorista.com.ar/imagenesproductos/1141a.jpg
1171,CAPELINA ARTESANAL X 72 UNIDADES,ALTA ROTACION,,30804.87,"30.804,87",78,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 1171,PALLETT X 90 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/1171a.jpg
2252,CAPSUBOM REDONDA X 1.7 KG (  EX 100 ),ALTA ROTACION,,53846.41,"53.846,41",-1,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2252,,https://curlomayorista.com.ar/imagenesproductos/2252a.jpg
1167,CONO 0 X 1700 UNIDADES APROX,ALTA ROTACION,,38805.43,"38.805,43",1,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 1167,,https://curlomayorista.com.ar/imagenesproductos/1167a.jpg | https://curlomayorista.com.ar/imagenesproductos/1167b.jpg
2087,CONO AMERICANO SOFT  X 195 UNIDADES,ALTA ROTACION,,34754.58,"34.754,58",50,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2087,PALLETT X 72 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2087a.jpg
2181,CONO DE PASTA Nº 50 X 273 U,ALTA ROTACION,,21097.78,"21.097,78",181,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2181,PALLETT X 88 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2181a.jpg
2182,CONO DE PASTA Nº 70 X 180 U AT,ALTA ROTACION,,16321.96,"16.321,96",172,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2182,PALLETT X 88 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2182a.jpg
1157,CONO DE PASTA Nº 70 X 270 U EREVAN,EREVAN,,29939.03,"29.939,03",18,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 1157,,
2183,CONO DOBLE DE PASTA X 90 U,ALTA ROTACION,,15217.31,"15.217,31",178,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2183,PALLETT X 88 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2183a.jpg
1142,CONTENEDOR 1/4 KG SIN TAPA X 1000 UNIDADES,NOVOPOR,,174995.62,"174.995,62",8,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1142,,https://curlomayorista.com.ar/imagenesproductos/1142a.jpg
2673,CUCURUCHON BIOCUPS X 160 UNIDADES,ALTA ROTACION,0,42929.72,"42.929,72",231,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2673,PALLETT X 36 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2673a.jpg
2767,CUCURUCHON GLUTEN FREE X 100 U,OBLOX,,50067.38,"50.067,38",26,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2767,,https://curlomayorista.com.ar/imagenesproductos/2767a.jpg
1166,CUCURUCHON GRANDE EREVAN X 200 U,EREVAN,,55660.3,"55.660,30",16,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 1166,,https://curlomayorista.com.ar/imagenesproductos/1166a.jpg
2676,MINI CUCURUCHON BIOCUPS X 240 UNI,ALTA ROTACION,0,49778.71,"49.778,71",213,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2676,PALLETT X 36 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2676a.jpg
2207,OBLEAS PARA DECORAR X 2KG,ALTA ROTACION,,25940.1,"25.940,10",71,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y OBLEAS DULCES - ID 2207,PALLETT X 90 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2207a.jpg
2368,PORTA CONO PLASTICO X 1000 UNIDADES,PLASTIVAS,,260246.39,"260.246,39",27,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 2368,,https://curlomayorista.com.ar/imagenesproductos/2368a.jpg
2604,POTE POLIPAPEL 390 CC 1/4 KG CAJA X 580 U BLANCO,POLICUPS,,133293.6,"133.293,60",40,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2604,,https://curlomayorista.com.ar/imagenesproductos/2604a.jpg
2662,POTE POLIPAPEL 390 CC 1/4 KG X 4 TIRAS 116 U BLANCO,POLICUPS,,31990.46,"31.990,46",-40,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2662,,https://curlomayorista.com.ar/imagenesproductos/2662a.jpg
2588,POTE POLIPAPEL DE 240 CC X 300 U BLANCO,POLICUPS,010,55539.02,"55.539,02",34,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2588,,https://curlomayorista.com.ar/imagenesproductos/2588a.jpg | https://curlomayorista.com.ar/imagenesproductos/2588b.jpg
2759,POTE POLIPAPEL DE 240 CC X 300 U DISEñO GENERICO,POLICUPS,,55757.45,"55.757,45",18,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2759,,
2651,TAPA CRISTAL P/POTE 390 CC CAJA X 580,POLICUPS,,54246.05,"54.246,05",5,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2651,,https://curlomayorista.com.ar/imagenesproductos/2651a.jpg | https://curlomayorista.com.ar/imagenesproductos/2651b.jpg
1673,TAPA PARA BALDES DE 10 LTS X UNIDAD,PLASTICOS ARENALES,,1749.51,"1.749,51",887,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / PLASTICO - ID 1673,,https://curlomayorista.com.ar/imagenesproductos/1673a.jpg
1676,TAPA PARA BALDES DE 3/5 LTS X UNIDAD,PLASTICOS ARENALES,,1402.58,"1.402,58",667,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / PLASTICO - ID 1676,,https://curlomayorista.com.ar/imagenesproductos/1676a.jpg
1128,TERMICOS PARA 1 KG X UNIDAD,AISLACIONES PATAGONICAS,C/U,539.06,"539,06",12899,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1128,,https://curlomayorista.com.ar/imagenesproductos/1128a.jpg
1129,TERMICOS PARA 1/2 KG X UNIDAD,AISLACIONES PATAGONICAS,,359.37,"359,37",12270,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1129,,https://curlomayorista.com.ar/imagenesproductos/1129a.jpg
1130,TERMICOS PARA 1/4 KG X UNIDAD,AISLACIONES PATAGONICAS,,239.58,"239,58",23239,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1130,,https://curlomayorista.com.ar/imagenesproductos/1130a.jpg
1134,TERMICOS PARA 3/4 KG NOVOPOR X UNIDAD,NOVOPOR,,593.9,"593,90",500,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1134,,
1140,TORTA 21 X 10 ( 8-3-27 ) X UNIDAD,NOVOPOR,,2684.86,"2.684,86",388,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1140,,https://curlomayorista.com.ar/imagenesproductos/1140a.jpg
1138,TORTA 22 X 12 ( 8-3-16) X UNIDAD,NOVOPOR,,5417.5,"5.417,50",481,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1138,,https://curlomayorista.com.ar/imagenesproductos/1138a.jpg
1139,TORTA 25 X 12 ( 8-3-38) X UNIDAD,NOVOPOR,,3869.22,"3.869,22",604,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / TERMICOS - ID 1139,,https://curlomayorista.com.ar/imagenesproductos/1139a.jpg
2665,VASO CAFE 14 OZ SIMPLE PARED (BLA/ MARR) 160 UNI C/TAPA,POLICUPS,,55121.35,"55.121,35",3,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2665,,https://curlomayorista.com.ar/imagenesproductos/2665a.jpg
2917,VASO CAFE 6 OZ SIMPLE PARED (BLA) CAJA 1400 UNI C/TAPA,POLICUPS,,279641.18,"279.641,18",2,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2917,,https://curlomayorista.com.ar/imagenesproductos/2917a.jpg
