client_id,razon_social,direccion,query,ok,status,lat,lng,formatted,location_type,partial_match,error_message
11,BENFRESH MARKET LLC,"7337NW 37 AVE, Miami","7337NW 37 AVE, Miami, 33147, FL, USA",True,OK,25.8406558,-80.257392,"7337 NW 37th Ave, Miami, FL 33147, USA",ROOFTOP,True,
12,AYE CATERING LLC,"7836 NW 178th St, Hialeah","7836 NW 178th St, Hialeah, 33015, FL, USA",True,OK,25.9345262,-80.3279263,"7836 NW 178th St, Hialeah, FL 33015, USA",ROOFTOP,False,
13,DIXIE RIBS,"2620 W 2 AVE, HIALEAH","2620 W 2 AVE, HIALEAH, 33010, FL, USA",True,OK,25.8456956,-80.2865042,"2620 W 2nd Ave, Hialeah, FL 33013, USA",ROOFTOP,False,
14,SERGIO'S CATERING,"5371 NW 161st, MIAMI GARDENS","5371 NW 161st, MIAMI GARDENS, 33014, FL, USA",True,OK,25.9200842,-80.28740379999999,"5371 NW 161st St, Hialeah, FL 33014, USA",ROOFTOP,False,
15,NUTRISPA INC,"8175 NW 31 st, Miami","8175 NW 31 st, Miami, 33122, FL, USA",True,OK,25.802913,-80.32861690000001,"8175 NW 31st St, Doral, FL 33122, USA",ROOFTOP,False,
16,TU COCINITA CATERING,"2430 W 8 AVE, HIALEAH","2430 W 8 AVE, HIALEAH, 33016, FL, USA",True,OK,25.8436715,-80.2984109,"2430 W 8th Ave, Hialeah, FL 33010, USA",ROOFTOP,False,
17,"GREATER MIAMI CATERERS, INC","4001 NW 31 AVE, MIAMI","4001 NW 31 AVE, MIAMI, 33142, FL, USA",True,OK,25.8119124,-80.2460608,"4001 NW 31st Ave, Miami, FL 33142, USA",ROOFTOP,False,
18,PRICE CHOICE #5,"1851 NE 2  Ave., Miami","1851 NE 2  Ave., Miami, 33132, FL, USA",True,OK,25.7943607,-80.1901979,"1851 NE 2nd Ave, Miami, FL 33132, USA",ROOFTOP,False,
19,Charanga Catering,"233 W 28th st, Hialeah","233 W 28th st, Hialeah, 33010, FL, USA",True,OK,25.8474558,-80.287216,"233 W 28th St, Hialeah, FL 33010, USA",ROOFTOP,False,
20,smoothie plus,"11348 miramar parkway, Miramar","11348 miramar parkway, Miramar, 33025, FL, USA",True,OK,25.9782056,-80.2971419,"11348 Miramar Pkwy, Miramar, FL 33025, USA",ROOFTOP,False,
21,POWERFUEL SMOOTHIE SHOP MIRAMAR,"11348 miramar parkway, Miramar","11348 miramar parkway, Miramar, 33025, FL, USA",True,OK,25.9782056,-80.2971419,"11348 Miramar Pkwy, Miramar, FL 33025, USA",ROOFTOP,False,
22,WHITE BAY FOODS CORP,"1617 NE 163RD St, North Miami Beach","1617 NE 163RD St, North Miami Beach, 33162, FL, USA",True,OK,25.9261816,-80.1676488,"1617 NE 163rd St, North Miami Beach, FL 33162, USA",ROOFTOP,False,
23,POWERFUEL SMOOTHIE SHOP 2 INC.,"57 NW 183 Street, Miami Gardens","57 NW 183 Street, Miami Gardens, 33169, FL, USA",True,OK,25.943117,-80.201799,"57 NW 183rd St, Miami, FL 33169, USA",ROOFTOP,False,
24,"APOLLO EXPORT WAREHOUSE, INC","6950 NW 77 Court, Miami","6950 NW 77 Court, Miami, 33166, FL, USA",True,OK,25.8367154,-80.3242606,"6950 NW 77th Ct, Miami Springs, FL 33166, USA",ROOFTOP,False,
