product_code,nombre,qty,qty_rank,matched_url,matched_file,score,status,image_url_prev
89090130,CUT GREEN BEANS 22 lb,365.0,1,https://www.benfreshfood.com/assets/images/product/green_beans_frente.png,green_beans_frente.png,0.767,matched_apply,
89090045,3 vegetables Peas & Carrot & Sweetcorn 22 lb,179.0,2,https://www.benfreshfood.com/assets/images/product/peas_and_carrot_frente.png,peas_and_carrot_frente.png,0.65,matched_apply,
89090064,Onion Diced Frozen 20 lb,171.0,3,https://www.benfreshfood.com/assets/images/product/onion-diced.jpg,onion-diced.jpg,1.1,matched_apply,
74987455860,Platano Maduro Sweet Plantain Slices 24 lb,132.0,4,https://www.benfreshfood.com/assets/images/product/platano_maduro_frente.png,platano_maduro_frente.png,0.767,matched_apply,
89090009,Sweetcorn frozen 30 lb,131.0,5,https://www.benfreshfood.com/assets/images/product/sweet-corn.png,sweet-corn.png,0.5,matched_apply,
89090116,FAJITA MIX - 20 lb,123.0,6,https://www.benfreshfood.com/assets/images/product/fajita_strips_frente.png,fajita_strips_frente.png,0.6,matched_apply,
736952201775,GREEN PEAS frozen 22 lb,104.0,7,https://www.benfreshfood.com/assets/images/product/green_peas_frente.png,green_peas_frente.png,0.767,matched_apply,
89090132,"Carrot Diced 10x10 frozen IQF Bag 22,50 lb (1x22,50lb)",100.0,8,https://www.benfreshfood.com/assets/images/product/carrot_diced_frente.png,carrot_diced_frente.png,0.6,matched_apply,
89090131,"Carrot Sliced 22,04 lb",80.0,9,https://www.benfreshfood.com/assets/images/product/3_colored_pepper_sliced_frente.png,3_colored_pepper_sliced_frente.png,0.55,matched_apply,
74987455943,"Broccoli frozen 22,04 lb",68.0,10,https://www.benfreshfood.com/assets/images/product/broccoli-florets.png,broccoli-florets.png,0.6,matched_apply,
89090056,CALIFORNIA BLEND 22.04 lb (BroccoliCarrot slicedCauliflower),51.0,11,https://www.benfreshfood.com/assets/images/product/california_frente.png,california_frente.png,0.6,matched_apply,
