id,product_code,nombre,stock,created_at,updated_at,unidades_por_bulto,descripcion,rotacion_index,unidad_minima_de_venta,en_catalogo,bultos_por_pallet,image_url,cantidad_minima_de_venta,umv_tipo,unidades_por_display,displays_por_bulto,motivo_baja,mental_priority,es_pesable,peso_referencia_kg,pallets_por_equipo,caja_semantica,is_mock,tipo_venta
10353,11601,AGUILA 60% CACAO BARRITA 24X24X14G,0,2026-02-03 14:43:12.111625+00,2026-07-16 12:00:53.332589+00,24,"Descubre el irresistible sabor de la barra Águila 60% Cacao, perfecta para los amantes del chocolate oscuro. Presentada en un práctico formato de 24 barras de 14g cada una, es ideal para exhibir en tu kiosco. Su delicioso sabor y alto contenido de cacao atraen a un público exigente que busca calidad. Además, su tamaño conveniente la convierte en la opción perfecta para compras por impulso. Aumenta tu rentabilidad con un producto que garantiza rotación y satisfacción en cada bocado.",0.0002,DISPLAY,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-11601-300x300.webp,1,display,,24,display_por_bulto inválido,0,false,,,display,false,
10354,13332,AGUILA BAÑO REPOSTERO SEMI AMARGO 8X12X150G,0,2026-02-03 14:43:13.479558+00,2026-07-16 12:00:55.173699+00,96,"Descubre el irresistible sabor del Águila Baño Repostero Semi Amargo, ideal para darle un toque gourmet a tus postres. Este formato de 8 cajas de 12 unidades de 150g cada una es perfecto para abastecer tu kiosco o almacén. Su versatilidad lo convierte en un must-have para reposteros y amantes de la cocina. Atrae a tus clientes con esta opción de compra por impulso, que garantiza un alto margen de ganancia y asegura una rápida rotación en tu negocio. ¡No te quedes sin él!",0.0008,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-13332-300x300.webp,1,unidad,12,,,0,false,,,,false,
10355,10344,AIREADO COFLER LECHE 4x12x100G,69,2026-02-03 14:43:14.818576+00,2026-07-16 12:00:55.008842+00,48,"Descubre la irresistible combinación de sabor y textura con los AIREADO COFLER LECHE. Este delicioso snack de chocolate es perfecto para quienes buscan un momento dulce en su día. Presentado en un formato de 4 cajas con 12 unidades de 100g cada una, es ideal para exhibir en tu kiosco. Su atractivo packaging y sabor único garantizan una alta rotación y compra por impulso, maximizando tu margen de ganancias y cautivando a un público amplio. ¡No te quedes sin ellos!",0.0002,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-10344-300x300.webp,1,unidad,12,,,0,false,,,,false,
10356,3107,AGUILA TABLETA BLANCO 6X15X100G,5,2026-02-03 14:43:16.120935+00,2026-07-16 12:00:53.703303+00,90,"¡Descubre el irresistible sabor de la Aguileta Blanco! Esta deliciosa tableta de chocolate blanco, con su textura suave y cremosa, es perfecta para satisfacer esos antojos dulces. Presentada en un práctico formato de 6 cajas de 15 tabletas de 100g, es ideal para tu negocio. Su atractivo visual y su alta demanda garantizan una compra por impulso, asegurando un excelente margen de ganancia. Con un público amante del chocolate, ¡no dejes pasar la oportunidad de incrementar tus ventas!",0.0002,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-3107-1-300x300.webp,1,unidad,15,,,0,false,,,,false,
10357,10582,AGUILA TAZA FAMILIAR 6X12X225G,0,2026-02-03 14:43:17.440564+00,2026-07-16 12:00:58.27565+00,72,"Chocolate de taza semiamargo, marca Aguila, formato 225g.",0,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-10582-300x300.webp,1,unidad,12,,,0,false,,,,false,
10358,12903,AGUILA 70% CACAO 4X15X150G,0,2026-02-03 14:43:18.783039+00,2026-06-08 10:32:29.072166+00,60,"Descubre el irresistible sabor del chocolate Águila 70% Cacao, una delicia que conquistará a los amantes del chocolate oscuro. Presentado en prácticos packs de 4 tabletas de 150g cada una, este producto es perfecto para exhibiciones en estanterías y atraer a clientes que buscan calidad. Su alto contenido de cacao ofrece un margen atractivo para el comerciante, ideal para compras por impulso. Atrae a un público exigente y amante del buen chocolate, asegurando una rotación constante en tu tienda.",0.0032,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-12903-300x300.webp,1,unidad,15,,,0,false,,,,false,
10359,15059,CHOCOLATE ARCOR BLANCO MANI 8X10X80G,0,2026-02-03 14:43:20.079513+00,2026-07-16 12:00:57.161171+00,80,"Descubre el irresistible Chocolate Arcor Blanco con Mani, una combinación perfecta de dulzura y crocancia que encantará a todos tus clientes. Presentado en un práctico formato de 8 cajas de 10 unidades de 80g cada una, este producto es ideal para exhibir en tu mostrador. Su atractivo sabor y presentación lo convierten en una opción perfecta para compras por impulso, asegurando un alto margen de ganancia y rápida rotación. ¡Atrae a los amantes del chocolate y maximiza tus ventas hoy mismo!",0.001000000000000000020816681711721685132943093776702880859375,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2025/07/20250723-15059-300x300.webp,1,unidad,10,,,0,false,,,,false,
10360,10610,BEBIDA BC MANZANA 24x200ML,0,2026-02-03 14:43:21.394301+00,2026-07-06 18:00:35.718366+00,24,"Descubre la frescura irresistible de la Bebida BC Manzana, una opción refrescante que encanta a los consumidores con su sabor natural y delicioso. Presentada en un práctico formato de 24 botellas de 200 ml, es perfecta para exhibir en tu kiosco o almacén. Su atractivo sabor y tamaño ideal la convierten en una compra por impulso, asegurando un alto margen de ganancia y rápida rotación. No dejes pasar la oportunidad de satisfacer a tus clientes y maximizar tus ventas. ¡Añádela a tu oferta hoy!",0,UNIDAD,true,,https://arcorencasa.com/wp-content/uploads/2024/10/20241008-10610-300x300.webp,1,unidad,,,,0,false,,,,false,
10361,12994,ATUN LC DESMENUZADO ACEITE 24X170G,0,2026-02-03 14:43:22.732992+00,2026-04-10 19:03:58.47851+00,24,"Descubre el irresistible Atún LC Desmenuzado en Aceite, una opción deliciosa y versátil que encantará a tus clientes. Presentado en un práctico formato de 24 latas de 170g, es ideal para cualquier ocasión. Su sabor suave y textura perfecta lo convierten en un básico en la cocina. Además, su alta demanda garantiza una excelente rotación en tu mostrador, fomentando las compras por impulso y ofreciendo un atractivo margen de ganancia. ¡No dejes pasar esta oportunidad para deleitar a tus consumidores!",0.0015,UNIDAD,true,,,1,unidad,,,,0,false,,,,false,
10362,15301,BUDIN ARCOR CON CHIPS 18X215G,39,2026-02-03 14:43:24.077189+00,2026-07-16 12:00:52.79529+00,18,"Descubre el irresistible Budín Arcor con Chips, un deleite que combina la suavidad del budín con el crujiente de los chips de chocolate, ideal para satisfacer los antojos de tus clientes. Presentado en un atractivo formato de 18 unidades de 215g cada una, este producto es perfecto para exhibir en tu kiosco. Su alta demanda y precio accesible garantizan una rotación rápida y un excelente margen de ganancia. ¡Aprovecha la compra por impulso y aumenta tus ventas hoy mismo!",0,UNIDAD,true,,,1,unidad,,,,0,false,,,,false,
