product_code,nombre,descripcion
1421,ESCOBITA INFANTIL,"Escobita infantil, marca SUNDE, rubro escobas, venta por unidad, catálogo SUNDE."
1600,CABO MADERA C/ROSCA,"Cabo madera c/rosca, marca SUNDE, rubro cabos, venta por unidad."
1607,CABO MADERA C/ROSCA 1.20MTS PINO,"Cabo madera c/rosca 1.20mts pino, marca SUNDE, rubro cabos, venta por unidad."
1604,CABO MADERA C/ROSCA 1.50MTS,"Cabo madera c/rosca 1.50mts, marca SUNDE, rubro cabos, venta por unidad."
1608,CABO MADERA C/ROSCA P/BARRENDERO,"Cabo madera c/rosca p/barrendero, marca SUNDE, rubro cabos, venta por unidad."
1521,LAMPAZO BARRENDERO 0.40MT CHICO,"Lampazo barrendero 0.40mt chico, marca SUNDE, rubro lampazos, venta por unidad."
1522,LAMPAZO BARRENDERO 0.60MT MEDIANO,"Lampazo barrendero 0.60mt mediano, marca SUNDE, rubro lampazos, venta por unidad."
1523,LAMPAZO BARRENDERO 0.80MT GRANDE,"Lampazo barrendero 0.80mt grande, marca SUNDE, rubro lampazos, venta por unidad."
SND-2521,LAMPAZO BARRENDERO PREMIUM 0.40MT CHICO,"Lampazo barrendero premium 0.40mt chico, marca SUNDE, rubro lampazos, venta por unidad."
SND-2522,LAMPAZO BARRENDERO PREMIUM 0.60MT MEDIANO,"Lampazo barrendero premium 0.60mt mediano, marca SUNDE, rubro lampazos, venta por unidad."
SND-2523,LAMPAZO BARRENDERO PREMIUM 0.80MT GRANDE,"Lampazo barrendero premium 0.80mt grande, marca SUNDE, rubro lampazos, venta por unidad."
SND-2524,LAMPAZO BARRENDERO PREMIUM 1.00MT,"Lampazo barrendero premium 1.00mt, marca SUNDE, rubro lampazos, venta por unidad."
1700,PALA RESIDUOS METAL C/CABO,"Pala residuos metal c/cabo, marca SUNDE, rubro cabos, venta por unidad."
MEL-04,ALCOHOL GEL FRAU 500ML,"Alcohol gel frau 500ml, rubro limpieza, venta por unidad, catálogo SUNDE."
MK-6127,ESCOBILLON 6 HILERAS,"Escobillon 6 hileras, marca Make, rubro escobillones, venta por unidad."
FS-2035,ESCOBILLON BARREGRUESO,"Escobillon barregrueso, marca SUNDE, rubro escobillones, venta por unidad, catálogo SUNDE."
FS-701,ESCOBILLON CERDA LISO,"Escobillon cerda liso, marca SUNDE, rubro escobillones, venta por unidad."
