codigo_cliente,codigo_zona,vendedor_codigo,dia_visita
12084,11,1,lunes
12087,11,1,lunes
12482,11,1,lunes
12552,11,1,lunes
13231,11,1,lunes
12479,11,1,lunes
10665,11,1,lunes
10788,11,1,lunes
10470,11,1,lunes
10481,11,1,lunes
10554,11,1,lunes
10118,11,1,lunes
10410,11,1,lunes
12314,11,1,lunes
14616,11,1,lunes
12724,11,1,lunes
12935,11,1,lunes
17061,11,1,lunes
13846,11,1,lunes
14032,11,1,lunes
14180,11,1,lunes
17788,11,1,lunes
5377,11,1,lunes
13898,11,1,lunes
17954,11,1,lunes
18405,11,1,lunes
18511,11,1,lunes
19145,11,1,lunes
19155,11,1,lunes
15190,11,1,lunes
19293,11,1,lunes
19294,11,1,lunes
19310,11,1,lunes
19478,11,1,lunes
20000,11,1,lunes
25731,11,1,lunes
25732,11,1,lunes
22657,11,1,lunes
15219,11,1,lunes
23503,11,1,lunes
23504,11,1,lunes
16474,11,1,lunes
16475,11,1,lunes
16727,11,1,lunes
15029,11,1,lunes
31085,11,1,lunes
31182,11,1,lunes
31438,11,1,lunes
18964,11,1,lunes
19164,11,1,lunes
19138,11,1,lunes
19429,11,1,lunes
19721,11,1,lunes
19980,11,1,lunes
23641,11,1,lunes
13152,12,1,martes
10885,12,1,martes
10628,12,1,martes
10431,12,1,martes
10503,12,1,martes
10528,12,1,martes
10453,12,1,martes
10464,12,1,martes
10552,12,1,martes
10577,12,1,martes
10582,12,1,martes
12180,12,1,martes
12184,12,1,martes
12518,12,1,martes
14315,12,1,martes
12778,12,1,martes
12784,12,1,martes
12804,12,1,martes
13733,12,1,martes
13778,12,1,martes
13414,12,1,martes
13415,12,1,martes
14187,12,1,martes
17638,12,1,martes
18052,12,1,martes
17939,12,1,martes
18333,12,1,martes
18495,12,1,martes
18497,12,1,martes
19237,12,1,martes
14265,12,1,martes
17847,12,1,martes
32529,12,1,martes
18367,12,1,martes
18368,12,1,martes
18369,12,1,martes
18592,12,1,martes
18969,12,1,martes
18967,12,1,martes
19200,12,1,martes
19554,12,1,martes
19526,12,1,martes
21151,12,1,martes
21152,12,1,martes
25941,12,1,martes
21504,12,1,martes
21040,12,1,martes
12515,13,1,miercoles
12512,13,1,miercoles
12514,13,1,miercoles
13566,13,1,miercoles
14439,13,1,miercoles
14450,13,1,miercoles
12759,13,1,miercoles
12779,13,1,miercoles
13597,13,1,miercoles
13788,13,1,miercoles
13832,13,1,miercoles
13835,13,1,miercoles
13853,13,1,miercoles
14074,13,1,miercoles
13456,13,1,miercoles
16247,13,1,miercoles
14117,13,1,miercoles
13692,13,1,miercoles
13693,13,1,miercoles
13715,13,1,miercoles
17960,13,1,miercoles
17962,13,1,miercoles
17981,13,1,miercoles
17996,13,1,miercoles
18090,13,1,miercoles
18091,13,1,miercoles
19295,13,1,miercoles
19502,13,1,miercoles
19689,13,1,miercoles
19728,13,1,miercoles
14269,13,1,miercoles
17596,13,1,miercoles
15968,13,1,miercoles
15032,13,1,miercoles
32019,13,1,miercoles
19140,13,1,miercoles
19543,13,1,miercoles
19525,13,1,miercoles
25127,13,1,miercoles
21633,13,1,miercoles
21179,13,1,miercoles
15276,14,1,jueves
15292,14,1,jueves
15284,14,1,jueves
15287,14,1,jueves
15290,14,1,jueves
15320,14,1,jueves
15355,14,1,jueves
15357,14,1,jueves
15776,14,1,jueves
15803,14,1,jueves
16113,14,1,jueves
34919,14,1,jueves
17930,14,1,jueves
17751,14,1,jueves
17774,14,1,jueves
18070,14,1,jueves
15911,14,1,jueves
15947,14,1,jueves
16207,14,1,jueves
19687,14,1,jueves
19688,14,1,jueves
25091,14,1,jueves
16601,14,1,jueves
15265,14,1,jueves
77,14,1,jueves
18088,14,1,jueves
15726,14,1,jueves
30310,14,1,jueves
31513,14,1,jueves
31606,14,1,jueves
31619,14,1,jueves
32217,14,1,jueves
32289,14,1,jueves
32368,14,1,jueves
17461,14,1,jueves
18979,14,1,jueves
19910,14,1,jueves
19079,14,1,jueves
19542,14,1,jueves
19757,14,1,jueves
21048,14,1,jueves
21045,14,1,jueves
14706,15,1,viernes
17049,15,1,viernes
17173,15,1,viernes
5305,15,1,viernes
5364,15,1,viernes
16961,15,1,viernes
16962,15,1,viernes
17633,15,1,viernes
19235,15,1,viernes
19036,15,1,viernes
15883,15,1,viernes
19685,15,1,viernes
5896,15,1,viernes
19726,15,1,viernes
25325,15,1,viernes
5922,15,1,viernes
19759,15,1,viernes
23647,15,1,viernes
16320,15,1,viernes
5769,15,1,viernes
15815,15,1,viernes
14782,15,1,viernes
16417,15,1,viernes
16617,15,1,viernes
16324,15,1,viernes
16327,15,1,viernes
16980,15,1,viernes
1976,15,1,viernes
19055,15,1,viernes
19545,15,1,viernes
19580,15,1,viernes
19987,15,1,viernes
21630,15,1,viernes
21038,15,1,viernes
15993,16,1,sabado
15994,16,1,sabado
15999,16,1,sabado
16043,16,1,sabado
17720,16,1,sabado
18477,16,1,sabado
19307,16,1,sabado
19453,16,1,sabado
16868,16,1,sabado
5813,16,1,sabado
16205,16,1,sabado
21600,16,1,sabado
19489,16,1,sabado
19551,16,1,sabado
16206,16,1,sabado
5069,16,1,sabado
30474,16,1,sabado
30851,16,1,sabado
31551,16,1,sabado
31770,16,1,sabado
14753,16,1,sabado
14754,16,1,sabado
16106,16,1,sabado
16103,16,1,sabado
16104,16,1,sabado
16633,16,1,sabado
16619,16,1,sabado
19093,16,1,sabado
19638,16,1,sabado
25830,16,1,sabado
12101,21,2,lunes
12144,21,2,lunes
12160,21,2,lunes
12161,21,2,lunes
12175,21,2,lunes
12578,21,2,lunes
12840,21,2,lunes
13228,21,2,lunes
10593,21,2,lunes
10843,21,2,lunes
10863,21,2,lunes
13161,21,2,lunes
10540,21,2,lunes
10485,21,2,lunes
10518,21,2,lunes
10549,21,2,lunes
10606,21,2,lunes
10388,21,2,lunes
12391,21,2,lunes
14295,21,2,lunes
13164,21,2,lunes
12948,21,2,lunes
17374,21,2,lunes
17615,21,2,lunes
17851,21,2,lunes
16450,21,2,lunes
19161,21,2,lunes
16208,21,2,lunes
5914,21,2,lunes
19492,21,2,lunes
15142,21,2,lunes
19125,21,2,lunes
16175,21,2,lunes
17563,21,2,lunes
19039,21,2,lunes
19593,21,2,lunes
352,21,2,lunes
19635,21,2,lunes
10239,22,2,martes
11186,22,2,martes
11201,22,2,martes
12608,22,2,martes
13233,22,2,martes
11128,22,2,martes
11146,22,2,martes
11172,22,2,martes
11185,22,2,martes
10903,22,2,martes
11010,22,2,martes
11024,22,2,martes
11030,22,2,martes
11089,22,2,martes
10772,22,2,martes
10773,22,2,martes
12568,22,2,martes
10207,22,2,martes
10235,22,2,martes
10276,22,2,martes
10302,22,2,martes
10340,22,2,martes
10254,22,2,martes
10346,22,2,martes
10352,22,2,martes
14801,22,2,martes
14892,22,2,martes
12299,22,2,martes
12526,22,2,martes
12403,22,2,martes
12773,22,2,martes
14455,22,2,martes
12836,22,2,martes
13007,22,2,martes
15903,22,2,martes
16074,22,2,martes
13223,22,2,martes
17225,22,2,martes
17531,22,2,martes
17690,22,2,martes
19296,22,2,martes
19313,22,2,martes
16859,22,2,martes
25733,22,2,martes
30213,22,2,martes
18593,22,2,martes
19275,22,2,martes
21611,22,2,martes
12003,23,2,miercoles
11956,23,2,miercoles
11962,23,2,miercoles
13151,23,2,miercoles
12628,23,2,miercoles
11244,23,2,miercoles
11252,23,2,miercoles
12845,23,2,miercoles
10153,23,2,miercoles
10191,23,2,miercoles
10356,23,2,miercoles
12247,23,2,miercoles
12624,23,2,miercoles
12641,23,2,miercoles
12645,23,2,miercoles
14470,23,2,miercoles
12951,23,2,miercoles
16563,23,2,miercoles
17033,23,2,miercoles
17035,23,2,miercoles
14672,23,2,miercoles
13108,23,2,miercoles
14132,23,2,miercoles
14122,23,2,miercoles
17477,23,2,miercoles
17662,23,2,miercoles
17776,23,2,miercoles
18180,23,2,miercoles
18588,23,2,miercoles
17558,23,2,miercoles
17559,23,2,miercoles
19494,23,2,miercoles
17875,23,2,miercoles
16896,23,2,miercoles
16431,23,2,miercoles
18227,23,2,miercoles
19301,23,2,miercoles
19315,23,2,miercoles
19733,23,2,miercoles
25141,23,2,miercoles
25150,23,2,miercoles
24837,23,2,miercoles
13149,24,2,jueves
5186,24,2,jueves
13190,24,2,jueves
5210,24,2,jueves
5552,24,2,jueves
18144,24,2,jueves
18146,24,2,jueves
18147,24,2,jueves
18148,24,2,jueves
18152,24,2,jueves
18153,24,2,jueves
18179,24,2,jueves
18215,24,2,jueves
18265,24,2,jueves
18266,24,2,jueves
18284,24,2,jueves
18285,24,2,jueves
18343,24,2,jueves
18388,24,2,jueves
18622,24,2,jueves
18640,24,2,jueves
18641,24,2,jueves
18988,24,2,jueves
19017,24,2,jueves
19023,24,2,jueves
19147,24,2,jueves
19222,24,2,jueves
19298,24,2,jueves
19424,24,2,jueves
19495,24,2,jueves
19693,24,2,jueves
25840,24,2,jueves
25757,24,2,jueves
30753,24,2,jueves
30801,24,2,jueves
31382,24,2,jueves
31477,24,2,jueves
31687,24,2,jueves
31894,24,2,jueves
31912,24,2,jueves
18231,24,2,jueves
18347,24,2,jueves
19085,24,2,jueves
19779,24,2,jueves
19799,24,2,jueves
24511,24,2,jueves
24578,24,2,jueves
22108,24,2,jueves
22110,24,2,jueves
15984,25,2,viernes
15986,25,2,viernes
15997,25,2,viernes
17325,25,2,viernes
5135,25,2,viernes
5153,25,2,viernes
5219,25,2,viernes
20399,25,2,viernes
20544,25,2,viernes
20776,25,2,viernes
20780,25,2,viernes
17820,25,2,viernes
14980,25,2,viernes
16415,25,2,viernes
19309,25,2,viernes
19181,25,2,viernes
6088,25,2,viernes
6149,25,2,viernes
15224,25,2,viernes
16356,25,2,viernes
16357,25,2,viernes
16358,25,2,viernes
15215,25,2,viernes
16659,25,2,viernes
16678,25,2,viernes
16384,25,2,viernes
17964,25,2,viernes
19714,25,2,viernes
19060,25,2,viernes
19194,25,2,viernes
19272,25,2,viernes
19358,25,2,viernes
19768,25,2,viernes
23646,25,2,viernes
22655,25,2,viernes
16714,26,2,sabado
17174,26,2,sabado
17136,26,2,sabado
17867,26,2,sabado
20665,26,2,sabado
20904,26,2,sabado
5494,26,2,sabado
5521,26,2,sabado
16413,26,2,sabado
16414,26,2,sabado
17154,26,2,sabado
17104,26,2,sabado
5902,26,2,sabado
6091,26,2,sabado
6179,26,2,sabado
23645,26,2,sabado
30912,26,2,sabado
32875,26,2,sabado
16686,26,2,sabado
116353,26,2,sabado
17684,26,2,sabado
19223,26,2,sabado
19278,26,2,sabado
19794,26,2,sabado
25324,26,2,sabado
258300,26,2,sabado
22012,26,2,sabado
22014,26,2,sabado
427,26,2,sabado
17534,26,2,sabado
25475,26,2,sabado
11580,31,3,lunes
11365,31,3,lunes
11398,31,3,lunes
14590,31,3,lunes
15289,31,3,lunes
17040,31,3,lunes
14686,31,3,lunes
13854,31,3,lunes
13168,31,3,lunes
16899,31,3,lunes
17699,31,3,lunes
17799,31,3,lunes
17942,31,3,lunes
17978,31,3,lunes
18578,31,3,lunes
15895,31,3,lunes
14243,31,3,lunes
19509,31,3,lunes
19498,31,3,lunes
23658,31,3,lunes
22656,31,3,lunes
22670,31,3,lunes
16642,31,3,lunes
23506,31,3,lunes
23507,31,3,lunes
17813,31,3,lunes
18968,31,3,lunes
19392,31,3,lunes
19473,31,3,lunes
19529,31,3,lunes
345,31,3,lunes
19988,31,3,lunes
25579,31,3,lunes
11546,32,3,martes
12005,32,3,martes
12022,32,3,martes
12028,32,3,martes
12571,32,3,martes
12594,32,3,martes
11334,32,3,martes
11360,32,3,martes
11370,32,3,martes
11394,32,3,martes
11419,32,3,martes
11449,32,3,martes
11470,32,3,martes
11476,32,3,martes
11487,32,3,martes
12572,32,3,martes
13556,32,3,martes
15306,32,3,martes
13163,32,3,martes
14453,32,3,martes
13499,32,3,martes
14945,32,3,martes
30086,32,3,martes
17194,32,3,martes
14410,32,3,martes
13622,32,3,martes
13682,32,3,martes
13998,32,3,martes
18022,32,3,martes
18023,32,3,martes
16971,32,3,martes
19252,32,3,martes
28553,32,3,martes
21154,32,3,martes
35249,32,3,martes
14723,32,3,martes
14786,32,3,martes
16704,32,3,martes
18067,32,3,martes
18577,32,3,martes
19547,32,3,martes
17592,32,3,martes
15961,33,3,miercoles
14394,33,3,miercoles
13375,33,3,miercoles
13376,33,3,miercoles
13377,33,3,miercoles
17055,33,3,miercoles
17177,33,3,miercoles
17178,33,3,miercoles
17832,33,3,miercoles
17927,33,3,miercoles
14635,33,3,miercoles
17922,33,3,miercoles
18219,33,3,miercoles
18220,33,3,miercoles
18279,33,3,miercoles
18324,33,3,miercoles
18460,33,3,miercoles
18463,33,3,miercoles
19186,33,3,miercoles
25559,33,3,miercoles
21623,33,3,miercoles
17351,33,3,miercoles
17810,33,3,miercoles
17918,33,3,miercoles
18239,33,3,miercoles
18307,33,3,miercoles
19268,33,3,miercoles
19340,33,3,miercoles
331,33,3,miercoles
19485,33,3,miercoles
23649,33,3,miercoles
22500,33,3,miercoles
22660,33,3,miercoles
22661,33,3,miercoles
21605,33,3,miercoles
21053,33,3,miercoles
11837,34,3,jueves
11840,34,3,jueves
11848,34,3,jueves
11850,34,3,jueves
11514,34,3,jueves
11527,34,3,jueves
11529,34,3,jueves
14538,34,3,jueves
14444,34,3,jueves
14463,34,3,jueves
14495,34,3,jueves
12738,34,3,jueves
12755,34,3,jueves
14526,34,3,jueves
13058,34,3,jueves
15935,34,3,jueves
17423,34,3,jueves
16907,34,3,jueves
17698,34,3,jueves
19267,34,3,jueves
30225,34,3,jueves
16152,34,3,jueves
17651,34,3,jueves
18662,34,3,jueves
22664,34,3,jueves
22665,34,3,jueves
13222,35,3,viernes
12565,35,3,viernes
11342,35,3,viernes
11436,35,3,viernes
11443,35,3,viernes
11453,35,3,viernes
11503,35,3,viernes
