codigo_zona,nombre,zone_type,description,color,dia_visita,codigo_ruta,vendedor_codigo,n_clientes_excel,n_pts_geo,geometry_wkt,is_mock
11,Zona 11 (V1 - Lunes),sales,"Ruta ERP zona 11: vendedor 1, visita Lunes.",#E74C3C,lunes,1,1,55,51,"MULTIPOLYGON (((-64.13754965420918 -31.37897099183849, -64.1380666956158 -31.37905275947639, -64.13859007914482 -31.379043408308043, -64.13910386964244 -31.378943223043024, -64.1395924240284 -31.3787552539638, -64.1411540906954 -31.3779919206308, -64.14161826134438 -31.377710361014994, -64.15083989467738 -31.370903694347994, -64.15133730275127 -31.3704409347656, -64.15171783312549 -31.369878122312482, -64.15196197045944 -31.3692441205891, -64.15965033712645 -31.3396407872561, -64.15973866132411 -31.339105682583767, -64.15972920109446 -31.338563420029004, -64.15962226561692 -31.338031721827118, -64.15942134975882 -31.337527964949043, -64.08640868309182 -31.19379829828204, -64.0860823301596 -31.19329009200507, -64.08566079683426 -31.192857553553672, -64.0851611683231 -31.192518214184975, -64.08460369511684 -31.192285827695216, -64.08401097221505 -31.19216981296332, -64.08340702332607 -31.19217487219343, -64.08281632715976 -31.192300800329406, -64.08226282527866 -31.192542493365988, -64.08176895172016 -31.19289015521971, -64.08135472372047 -31.193329694774906, -64.08103693039403 -31.19384329701204, -64.08082845225242 -31.194410145069977, -64.08073773914302 -31.195007263976137, -64.08076846776748 -31.19561045184733, -64.10587026776747 -31.359773851847333, -64.10599814240412 -31.360293898520084, -64.10621644387597 -31.36078292298975, -64.1065182156315 -31.36122534165132, -64.1130934156315 -31.369224841651317, -64.11361608399216 -31.36972370459372, -64.11424286674513 -31.370083134463243, -64.13177486674513 -31.377494634463247, -64.13221765420919 -31.377642391838492, -64.13754965420918 -31.37897099183849)))",false
12,Zona 12 (V1 - Martes),sales,"Ruta ERP zona 12: vendedor 1, visita Martes.",#E74C3C,martes,1,1,47,46,"MULTIPOLYGON (((-64.15717151678612 -31.411417718283623, -64.15770767170056 -31.41161273169873, -64.15827104964654 -31.411702718444104, -64.15884127560216 -31.41168442407586, -64.15939772688165 -31.41155851022472, -64.15992027897165 -31.411329530667572, -64.16039003335058 -31.411005766636453, -64.160790000969 -31.410598927321033, -64.16688793430201 -31.403083560654036, -64.16719529200854 -31.402623874819128, -64.1674130576299 -31.402115585570048, -64.16753383246233 -31.40157596230662, -64.1675535131161 -31.401023339018618, -64.16747143093048 -31.400476491378612, -64.16729037469173 -31.399953998828437, -64.16701649588266 -31.399473613332695, -64.16665909968269 -31.399051656246225, -64.16142409968269 -31.393916656246223, -64.16085618368565 -31.393479502241902, -64.16020078754374 -31.39318952275925, -64.14970578754374 -31.38997952275925, -64.14908398897283 -31.389859246483503, -64.14845079668663 -31.38987218379364, -64.14783442994381 -31.390017758117082, -64.14726235814496 -31.390289481693994, -64.1467600766134 -31.390675244714963, -64.1463499703541 -31.391157855014658, -64.1446645370211 -31.39362882168166, -64.14434499738033 -31.394236830170943, -64.14417212376537 -31.394901581717246, -64.14403362376537 -31.395886581717246, -64.1440087753795 -31.39646626645658, -64.14409598060901 -31.397039892717526, -64.144291977476 -31.397586003573878, -64.148530910809 -31.406556703573877, -64.14889160729575 -31.407137628423957, -64.14937448264916 -31.407621784421615, -64.14995445011913 -31.407984018283624, -64.15717151678612 -31.411417718283623)))",false
13,Zona 13 (V1 - Miércoles),sales,"Ruta ERP zona 13: vendedor 1, visita Miércoles.",#E74C3C,miercoles,1,1,41,39,"MULTIPOLYGON (((-64.19087371060117 -31.455978727896003, -64.1916814000097 -31.4560895, -64115874 -31.248712, -64115874.00058527 -31.24865435584121, -64115874.00114805 -31.248483638597534, -64115874.00166671 -31.248206408836907, -64115874.00212132 -31.24783332034356, -64115874.00249441 -31.24737871069906, -64115874.00277164 -31.246860050297098, -64115874.00294235 -31.24629727096605, -64115874.003 -31.245712, -64115874.00294235 -31.245126729033952, -64115874.00277164 -31.244563949702904, -64115874.00249441 -31.244045289300942, -64115874.00212132 -31.243590679656442, -64115874.00166671 -31.243217591163095, -64115874.00114805 -31.242940361402468, -64115874.00058527 -31.24276964415879, -64115874 -31.242712, -64.17499669999117 -31.4314692, -64.17443589381813 -31.43152208337075, -64.17389485919196 -31.431678869045836, -64.1733926706019 -31.43193402945543, -64.17294703299764 -31.43227856877146, -64.17257365759113 -31.432700340060705, -64.17228570794866 -31.43318447353199, -64.1720933359017 -31.433713900779285, -64.17200332363826 -31.434269956538223, -64.17201884459283 -31.434833036740848, -64.17375564459283 -31.449048036740848, -64.17389962222987 -31.449668647451087, -64.17417140372822 -31.450244860979897, -64.17455873212846 -31.450750690915754, -64.17504413946997 -31.45116332504719, -64.17560573457132 -31.45146415416111, -64.17740223457132 -31.45219295416111, -64.17772231060117 -31.452302227896002, -64.19087371060117 -31.455978727896003)))",false
14,Zona 14 (V1 - Jueves),sales,"Ruta ERP zona 14: vendedor 1, visita Jueves.",#E74C3C,jueves,1,1,42,42,"MULTIPOLYGON (((-64.2064139372448 -31.417275378508013, -64.20701921872997 -31.41728046654937, -64.2076132010224 -31.417163947878244, -64.20817170299972 -31.41693056598999, -64.20867198794936 -31.41658982190185, -64.20909368918406 -31.41615558736488, -64.20941963917323 -31.415645540142563, -64.20963656843618 -31.41508044434598, -64.2097356457449 -31.414483305123237, -64.20971283764491 -31.41387843211589, -64.20868917097792 -31.406547798782892, -64.20855921104884 -31.405999621718678, -64.20832905496705 -31.405485407896503, -64.20800681925523 -31.40502329121976, -64.19158061925523 -31.38563769121976, -64.19115904806418 -31.385229040233547, -64.190665957559 -31.384910324605812, -64.19012023408662 -31.3846937517789, -64.18954277994128 -31.384587616922765, -64.18895571276508 -31.384595985213462, -64.18838151839833 -31.384718536128815, -64.18784218962715 -31.384950575725057, -64.18735838381596 -31.38528321642421, -64.18694863168949 -31.385703717425997, -64.186628627569 -31.386195972705835, -64.18641062824867 -31.386741127907587, -64.186302983536 -31.38731830250292, -64.18630981643756 -31.387905389557037, -64.1864308652396 -31.38847990246828, -64.19453746523959 -31.414169302468277, -64.19476318597246 -31.41470025277822, -64.19508636807019 -31.41517817684392, -64.19549505889138 -31.415585399011228, -64.19597414332021 -31.415906858481357, -64.19650590278737 -31.41613066632294, -64.1970706705778 -31.416248545175012, -64.2064139372448 -31.417275378508013)))",false
15,Zona 15 (V1 - Viernes),sales,"Ruta ERP zona 15: vendedor 1, visita Viernes.",#E74C3C,viernes,1,1,34,32,"MULTIPOLYGON (((-64.20437537353689 -31.37416050874926, -64.2047124000001 -31.3741795, -64099180 -31.371975866667, -64099180.00058527 -31.37191822250821, -64099180.00114805 -31.371747505264533, -64099180.00166671 -31.371470275503906, -64099180.00212132 -31.37109718701056, -64099180.00249441 -31.37064257736606, -64099180.00277164 -31.370123916964097, -64099180.00294235 -31.36956113763305, -64099180.003 -31.368975866667, -64099180.00294235 -31.36839059570095, -64099180.00277164 -31.367827816369903, -64099180.00249441 -31.36730915596794, -64099180.00212132 -31.36685454632344, -64099180.00166671 -31.366481457830094, -64099180.00114805 -31.366204228069467, -64099180.00058527 -31.36603351082579, -64099180 -31.365975866667, -64.18929280000053 -31.354594916667, -64.18866860989037 -31.354660570622812, -64.18807174014684 -31.35485465886252, -64.18752831534317 -31.355168686278972, -64.18706212080475 -31.355588908110725, -64.18669356154204 -31.356096931540698, -64.18643876913742 -31.356670520736973, -64.18537326913741 -31.35996020406997, -64.18524039109127 -31.3606046443411, -64.18525120322265 -31.361262552340765, -64.18565920322266 -31.364475252340767, -64.18567131532102 -31.364560759623643, -64.18650931532102 -31.36992005962364, -64.18664630498542 -31.370460641427204, -64.18688098141685 -31.370966528595478, -64.187205235375 -31.371420240205552, -64.18760786226962 -31.371806098260066, -64.18807494933483 -31.372110769440187, -64.1885903563847 -31.372323725838218, -64.18913627353689 -31.37243760874926, -64.20437537353689 -31.37416050874926)))",false
16,Zona 16 (V1 - Sábado),sales,"Ruta ERP zona 16: vendedor 1, visita Sábado.",#E74C3C,sabado,1,1,30,27,"MULTIPOLYGON (((-64.2255088799922 -31.409579472723582, -64.22597360621478 -31.409892911399748, -64.22648852969495 -31.410114424548865, -64.2270356730657 -31.410236278549654, -64.22759593407676 -31.41025421915041, -64.22814975250566 -31.410167619996386, -64.22867779305784 -31.409979504497535, -64.24096139305784 -31.404259604497536, -64.24122407184595 -31.404121073282557, -64.24157573851295 -31.403912739949558, -64.24210794561758 -31.403511375153908, -64.24253838552495 -31.403002396188178, -64.24284580702937 -31.402410931802073, -64.24367414036237 -31.40026259846807, -64.24382506782537 -31.39972840197612, -64.24387498988574 -31.399175543242816, -64.24382219729536 -31.398622951229207, -64.2436684975845 -31.39808954576431, -64.24341915317494 -31.397593589761705, -64.24308270120343 -31.397152063927834, -64.23680770120343 -31.390332030594834, -64.23635476499429 -31.389930030632495, -64.23583032110179 -31.389627187797167, -64.23525574091639 -31.38943584310867, -64.23465443891126 -31.389363793973178, -64.23405091848919 -31.389413976434422, -64.21338991848918 -31.393260476434424, -64.21284498403425 -31.39341639185462, -64.21233910147336 -31.393672020516977, -64.21189032874422 -31.3940182375241, -64.21151468519723 -31.394442684345307, -64.21122557977012 -31.39493020996561, -64.21103333234385 -31.395463411714974, -64.21094480536499 -31.39602325647243, -64.2109631588845 -31.39658976007061, -64.2110877377568 -31.3971427006488, -64.21131409502587 -31.397662340490587, -64.21163415066327 -31.39813013057962, -64.21203647999221 -31.398529372723583, -64.2255088799922 -31.409579472723582)))",false
21,Zona 21 (V2 - Lunes),sales,"Ruta ERP zona 21: vendedor 2, visita Lunes.",#3498DB,lunes,2,2,38,38,"MULTIPOLYGON (((-64.22801743013983 -31.469693913386557, -64.2285432537839 -31.469995874749173, -64.22911905672186 -31.47018593301866, -64.22972131604934 -31.470256323867662, -64.23032542805623 -31.470204171664438, -64.23090671334609 -31.470031606949153, -64.23144142504756 -31.469745679396325, -64.23190771892996 -31.46935806981902, -64.23228654579137 -31.468884612980183, -64.23256242966346 -31.468344650705312, -64.29735576299646 -31.30184698403831, -64.29751640746676 -31.301268563431286, -64.29755867178315 -31.300669738939447, -64.29748086360237 -31.300074488629516, -64.29728609851135 -31.29950664745121, -64.29698217527316 -31.2989889528407, -64.29658126354984 -31.298542134270612, -64.29609941660605 -31.2981840832027, -64.29555592850598 -31.2979291366798, -64.2949725615424 -31.297787503243523, -64.29437267483334 -31.297764854164885, -64.29378028897871 -31.297862096355885, -64.29321912423002 -31.29807533605504, -64.12061412423002 -31.38431633605504, -64.12055814198185 -31.384345044693955, -64.11912314198185 -31.385100044693953, -64.11861492884289 -31.385437522085038, -64.11818549496508 -31.385870832745763, -64.11785259846916 -31.386382058241125, -64.11763000542359 -31.386950058170854, -64.11752692058464 -31.38755134437565, -64.11754760675761 -31.388161052228934, -64.11769120851966 -31.388753968848743, -64.11795178759353 -31.389305575710893, -64.11831856840956 -31.389793062548755, -64.12133756840956 -31.393054062548757, -64.12178976347282 -31.393453246719556, -64.22801743013983 -31.469693913386557)))",false
22,Zona 22 (V2 - Martes),sales,"Ruta ERP zona 22: vendedor 2, visita Martes.",#3498DB,martes,2,2,48,46,"MULTIPOLYGON (((-64.15585555692402 -31.436016662274334, -64.15641424043693 -31.43620187530861, -64.15699833397609 -31.43627444164502, -64.15758535440949 -31.436231568034867, -64.15815270594206 -31.436074904784086, -64.15867854988097 -31.43581048222911, -64.1591426452581 -31.435448478615047, -64.1595271279525 -31.43500282831114, -64.1658060556375 -31.42608742287314, -64.16610419146456 -31.425556911087007, -64.16628913491581 -31.424977149371777, -64.16635327602594 -31.424371993487235, -64.16629397554702 -31.423766344100375, -64.16611367354697 -31.42318512218459, -64.1658197890069 -31.4226522435833, -64.16542441454833 -31.422189634932163, -64.16494381885173 -31.4218163314323, -64.15701671885172 -31.4168596314323, -64.15633739918083 -31.416545028485107, -64.15432449918083 -31.415903328485108, -64.15398817166194 -31.415817194699724, -64.14151647166194 -31.413382194699725, -64.1410823293932 -31.41332990261156, -64.1329714293932 -31.412949002611562, -64.13238905221175 -31.412978386866687, -64.13182336080841 -31.413119878393267, -64.13129572742021 -31.413368131537418, -64.13082608642445 -31.41371376711286, -64.13043218120316 -31.414143726753473, -64.13012889378517 -31.414641766267973, -64.12992768259208 -31.415189069357396, -64.12983614953068 -31.415764958508696, -64.1298577527873 -31.4163476762064, -64.12999167617504 -31.416915206947532, -64.13023285996985 -31.4174461090035, -64.13057219207069 -31.417920324504365, -64.13959149207069 -31.428236291171363, -64.13994029213704 -31.428575325215306, -64.14033929748295 -31.428853534315042, -64.14210929748295 -31.429885200981044, -64.14240118460903 -31.430034590169335, -64.15585555692402 -31.436016662274334)))",false
23,Zona 23 (V2 - Miércoles),sales,"Ruta ERP zona 23: vendedor 2, visita Miércoles.",#3498DB,miercoles,2,2,42,41,"MULTIPOLYGON (((-64.16263573217299 -31.457323922088598, -64.16335811524397 -31.457282539846542, -64.1640495789044 -31.45706940186891, -64.17693297890439 -31.45131773520191, -64.1774816358564 -31.450999346838188, -64.1779510818667 -31.450572713453926, -64.17832032771199 -31.450056910093256, -64.17857286418075 -31.449474998645446, -64.17869740021028 -31.448852996733475, -64.17868836771721 -31.448218714449933, -64.17827186001021 -31.44476919283993, -64.17813841017139 -31.444176739107498, -64.17788837866898 -31.44362330028309, -64.17753201152406 -31.4431315556923, -64.17708391227751 -31.44272165649762, -64.17388581998452 -31.440342944774624, -64.1735708296188 -31.440137992146177, -64.1702304296188 -31.438251192146176, -64.16967202869613 -31.438006893451472, -64.16907577553488 -31.43788049879036, -64.16846628170609 -31.43787722536149, -64.16820358170608 -31.437902625361488, -64.1674061075744 -31.43809224045004, -64.1599538075744 -31.44098684045004, -64.1593504580091 -31.441304298616174, -64.15883436585088 -31.441749786292096, -64.15529356585088 -31.445590286292095, -64.15493103011539 -31.446073153862496, -64.15467253186932 -31.44661883866789, -64.15452854297 -31.44720523481976, -64.15450489645971 -31.447808587198228, -64.15460255026714 -31.44840445378057, -64.15634835026714 -31.45488232044757, -64.15657105871803 -31.45546182769443, -64.15690827950746 -31.455983085636753, -64.15734557105385 -31.456423771246584, -64.15786420621538 -31.456765012030328, -64.15844197428547 -31.456992194248915, -64.15905413217298 -31.4570955887556, -64.16263573217299 -31.457323922088598)))",false
24,Zona 24 (V2 - Jueves),sales,"Ruta ERP zona 24: vendedor 2, visita Jueves.",#3498DB,jueves,2,2,49,47,"MULTIPOLYGON (((-64.24841840154917 -31.485600240008097, -64.24898165222076 -31.48575496185488, -64.24956420848522 -31.48579760417725, -64.25014398562364 -31.485726550403974, -64.2506990042738 -31.485544494184925, -64.25120822366826 -31.485258337274786, -64.25165233929023 -31.484878927887394, -64.25201451470814 -31.48442064943974, -64.2522810198451 -31.483900875276383, -64.25244175148636 -31.483339310045604, -64.25249061629239 -31.48275724269585, -64.2493632162924 -31.25537174269585, -64.24929409202088 -31.254771415705292, -64.24910606039113 -31.25419712068814, -64.24880675069589 -31.253672159387815, -64.24840830728172 -31.253217831855952, -64.24792689679802 -31.2528525722131, -64.24738205224307 -31.25259120069315, -64.24679588042196 -31.252444322319498, -64.2461921649737 -31.25241789661134, -64.24559540136154 -31.25251299577904, -64.24502980298128 -31.252725761219722, -64.24451831871448 -31.253047560078215, -64.24408170178866 -31.253465335521003, -64.24373766772507 -31.25396213651093, -64.24350017553994 -31.254517805587366, -64.24337886136418 -31.255109796745465, -64.22206106136417 -31.464955596745465, -64.22205370070695 -31.465039847424208, -64.22203300070696 -31.465322714091208, -64.22205331141947 -31.46595284422036, -64.22220486395311 -31.46656481508099, -64.22248096513327 -31.467131599557685, -64.22286942121195 -31.467628166149037, -64.22981442121196 -31.474803099482035, -64.2298182112686 -31.47480700791602, -64.23259721126858 -31.477667607916022, -64.23324691366165 -31.478174070545894, -64.23873391366165 -31.481347870545893, -64.23897057846511 -31.481471056679386, -64.24509457846511 -31.484320056679387, -64.24528750154917 -31.484401740008096, -64.24841840154917 -31.485600240008097)))",false
