product_code,nombre,descripcion
14745,CREATINA SIN SABOR 6X300G,"Alimentos y Almacén: CREATINA SIN SABOR 6X300G, x6 unidades por bulto."
10132,MENTHO PLUS MENTA 12X12X29.4G,"Caramelos mentolados sabor menta, marca Menthoplus, en envase de 29.4 g."
10425,TOPLINE SEVEN VIOLET 36X16X14G,"Chicle de goma sabor cereza violeta, marca Topline, formato de 14g."
10918,TOPLINE SEVEN SANDIA 36x16x14.7G,"Chicle sabor sandía marca Topline Seven, presentación de 16 unidades."
11090,MENTHO PLUS ACIDOS MANZANA 12X12X28G,"Caramelos ácidos sabor manzana, marca Menthoplus, presentación de 12 unidades de 28g."
11646,MOGUL EXTREME ROLLO 12X12X35G,"Gomitas tipo rollo sabor surtido, marca Mogul, presentación de 35 g por unidad."
11807,SIMPLE FIBRA 6X60UN,"Suplemento de fibra en pastillas de goma sabor frutos rojos, marca Simple."
11808,SIMPLE VITALIDAD 6X60UN,"Suplemento vitamínico en pastillas goma sabor frutilla, marca Simple Bago."
12101,TOPLINE SEVEN ULTRA RED BERRY 12X12X24G,"Chicles sabor Red Berry, marca Topline, presentación de 12 unidades de 24g cada una."
12102,TOPLINE SEVEN ULTRA CLEAN MINT 12X12X24G,"Chicle sabor menta limpia, marca Topline, formato 24 g, pack de 12 unidades."
12228,BROWNIE AGUILA 12x425G,"Alimentos y Almacén: BROWNIE AGUILA 12x425G, x12 unidades por bulto."
12230,TORTA AGUILA 12x450G,"Alimentos y Almacén: TORTA AGUILA 12x450G, x12 unidades por bulto."
12279,MASTICABLES CRAZY 10X800G,"Caramelo masticable sabor tutti frutti, marca Arcor, presentación de 800 g."
12334,TOPLINE SEVEN MENTHOL 36X16X14G,"Chicle sin azúcar sabor mentol, marca Topline, presentación de 16 unidades de 14g."
12385,CHUPUTIN EXTREME DUO 12x24x18G,"Chupetín ácido sabor frutilla y limón, marca Mister Pops, formato 18 g."
12567,SIMPLE VITALIDAD DOY PACK 12X28UN,"Suplemento vitamínico en gomitas sabor frutilla, marca Simple Vitalidad, pack de 12x28 unidades."
12569,SIMPLE FIBRA DOY PACK 12X28UN,"Suplemento de fibra en doypack sabor frutos rojos, marca Bago."
12604,PIZZA SIN TACC 12X500G,"Alimentos y Almacén: PIZZA SIN TACC 12X500G, x12 unidades por bulto."
12605,ÑOQUIS PAPA SIN TACC 12X400G,"Alimentos y Almacén: ÑOQUIS PAPA SIN TACC 12X400G, x12 unidades por bulto."
12696,MEMBRILLO LC ESTUCHE 12X500G,"Alimentos y Almacén: MEMBRILLO LC ESTUCHE 12X500G, x12 unidades por bulto."
12698,MEMBRILLO LC LATA 12X700G,"Alimentos y Almacén: MEMBRILLO LC LATA 12X700G, x12 unidades por bulto."
12700,MEMBRILLO LC LATA X5KG,"Alimentos y Almacén: MEMBRILLO LC LATA X5KG, x2 unidades por bulto."
12701,BATATA LC LATA 2x5KG,"Alimentos y Almacén de línea Arcor: BATATA LC LATA 2x5KG, presentación mayorista."
13023,MOGUL OSO EXTREME 12X10X50G,"Gomitas ácidas sabor frutales en forma de oso, marca Mogul, 50 g."
13024,MOGUL SANDIA EXTREME 12X10X50G,"Gomitas sabor sandía, marca Mogul, formato de 50 g, paquete de 12 unidades."
13056,BOMBON COFLER BLOCK 20X16X16G,"Bombón Cofler Block sabor chocolate, presentación de 20 unidades de 16g cada una."
13121,MOGUL MORAS 12X10X50G,"Gomitas de gelatina sabor mora, marca Mogul, formato de 50 g."
13347,SONRISAS POR 3 12X3X108G,"Galletitas dulces sabor frambuesa, marca Bagley, formato pack de 3 x 108g."
13470,PASTA TALLARIN LC 20x500G,"Alimentos y Almacén: PASTA TALLARIN LC 20x500G, x20 unidades por bulto."
13473,PASTA CODITO LC 15x500G,"Alimentos y Almacén: PASTA CODITO LC 15x500G, x15 unidades por bulto."
13475,PASTA PENNE LC 15x500G,"Alimentos y Almacén: PASTA PENNE LC 15x500G, x15 unidades por bulto."
13748,MOGUL EXTREME ROCKS 12X10X45G,"Gusanitos sabor arándano, marca Mogul Extreme, presentación de 45 g."
13782,MANA LIMON 36X136G,"Galletitas dulces sabor limón, marca Maná, formato de 136 g."
13854,TOPLINE SEVEN TURBO MINT 12X50G,"Chicle confitado sabor menta, marca Topline Seven, formato 50 g, pack de 12."
13909,MERENGADAS FRUTILLA POR 3 12X3X87G,"Galletitas merengadas rellenas sabor frutilla, marca Bagley, formato tripack de 87g."
13965,MERENGADAS FRUTILLA 36X88G,"Galletitas merengadas rellenas sabor frutilla, marca no especificada, formato 88g."
13977,MELITAS 32X159G,"Galletitas Melitas sabor vainilla, formato 32 unidades de 159 gramos cada una."
13987,MEDALLON  AGUILA DOS SABORES 20X12X14G,"Chocolates: MEDALLON AGUILA DOS SABORES 20X12X14G, x20 unidades por bulto."
14044,MOGUL TUBITOS FRUTILLA 6X620G,"Gomitas tubitos sabor frutilla, marca Mogul, presentación de 620 g."
14164,MOGUL LADRILLOS FRUTILLA 6X500G,"Gomitas en forma de ladrillos sabor frutilla, marca Mogul, 500g."
14166,MOGUL TUBITOS TUTTI FRUTTI 30X70G,"Gomitas tubitos sabor tutti frutti, marca Mogul, formato 30g x 70u."
