base_product_code,related_product_code,reason,is_mock
1012,12,Mismo jabón lila con suavizante: del bidón 5 L al de 20 L.,true
1019,19,Mismo suavizante amarillo: del bidón 5 L al de 20 L.,true
1138,138,Mismo detergente gastronómico X3: del 5 L al bidón de 20 L.,true
2058,1058,Mismo limpiapisos Flor de Liz: del litro al bidón de 5 L.,true
2170,1170,Mismo limpiapisos citral: del litro al bidón de 5 L.,true
2014,1014,Mismo apresto planchado 1+1: del litro al bidón de 5 L.,true
2181,1181,Mismo limpia alfombra APC: del litro al bidón de 5 L.,true
2300,1300,Mismo desengrasante Force X: del litro al bidón de 5 L.,true
1077,1177,Mismo cloro granulado: del pote 1 kg al de 5 kg.,true
1078,1178,Mismo microbiocida 3 en 1: del pote 1 kg al de 5 kg.,true
