pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Yerba Mate La Tradición,2026-03-01 08:00:00,confirmado,5700.00,Pedido historico mock - Yerba Mate La Tradición,true,false,1
P-00002,25001,5493587905250,Yerba Mate La Tradición,2026-03-18 09:19:07,entregado,1900.00,Pedido historico mock - Yerba Mate La Tradición,true,false,1
P-00003,25001,5493587905250,Yerba Mate La Tradición,2026-04-04 10:38:14,facturado,18885.48,Pedido historico mock - Yerba Mate La Tradición,true,false,1
P-00004,25002,5493582641213,Accesorios de Mate El Gaucho,2026-03-08 11:11:23,entregado,9500.00,Pedido historico mock - Accesorios de Mate El Gaucho,true,false,1
P-00005,25002,5493582641213,Accesorios de Mate El Gaucho,2026-03-25 12:30:30,facturado,41500.00,Pedido historico mock - Accesorios de Mate El Gaucho,true,false,1
P-00006,25002,5493582641213,Accesorios de Mate El Gaucho,2026-04-11 13:49:37,confirmado,37310.60,Pedido historico mock - Accesorios de Mate El Gaucho,true,false,1
P-00007,25003,5492991227644,La Casa del Mate,2026-03-15 14:22:46,facturado,34243.70,Pedido historico mock - La Casa del Mate,true,false,1
P-00008,25003,5492991227644,La Casa del Mate,2026-04-01 15:41:53,confirmado,46500.00,Pedido historico mock - La Casa del Mate,true,false,1
P-00009,25003,5492991227644,La Casa del Mate,2026-04-18 16:00:00,entregado,31860.31,Pedido historico mock - La Casa del Mate,true,false,1
P-00010,25004,5493418277249,Yerba Mate El Cielo,2026-03-22 17:33:09,confirmado,131758.92,Pedido historico mock - Yerba Mate El Cielo,true,false,1
P-00011,25004,5493418277249,Yerba Mate El Cielo,2026-04-08 08:52:16,entregado,16500.00,Pedido historico mock - Yerba Mate El Cielo,true,false,1
P-00012,25004,5493418277249,Yerba Mate El Cielo,2026-04-25 09:11:23,facturado,50682.24,Pedido historico mock - Yerba Mate El Cielo,true,false,1
P-00013,25005,5493587747641,Mate y Más,2026-03-29 10:44:32,entregado,156918.12,Pedido historico mock - Mate y Más,true,false,1
P-00014,25005,5493587747641,Mate y Más,2026-04-15 11:03:39,facturado,16567.14,Pedido historico mock - Mate y Más,true,false,1
P-00015,25005,5493587747641,Mate y Más,2026-05-02 12:22:46,confirmado,144394.97,Pedido historico mock - Mate y Más,true,false,1
P-00016,25006,5492614053074,El Rincón del Mate,2026-04-05 13:55:55,facturado,88548.06,Pedido historico mock - El Rincón del Mate,true,false,1
P-00017,25006,5492614053074,El Rincón del Mate,2026-04-22 14:14:02,confirmado,53265.58,Pedido historico mock - El Rincón del Mate,true,false,1
P-00018,25006,5492614053074,El Rincón del Mate,2026-05-09 15:33:09,entregado,95887.04,Pedido historico mock - El Rincón del Mate,true,false,1
P-00019,25007,5493514079279,Yerba Mate del Pueblo,2026-04-12 16:06:18,confirmado,66887.04,Pedido historico mock - Yerba Mate del Pueblo,true,false,1
P-00020,25007,5493514079279,Yerba Mate del Pueblo,2026-04-29 17:25:25,entregado,138100.00,Pedido historico mock - Yerba Mate del Pueblo,true,false,1
P-00021,25007,5493514079279,Yerba Mate del Pueblo,2026-05-16 08:44:32,facturado,41994.02,Pedido historico mock - Yerba Mate del Pueblo,true,false,1
P-00022,25008,5493876914178,Accesorios del Mate,2026-04-19 09:17:41,entregado,92973.94,Pedido historico mock - Accesorios del Mate,true,false,1
P-00023,25008,5493876914178,Accesorios del Mate,2026-05-06 10:36:48,facturado,11313.00,Pedido historico mock - Accesorios del Mate,true,false,1
