base_product_code,related_product_code,reason,is_mock
15059,14196,Disfruta de un chocolate blanco con maní junto a una refrescante bebida de naranja.,true
11921,13073,Complementa tus bombones con un delicioso helado de dulce de leche.,true
13228,12228,Un bizcochuelo de chocolate va perfecto con un brownie para un postre irresistible.,true
10582,10792,El chocolate de taza semiamargo es ideal para acompañar con salsa de chocolate.,true
13902,15209,Los caramelos de dulce de leche son un excelente complemento para los caramelos de leche.,true
14164,15145,Disfruta de gomitas de frutilla junto a las deliciosas jelly beans.,true
15039,10610,Acompaña tu bebida de naranja con un refrescante jugo de manzana.,true
15136,14081,Un helado Bomboncito combina perfectamente con un helado Bonobón Corazón.,true
15285,14884,El helado alfajor Bonobón es el complemento ideal para el alfajor Bonobón Triple.,true
13000,14537,Acompaña tu salsa rosa con una deliciosa pasta tallarín.,true
12904,12852,El maní bañado en chocolate es un excelente snack junto a los caramelos Mini Cherry.,true
13110,13179,Un caramelo surtido es el complemento perfecto para un jugo de mango naranja.,true
15111,15125,Los snacks Masti Extreme Roll son ideales para disfrutar junto a los palotes surtidos.,true
