pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Dulces y Salados,2026-03-01 08:00:00,confirmado,96103.13,Pedido historico mock - Dulces y Salados,true,false,2
P-00002,25001,5493587905250,Dulces y Salados,2026-03-18 09:19:07,entregado,93805.63,Pedido historico mock - Dulces y Salados,true,false,2
P-00003,25001,5493587905250,Dulces y Salados,2026-04-04 10:38:14,facturado,69911.80,Pedido historico mock - Dulces y Salados,true,false,2
P-00004,25002,5493582641213,La Golosina Feliz,2026-03-08 11:11:23,entregado,23058.12,Pedido historico mock - La Golosina Feliz,true,false,3
P-00005,25002,5493582641213,La Golosina Feliz,2026-03-25 12:30:30,facturado,11995.01,Pedido historico mock - La Golosina Feliz,true,false,3
P-00006,25002,5493582641213,La Golosina Feliz,2026-04-11 13:49:37,confirmado,146004.24,Pedido historico mock - La Golosina Feliz,true,false,3
P-00007,25003,5492991227644,Alimentos del Barrio,2026-03-15 14:22:46,facturado,276034.07,Pedido historico mock - Alimentos del Barrio,true,false,4
P-00008,25003,5492991227644,Alimentos del Barrio,2026-04-01 15:41:53,confirmado,13989.36,Pedido historico mock - Alimentos del Barrio,true,false,4
P-00009,25003,5492991227644,Alimentos del Barrio,2026-04-18 16:00:00,entregado,5443.99,Pedido historico mock - Alimentos del Barrio,true,false,4
P-00010,25004,5493418277249,Sabor a Casa,2026-03-22 17:33:09,confirmado,25885.08,Pedido historico mock - Sabor a Casa,true,false,1
P-00011,25004,5493418277249,Sabor a Casa,2026-04-08 08:52:16,entregado,16553.00,Pedido historico mock - Sabor a Casa,true,false,1
P-00012,25004,5493418277249,Sabor a Casa,2026-04-25 09:11:23,facturado,34742.94,Pedido historico mock - Sabor a Casa,true,false,1
P-00013,25005,5493587747641,Dulce Tentación,2026-03-29 10:44:32,entregado,4760.38,Pedido historico mock - Dulce Tentación,true,false,2
P-00014,25005,5493587747641,Dulce Tentación,2026-04-15 11:03:39,facturado,96371.33,Pedido historico mock - Dulce Tentación,true,false,2
P-00015,25005,5493587747641,Dulce Tentación,2026-05-02 12:22:46,confirmado,54109.55,Pedido historico mock - Dulce Tentación,true,false,2
P-00016,25006,5492614053074,El Rincón de la Golosina,2026-04-05 13:55:55,facturado,11185.07,Pedido historico mock - El Rincón de la Golosina,true,false,3
P-00017,25006,5492614053074,El Rincón de la Golosina,2026-04-22 14:14:02,confirmado,38487.62,Pedido historico mock - El Rincón de la Golosina,true,false,3
P-00018,25006,5492614053074,El Rincón de la Golosina,2026-05-09 15:33:09,entregado,6194.64,Pedido historico mock - El Rincón de la Golosina,true,false,3
P-00019,25007,5493514079279,Golosinas y Snacks,2026-04-12 16:06:18,confirmado,60952.76,Pedido historico mock - Golosinas y Snacks,true,false,4
P-00020,25007,5493514079279,Golosinas y Snacks,2026-04-29 17:25:25,entregado,44024.31,Pedido historico mock - Golosinas y Snacks,true,false,4
P-00021,25007,5493514079279,Golosinas y Snacks,2026-05-16 08:44:32,facturado,72657.48,Pedido historico mock - Golosinas y Snacks,true,false,4
P-00022,25008,5493876914178,Almacén La Amistad,2026-04-19 09:17:41,entregado,6516.38,Pedido historico mock - Almacén La Amistad,true,false,1
P-00023,25008,5493876914178,Almacén La Amistad,2026-05-06 10:36:48,facturado,87031.10,Pedido historico mock - Almacén La Amistad,true,false,1
P-00024,25008,5493876914178,Almacén La Amistad,2026-05-23 11:55:55,confirmado,29259.87,Pedido historico mock - Almacén La Amistad,true,false,1
P-00025,25009,5492617175545,La Esquina Dulce,2026-04-26 12:28:04,facturado,58132.45,Pedido historico mock - La Esquina Dulce,true,false,2
P-00026,25009,5492617175545,La Esquina Dulce,2026-05-13 13:47:11,confirmado,8329.40,Pedido historico mock - La Esquina Dulce,true,false,2
P-00027,25009,5492617175545,La Esquina Dulce,2026-05-30 14:06:18,entregado,164120.37,Pedido historico mock - La Esquina Dulce,true,false,2
P-00028,25010,5493818437953,Surtido Argentino,2026-05-03 15:39:27,confirmado,62531.43,Pedido historico mock - Surtido Argentino,true,false,3
P-00029,25010,5493818437953,Surtido Argentino,2026-05-20 16:58:34,entregado,65324.69,Pedido historico mock - Surtido Argentino,true,false,3
P-00030,25010,5493818437953,Surtido Argentino,2026-03-06 17:17:41,facturado,16455.22,Pedido historico mock - Surtido Argentino,true,false,3
P-00031,25011,5493582132179,El Paraíso de las Golosinas,2026-05-10 08:50:50,entregado,36262.81,Pedido historico mock - El Paraíso de las Golosinas,true,false,4
P-00032,25011,5493582132179,El Paraíso de las Golosinas,2026-05-27 09:09:57,facturado,13491.32,Pedido historico mock - El Paraíso de las Golosinas,true,false,4
P-00033,25011,5493582132179,El Paraíso de las Golosinas,2026-03-13 10:28:04,confirmado,310683.00,Pedido historico mock - El Paraíso de las Golosinas,true,false,4
P-00034,25012,5493872845902,Dulces y Más,2026-05-17 11:01:13,facturado,20595.71,Pedido historico mock - Dulces y Más,true,false,1
P-00035,25012,5493872845902,Dulces y Más,2026-03-03 12:20:20,confirmado,53046.83,Pedido historico mock - Dulces y Más,true,false,1
P-00036,25012,5493872845902,Dulces y Más,2026-03-20 13:39:27,entregado,16031.73,Pedido historico mock - Dulces y Más,true,false,1
P-00037,25013,5492997670210,La Dulcería de Córdoba,2026-05-24 14:12:36,confirmado,33541.75,Pedido historico mock - La Dulcería de Córdoba,true,false,2
P-00038,25013,5492997670210,La Dulcería de Córdoba,2026-03-10 15:31:43,entregado,3600.96,Pedido historico mock - La Dulcería de Córdoba,true,false,2
P-00039,25013,5492997670210,La Dulcería de Córdoba,2026-03-27 16:50:50,facturado,25390.58,Pedido historico mock - La Dulcería de Córdoba,true,false,2
P-00040,25014,5493811657614,Alimentos y Golosinas,2026-05-31 17:23:59,entregado,28226.26,Pedido historico mock - Alimentos y Golosinas,true,false,3
P-00041,25014,5493811657614,Alimentos y Golosinas,2026-03-17 08:42:06,facturado,4639.78,Pedido historico mock - Alimentos y Golosinas,true,false,3
P-00042,25014,5493811657614,Alimentos y Golosinas,2026-04-03 09:01:13,confirmado,17833.44,Pedido historico mock - Alimentos y Golosinas,true,false,3
P-00043,25015,5492994145193,El Mercado de la Golosina,2026-03-07 10:34:22,facturado,124036.00,Pedido historico mock - El Mercado de la Golosina,true,false,4
P-00044,25015,5492994145193,El Mercado de la Golosina,2026-03-24 11:53:29,confirmado,30744.16,Pedido historico mock - El Mercado de la Golosina,true,false,4
P-00045,25015,5492994145193,El Mercado de la Golosina,2026-04-10 12:12:36,entregado,21034.43,Pedido historico mock - El Mercado de la Golosina,true,false,4
P-00046,25016,5493515971311,Tentaciones del Sabor,2026-03-14 13:45:45,confirmado,3284.73,Pedido historico mock - Tentaciones del Sabor,true,false,1
