product_code,precio_unidad,is_mock
11601,25242.86,true
13332,3559.35,true
10344,5964.39,true
3107,5420.72,true
10582,9304.55,true
12903,9385.28,true
15059,2913.04,true
10610,675.02,true
12994,2733.55,true
15301,3241.23,true
13228,4217.04,true
11921,8891.68,true
14196,1722.63,true
5044,2106.63,true
12228,4420.38,true
14450,1386.87,true
13136,5157.94,true
15209,1385.48,true
1782,8523.1,true
13902,7355.53,true
12039,970.91,true
3442,4632.89,true
11878,11505.0,true
13857,3736.74,true
13110,14989.1,true
14720,11909.54,true
12852,11061.19,true
14904,11580.5,true
14473,11096.1,true
3777,618.72,true
10353,3120.47,true
12898,7686.04,true
10348,3120.47,true
10770,3120.47,true
14609,7686.04,true
13675,1058.94,true
11028,1872.47,true
14299,2078.39,true
14092,1199.07,true
13666,1938.09,true
10337,1803.31,true
13659,2064.7,true
13660,1268.48,true
13658,1458.01,true
13574,1918.52,true
15263,13315.6,true
9461,1019.69,true
14550,634.82,true
14094,1358.95,true
14466,3375.46,true
14560,887.05,true
13475,1555.63,true
13960,41563.48,true
14261,12915.07,true
14081,48639.7,true
15309,1137.63,true
14555,887.05,true
15136,7300.23,true
11612,13990.55,true
13966,48639.7,true
12553,1595.13,true
14784,60729.66,true
13073,42817.45,true
13295,3517.28,true
12187,12785.2,true
13335,17060.26,true
14260,17419.64,true
13524,20376.04,true
14213,10784.08,true
11814,6078.19,true
14439,5796.88,true
12190,12785.2,true
13606,1318.98,true
13534,6078.19,true
13608,1318.98,true
6817,24515.56,true
14441,5796.88,true
13326,1358.95,true
13038,5796.88,true
2426,9227.71,true
13184,5796.88,true
12904,17754.43,true
13179,5796.88,true
1732,1838.18,true
10128,6708.35,true
10173,1123.7,true
14429,5796.88,true
13222,3080.13,true
13142,3397.17,true
13712,2550.34,true
12991,6668.24,true
15171,1505.54,true
3096,11910.59,true
13154,3513.56,true
12990,4937.53,true
13159,4744.01,true
13220,2823.45,true
15224,1505.54,true
15110,11769.01,true
13980,6330.23,true
14164,7329.93,true
13121,9174.57,true
2624,7276.93,true
14740,7847.54,true
14800,7276.93,true
12393,7276.93,true
2141,13835.13,true
9419,719.44,true
3789,841.27,true
14738,2911.9,true
3466,901.28,true
15281,8644.86,true
15189,2360.54,true
14744,1119.14,true
13193,1044.23,true
4158,4431.16,true
13113,6203.62,true
13189,952.29,true
1831,1164.22,true
13434,5663.47,true
12605,5351.56,true
13472,1555.63,true
13872,2137.83,true
4266,19822.08,true
12607,4760.38,true
14411,3132.46,true
1832,1293.58,true
13395,4186.75,true
14537,1414.21,true
14352,3453.33,true
13343,1745.37,true
12497,1355.97,true
15201,4070.0,true
13000,1274.74,true
12491,1918.52,true
12568,9974.98,true
15205,4070.0,true
11808,18540.77,true
14125,1279.01,true
10792,8819.09,true
12489,602.96,true
12964,1918.52,true
12100,21795.78,true
15027,2158.33,true
13347,3453.33,true
14676,3966.16,true
7227,26630.65,true
15127,1733.85,true
13348,1279.01,true
6934,6923.22,true
7466,2982.42,true
13138,9304.44,true
15322,5325.15,true
15285,37241.52,true
3116,1103.16,true
15117,3083.89,true
15145,9174.5,true
14754,16465.86,true
13797,9227.71,true
13192,1044.23,true
14884,1402.12,true
15125,7304.91,true
15111,6972.87,true
13854,4481.08,true
15208,16644.16,true
15146,7276.93,true
3312,420.63,true
15259,13315.6,true
15273,1875.15,true
14043,1508.02,true
13662,1466.66,true
13333,3559.35,true
12397,1664.62,true
6020,6315.29,true
13901,2731.84,true
15039,582.74,true
14325,1558.8,true
9825,47235.59,true
10352,3120.47,true
4542,12109.12,true
13648,11185.07,true
11912,9709.01,true
7048,645.81,true
14437,5796.88,true
13804,26081.36,true
14170,4684.37,true
13316,1320.74,true
12927,768.18,true
13229,3868.84,true
12717,3241.23,true
13215,9986.49,true
12279,8523.1,true
13409,8707.09,true
3101,5420.72,true
13947,41829.05,true
14210,10784.08,true
6408,25242.86,true
14252,1678.7,true
2301,8456.77,true
10594,1720.36,true
11880,6708.35,true
10342,3467.84,true
12699,5050.23,true
5046,2453.7,true
14377,1039.2,true
14694,4003.44,true
13342,568.5,true
15191,9708.82,true
12490,972.96,true
15405,13415.35,true
13311,7524.82,true
11257,6078.19,true
12394,3120.47,true
11586,3467.84,true
9919,1402.12,true
14772,2957.72,true
12101,21795.78,true
13310,1664.62,true
13473,1555.63,true
13655,1268.48,true
3786,841.27,true
14675,11096.1,true
13609,1318.98,true
13909,3453.33,true
2402,3619.74,true
14783,48639.7,true
14219,60729.66,true
