lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
4,Lista Gran Distribuidor,0.85,F001,680.00,true
4,Lista Gran Distribuidor,0.85,F003,867.00,true
4,Lista Gran Distribuidor,0.85,F008,1082.05,true
4,Lista Gran Distribuidor,0.85,F015,878.90,true
4,Lista Gran Distribuidor,0.85,F027,1602.25,true
4,Lista Gran Distribuidor,0.85,F041,561.00,true
4,Lista Gran Distribuidor,0.85,F048,1572.50,true
4,Lista Gran Distribuidor,0.85,F067,467.50,true
4,Lista Gran Distribuidor,0.85,F116,722.50,true
4,Lista Gran Distribuidor,0.85,F121,629.00,true
4,Lista Gran Distribuidor,0.85,F201,3442.50,true
4,Lista Gran Distribuidor,0.85,F227,1840.25,true
4,Lista Gran Distribuidor,0.85,F055,2762.50,true
4,Lista Gran Distribuidor,0.85,F060,1156.00,true
4,Lista Gran Distribuidor,0.85,F281,11891.50,true
4,Lista Gran Distribuidor,0.85,F034,6766.00,true
4,Lista Gran Distribuidor,0.85,F355,5389.00,true
4,Lista Gran Distribuidor,0.85,F361,3221.50,true
4,Lista Gran Distribuidor,0.85,F401,1853.00,true
4,Lista Gran Distribuidor,0.85,F140,1785.00,true
4,Lista Gran Distribuidor,0.85,F138,867.00,true
4,Lista Gran Distribuidor,0.85,F144,1640.50,true
4,Lista Gran Distribuidor,0.85,F171,2371.50,true
4,Lista Gran Distribuidor,0.85,F410,1190.00,true
4,Lista Gran Distribuidor,0.85,F037,1224.00,true
