base_product_code,related_product_code,reason,is_mock
44,46,Pasá del potesito 250g al familiar Cremigal 400g.,true
46,43,Subí al dulce de leche Cremigal Familiar 1kg.,true
43,311,Formato mayor: Cremigal Familiar 3kg para más rotación.,true
83,1083,Manteca Cremigal 100g → 200g para más uso.,true
1083,1183,Manteca Cremigal 200g → pack 2,5kg.,true
110,10,Aceite de oliva Gullo 250cc → 500cc.,true
10,705,Aceite Gullo 500cc → Cormillot 500cc línea premium.,true
650,11650,Aceituna negra Vanoli 150g → frasco 330g.,true
656,11656,Aceituna verde Vanoli 150g → frasco 330g.,true
10356,11356,Mayonesa Hellmann's 237g → 475g.,true
