base_product_code,related_product_code,reason,is_mock
29001,29009,Disfruta de Coca-Cola con Fanta para una experiencia refrescante completa.,true
29002,29022,Combina Coca-Cola Zero con Fanta Naranja para un toque cítrico.,true
29003,29018,Acompaña tu Coca-Cola Original con Fanta para una variedad de sabores.,true
29004,29032,Coca-Cola Zero y Fanta Limón son la pareja perfecta para tus comidas.,true
29005,29049,Coca-Cola y Fanta Naranja son ideales para tus reuniones.,true
29006,29010,Disfruta de Coca-Cola Zero con otra presentación de la misma línea.,true
29007,29012,Coca-Cola y Fanta en diferentes tamaños para compartir.,true
29008,29014,Coca-Cola en lata y Coca-Cola Café para un toque diferente.,true
29012,29037,"Coca-Cola Original 2,25L y su versión con Fanta para más diversión.",true
29018,29029,Coca-Cola Original y Fanta Zero para quienes buscan menos azúcar.,true
29036,29019,Coca-Cola Original 1L y Zero 1L para elegir según tu preferencia.,true
29044,29051,Sprite Zero y Sprite para quienes buscan opciones sin azúcar.,true
29100,29089,Bebidas energizantes Monster son perfectas para acompañar tus momentos.,true
