lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista Base (Público),1.00,120,12208.00,true
1,Lista Base (Público),1.00,344,11293.30,true
1,Lista Base (Público),1.00,339,20762.14,true
1,Lista Base (Público),1.00,545,8460.04,true
1,Lista Base (Público),1.00,457,2322.39,true
1,Lista Base (Público),1.00,173,5197.77,true
1,Lista Base (Público),1.00,252,6673.50,true
1,Lista Base (Público),1.00,178,4994.00,true
1,Lista Base (Público),1.00,150,37687.00,true
1,Lista Base (Público),1.00,558,1570.14,true
1,Lista Base (Público),1.00,331,6056.93,true
1,Lista Base (Público),1.00,123,2945.00,true
1,Lista Base (Público),1.00,488,5515.40,true
1,Lista Base (Público),1.00,420,3735.48,true
1,Lista Base (Público),1.00,211,19705.00,true
1,Lista Base (Público),1.00,509,3208.89,true
1,Lista Base (Público),1.00,241,3754.00,true
1,Lista Base (Público),1.00,202,9906.00,true
1,Lista Base (Público),1.00,353,6180.39,true
1,Lista Base (Público),1.00,531,8007.74,true
1,Lista Base (Público),1.00,589,15772.26,true
1,Lista Base (Público),1.00,411,2233.58,true
1,Lista Base (Público),1.00,257,6368.89,true
1,Lista Base (Público),1.00,262,6715.23,true
1,Lista Base (Público),1.00,347,2026.24,true
2,Lista Minorista Sugerido,1.15,120,14039.20,true
2,Lista Minorista Sugerido,1.15,344,12987.29,true
2,Lista Minorista Sugerido,1.15,339,23876.46,true
2,Lista Minorista Sugerido,1.15,545,9729.05,true
2,Lista Minorista Sugerido,1.15,457,2670.75,true
2,Lista Minorista Sugerido,1.15,173,5977.44,true
2,Lista Minorista Sugerido,1.15,252,7674.52,true
2,Lista Minorista Sugerido,1.15,178,5743.10,true
2,Lista Minorista Sugerido,1.15,150,43340.05,true
2,Lista Minorista Sugerido,1.15,558,1805.66,true
2,Lista Minorista Sugerido,1.15,331,6965.47,true
2,Lista Minorista Sugerido,1.15,123,3386.75,true
2,Lista Minorista Sugerido,1.15,488,6342.71,true
2,Lista Minorista Sugerido,1.15,420,4295.80,true
2,Lista Minorista Sugerido,1.15,211,22660.75,true
2,Lista Minorista Sugerido,1.15,509,3690.22,true
2,Lista Minorista Sugerido,1.15,241,4317.10,true
2,Lista Minorista Sugerido,1.15,202,11391.90,true
2,Lista Minorista Sugerido,1.15,353,7107.45,true
2,Lista Minorista Sugerido,1.15,531,9208.90,true
2,Lista Minorista Sugerido,1.15,589,18138.10,true
2,Lista Minorista Sugerido,1.15,411,2568.62,true
2,Lista Minorista Sugerido,1.15,257,7324.22,true
2,Lista Minorista Sugerido,1.15,262,7722.51,true
2,Lista Minorista Sugerido,1.15,347,2330.18,true
3,Lista Mayorista Especial,0.90,120,10987.20,true
3,Lista Mayorista Especial,0.90,344,10163.97,true
3,Lista Mayorista Especial,0.90,339,18685.93,true
3,Lista Mayorista Especial,0.90,545,7614.04,true
3,Lista Mayorista Especial,0.90,457,2090.15,true
3,Lista Mayorista Especial,0.90,173,4677.99,true
3,Lista Mayorista Especial,0.90,252,6006.15,true
3,Lista Mayorista Especial,0.90,178,4494.60,true
3,Lista Mayorista Especial,0.90,150,33918.30,true
3,Lista Mayorista Especial,0.90,558,1413.13,true
3,Lista Mayorista Especial,0.90,331,5451.24,true
3,Lista Mayorista Especial,0.90,123,2650.50,true
3,Lista Mayorista Especial,0.90,488,4963.86,true
3,Lista Mayorista Especial,0.90,420,3361.93,true
3,Lista Mayorista Especial,0.90,211,17734.50,true
3,Lista Mayorista Especial,0.90,509,2888.00,true
3,Lista Mayorista Especial,0.90,241,3378.60,true
3,Lista Mayorista Especial,0.90,202,8915.40,true
3,Lista Mayorista Especial,0.90,353,5562.35,true
3,Lista Mayorista Especial,0.90,531,7206.97,true
3,Lista Mayorista Especial,0.90,589,14195.03,true
3,Lista Mayorista Especial,0.90,411,2010.22,true
3,Lista Mayorista Especial,0.90,257,5732.00,true
3,Lista Mayorista Especial,0.90,262,6043.71,true
3,Lista Mayorista Especial,0.90,347,1823.62,true
4,Lista Gran Distribuidor,0.85,120,10376.80,true
4,Lista Gran Distribuidor,0.85,344,9599.30,true
4,Lista Gran Distribuidor,0.85,339,17647.82,true
4,Lista Gran Distribuidor,0.85,545,7191.03,true
4,Lista Gran Distribuidor,0.85,457,1974.03,true
4,Lista Gran Distribuidor,0.85,173,4418.10,true
4,Lista Gran Distribuidor,0.85,252,5672.47,true
4,Lista Gran Distribuidor,0.85,178,4244.90,true
4,Lista Gran Distribuidor,0.85,150,32033.95,true
4,Lista Gran Distribuidor,0.85,558,1334.62,true
4,Lista Gran Distribuidor,0.85,331,5148.39,true
4,Lista Gran Distribuidor,0.85,123,2503.25,true
4,Lista Gran Distribuidor,0.85,488,4688.09,true
4,Lista Gran Distribuidor,0.85,420,3175.16,true
4,Lista Gran Distribuidor,0.85,211,16749.25,true
4,Lista Gran Distribuidor,0.85,509,2727.56,true
4,Lista Gran Distribuidor,0.85,241,3190.90,true
4,Lista Gran Distribuidor,0.85,202,8420.10,true
4,Lista Gran Distribuidor,0.85,353,5253.33,true
4,Lista Gran Distribuidor,0.85,531,6806.58,true
4,Lista Gran Distribuidor,0.85,589,13406.42,true
4,Lista Gran Distribuidor,0.85,411,1898.54,true
4,Lista Gran Distribuidor,0.85,257,5413.56,true
4,Lista Gran Distribuidor,0.85,262,5707.95,true
4,Lista Gran Distribuidor,0.85,347,1722.30,true
