base_product_code,related_product_code,reason,is_mock
MAQ-010,REP-038,La clipeadora Especias Benavidez necesita clips: caja x1000 para no parar el cierre de tripas.,true
MAQ-010,TRI-013,Cerrá las tripas de cerdo nacional con la clipeadora de la casa.,true
MAQ-097,TRI-010,La embutidora 10 L rinde más con mad de cerdo importada para chorizo.,true
IN1-003,TRI-010,El integral de chorizo criollo sale a tripa: mad de cerdo importada p/60 kg.,true
IN1-012,TRI-011,Integral de salchicha + colágeno cal. 45: el combo clásico de elaboradora.,true
ESP-020,ESP-004,El chimichurri premium pide ajo en polvo para redondear el condimento de mostrador.,true
ESP-001,ESP-004,Ají cayena y ajo en polvo: base de picante para chorizos y morcillas.,true
CUC-014,CUC-003,"La cuchilla carnicera 17,5 cm se mantiene con chaira Carnic lisa 20 cm.",true
CUC-014,CUC-002,Llevá la vaina plástica para no dañar el filo en la cámara.,true
CUC-014,REP-077,Guante anticorte Multiflex para el brazo que trabaja con cuchilla.,true
ROP-087,ROP-006,Al conjunto Acrocel sumale bota blanca Ombú/Pampero para cámara.,true
MAQ-056,CYG-252,La moledora 22 rinde con juego disco y cuchilla Nº 22 inox Interprise.,true
