codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,"Especia Aji Cayena Molida Amarillo - 1 kg, marca Especias Benavidez, 1 kg.","Ají cayena molida: Ají Cayena Molida Amarillo - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Código ESP-001.",ESP-001|Ají Cayena Molida Amarillo - 1 Kg|Ají cayena molida|Ají Cayena Molida Amarillo 1 Kg|Ají Cayena Molida Amarillo|ají|cayena|pimienta cayena,ACTUALIZAR
ESP-002,AJI MOLIDO ECONOMICO - 1 KG,"Especia Aji Molido Economico - 1 kg, marca Especias Benavidez, 1 kg.","Ají molido económico: Ají Molido Económico - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Código ESP-002.",ESP-002|Ají Molido Económico - 1 Kg|Ají molido económico|Ají molido|Ají Molido Económico 1 Kg,ACTUALIZAR
ESP-003,AJI MOLIDO MORTERO - 1 KG,"Especia Aji Molido Mortero - 1 kg, marca Especias Benavidez, 1 kg.","Ají molido mortero: Ají Molido Mortero - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Código ESP-003.",ESP-003|Ají Molido Mortero - 1 Kg|Ají molido mortero|Ají molido|Ají Molido Mortero 1 Kg,ACTUALIZAR
ESP-004,AJO DESHIDRATADO EN POLVO - 1 KG,"Especia Ajo Deshidratado en Polvo - 1 kg, marca Especias Benavidez, 1 kg.","Ajo deshidratado en polvo: Ajo Deshidratado en Polvo - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Código ESP-004.",ESP-004|Ajo Deshidratado en Polvo - 1 Kg|Ajo deshidratado en polvo|Ajo deshidratado|Ajo Deshidratado en Polvo 1 Kg|ajo en polvo,ACTUALIZAR
ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,"Especia Ajo Deshidratado en Polvo Chino - 1 kg, marca Especias Benavidez, 1 kg.","Ajo deshidratado en polvo chino: Ajo Deshidratado en Polvo Chino - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Origen chino según el nombre. Código ESP-082.",ESP-082|Ajo Deshidratado en Polvo Chino - 1 Kg|Ajo deshidratado en polvo chino|Ajo deshidratado|Ajo Deshidratado en Polvo Chino 1 Kg|ajo en polvo,ACTUALIZAR
ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,"Especia Ajo Deshidratado Importado Chino - 1 kg, marca Especias Benavidez, 1 kg.","Ajo deshidratado importado chino: Ajo Deshidratado Importado Chino - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Origen chino según el nombre, importado según el nombre. Código ESP-005.",ESP-005|Ajo Deshidratado Importado Chino - 1 Kg|Ajo deshidratado importado chino|Ajo deshidratado|Ajo Deshidratado Importado Chino 1 Kg|ajo en polvo,ACTUALIZAR
ESP-006,AJO DESHIDRATADO PARTIDO NACIONAL - 1 KG,"Especia Ajo Deshidratado Partido Nacional - 1 kg, marca Especias Benavidez, 1 kg.","Ajo deshidratado partido nacional: Ajo Deshidratado Partido Nacional - 1 Kg. Línea Especias Benavidez. Para condimentar carnes, chacinados, adobos y elaborados de carnicería. Origen nacional según el nombre. Código ESP-006.",ESP-006|Ajo Deshidratado Partido Nacional - 1 Kg|Ajo deshidratado partido nacional|Ajo deshidratado|Ajo Deshidratado Partido Nacional 1 Kg|ajo en polvo,ACTUALIZAR
ESP-020,CHIMICHURRI PREMIUM - 1 KG,"Especia Chimichurri Premium - 1 kg, marca Especias Benavidez, 1 kg.",Chimichurri premium: Chimichurri Premium - 1 Kg. Línea Especias Benavidez. Condimento para asado y adobo de carnes. Código ESP-020.,ESP-020|Chimichurri Premium - 1 Kg|Chimichurri premium|Chimichurri|Chimichurri Premium 1 Kg|condimento chimichurri,ACTUALIZAR
ESP-029,CONDIMENTO PARA ARROZ PREMIUM- 1 KG,"Legumbre o cereal Condimento para Arroz Premium- 1 kg, marca Especias Benavidez, 1 kg.",Condimento para arroz premium: Condimento para Arroz Premium- 1 Kg. Línea Especias Benavidez. Mezcla de especias para arroz Premium. Código ESP-029.,ESP-029|Condimento para Arroz Premium- 1 Kg|Condimento para arroz premium|Condimento para arroz|Condimento para Arroz Premium 1 Kg,ACTUALIZAR
ESP-030,CONDIMENTO PARA PIZZA - 1 KG,"Especia Condimento para Pizza - 1 kg, marca Especias Benavidez, 1 kg.",Condimento para pizza: Condimento para Pizza - 1 Kg. Línea Especias Benavidez. Mezcla de especias para pizza. Código ESP-030.,ESP-030|Condimento para Pizza - 1 Kg|Condimento para pizza|Condimento para Pizza 1 Kg,ACTUALIZAR
