numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Carnicería Don Julio Altamira,Carnicería Don Julio Altamira,5493587905250,2,1,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.412687,-64.156299,true
2,Frigorífico San Vicente SRL,Frigorífico San Vicente SRL,5493582641213,3,2,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.412726,-64.150402,true
3,Embutidos El Criollo,Embutidos El Criollo,5492991227644,4,3,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.412533,-64.156514,true
4,Chacinados La Estancia,Chacinados La Estancia,5493418277249,1,4,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.415291,-64.152887,true
5,Sala de Desposte Yofre,Sala de Desposte Yofre,5493587747641,2,5,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.415527,-64.1535,true
6,Fiambres Don Pedro,Fiambres Don Pedro,5492614053074,3,6,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.416289,-64.147339,true
7,Carnicería El Gaucho,Carnicería El Gaucho,5493514079279,4,7,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.415669,-64.148078,true
8,Elaboradora Los Andes,Elaboradora Los Andes,5493876914178,1,8,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.417034,-64.154814,true
9,Frigorífico Empalme,Frigorífico Empalme,5492617175545,2,9,lunes,martes,"Zona ZONA NOROESTE - San Vicente - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,0,-31.411941,-64.149095,true
10,Carnicería La Esquina Jardín,Carnicería La Esquina Jardín,5493818437953,3,10,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.416456,-64.13463,true
11,Embutidos Don Mario,Embutidos Don Mario,5493582132179,4,11,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.410718,-64.130019,true
12,Chacinados El Quebracho,Chacinados El Quebracho,5493872845902,1,12,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.416918,-64.127107,true
13,Carnicería Pueyrredón,Carnicería Pueyrredón,5492997670210,2,13,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.413195,-64.135781,true
14,Frigorífico Río Carcarañá,Frigorífico Río Carcarañá,5493811657614,3,14,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.416487,-64.132355,true
15,Carnicería El Familiar,Carnicería El Familiar,5492994145193,4,15,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.417961,-64.127652,true
16,Fábrica de Chorizos El Fogón,Fábrica de Chorizos El Fogón,5493515971311,1,16,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.412859,-64.136223,true
17,Carnicería Don Santos,Carnicería Don Santos,5492994228106,2,17,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.41593,-64.133772,true
18,Embutidos La Criolla,Embutidos La Criolla,5492998718887,3,18,martes,miercoles,"Zona ZONA NORTE - Yofre Norte - Córdoba Capital, Córdoba, Argentina",Lucas Pereyra,0,1,-31.413878,-64.129281,true
