pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Carnicería Don Julio Altamira,2026-03-01 08:00:00,confirmado,756300.00,Pedido historico mock - Carnicería Don Julio Altamira,true,false,2
P-00002,25001,5493587905250,Carnicería Don Julio Altamira,2026-03-18 09:19:07,entregado,59200.00,Pedido historico mock - Carnicería Don Julio Altamira,true,false,2
P-00003,25001,5493587905250,Carnicería Don Julio Altamira,2026-04-04 10:38:14,facturado,103020.00,Pedido historico mock - Carnicería Don Julio Altamira,true,false,2
P-00004,25002,5493582641213,Frigorífico San Vicente SRL,2026-03-08 11:11:23,entregado,118170.00,Pedido historico mock - Frigorífico San Vicente SRL,true,false,3
P-00005,25002,5493582641213,Frigorífico San Vicente SRL,2026-03-25 12:30:30,facturado,388750.00,Pedido historico mock - Frigorífico San Vicente SRL,true,false,3
P-00006,25002,5493582641213,Frigorífico San Vicente SRL,2026-04-11 13:49:37,confirmado,49120.00,Pedido historico mock - Frigorífico San Vicente SRL,true,false,3
P-00007,25003,5492991227644,Embutidos El Criollo,2026-03-15 14:22:46,facturado,151970.00,Pedido historico mock - Embutidos El Criollo,true,false,4
P-00008,25003,5492991227644,Embutidos El Criollo,2026-04-01 15:41:53,confirmado,25280.00,Pedido historico mock - Embutidos El Criollo,true,false,4
P-00009,25003,5492991227644,Embutidos El Criollo,2026-04-18 16:00:00,entregado,235100.00,Pedido historico mock - Embutidos El Criollo,true,false,4
P-00010,25004,5493418277249,Chacinados La Estancia,2026-03-22 17:33:09,confirmado,288150.00,Pedido historico mock - Chacinados La Estancia,true,false,1
P-00011,25004,5493418277249,Chacinados La Estancia,2026-04-08 08:52:16,entregado,245100.00,Pedido historico mock - Chacinados La Estancia,true,false,1
P-00012,25004,5493418277249,Chacinados La Estancia,2026-04-25 09:11:23,facturado,215020.00,Pedido historico mock - Chacinados La Estancia,true,false,1
P-00013,25005,5493587747641,Sala de Desposte Yofre,2026-03-29 10:44:32,entregado,702600.00,Pedido historico mock - Sala de Desposte Yofre,true,false,2
P-00014,25005,5493587747641,Sala de Desposte Yofre,2026-04-15 11:03:39,facturado,477560.00,Pedido historico mock - Sala de Desposte Yofre,true,false,2
P-00015,25005,5493587747641,Sala de Desposte Yofre,2026-05-02 12:22:46,confirmado,377860.00,Pedido historico mock - Sala de Desposte Yofre,true,false,2
P-00016,25006,5492614053074,Fiambres Don Pedro,2026-04-05 13:55:55,facturado,207460.00,Pedido historico mock - Fiambres Don Pedro,true,false,3
P-00017,25006,5492614053074,Fiambres Don Pedro,2026-04-22 14:14:02,confirmado,317380.00,Pedido historico mock - Fiambres Don Pedro,true,false,3
P-00018,25006,5492614053074,Fiambres Don Pedro,2026-05-09 15:33:09,entregado,458280.00,Pedido historico mock - Fiambres Don Pedro,true,false,3
P-00019,25007,5493514079279,Carnicería El Gaucho,2026-04-12 16:06:18,confirmado,669940.00,Pedido historico mock - Carnicería El Gaucho,true,false,4
P-00020,25007,5493514079279,Carnicería El Gaucho,2026-04-29 17:25:25,entregado,250910.00,Pedido historico mock - Carnicería El Gaucho,true,false,4
P-00021,25007,5493514079279,Carnicería El Gaucho,2026-05-16 08:44:32,facturado,460740.00,Pedido historico mock - Carnicería El Gaucho,true,false,4
P-00022,25008,5493876914178,Elaboradora Los Andes,2026-04-19 09:17:41,entregado,834660.00,Pedido historico mock - Elaboradora Los Andes,true,false,1
P-00023,25008,5493876914178,Elaboradora Los Andes,2026-05-06 10:36:48,facturado,212780.00,Pedido historico mock - Elaboradora Los Andes,true,false,1
P-00024,25008,5493876914178,Elaboradora Los Andes,2026-05-23 11:55:55,confirmado,473430.00,Pedido historico mock - Elaboradora Los Andes,true,false,1
P-00025,25009,5492617175545,Frigorífico Empalme,2026-04-26 12:28:04,facturado,608440.00,Pedido historico mock - Frigorífico Empalme,true,false,2
P-00026,25009,5492617175545,Frigorífico Empalme,2026-05-13 13:47:11,confirmado,39080.00,Pedido historico mock - Frigorífico Empalme,true,false,2
P-00027,25009,5492617175545,Frigorífico Empalme,2026-05-30 14:06:18,entregado,681370.00,Pedido historico mock - Frigorífico Empalme,true,false,2
P-00028,25010,5493818437953,Carnicería La Esquina Jardín,2026-05-03 15:39:27,confirmado,242960.00,Pedido historico mock - Carnicería La Esquina Jardín,true,false,3
P-00029,25010,5493818437953,Carnicería La Esquina Jardín,2026-05-20 16:58:34,entregado,434480.00,Pedido historico mock - Carnicería La Esquina Jardín,true,false,3
P-00030,25010,5493818437953,Carnicería La Esquina Jardín,2026-03-06 17:17:41,facturado,175070.00,Pedido historico mock - Carnicería La Esquina Jardín,true,false,3
P-00031,25011,5493582132179,Embutidos Don Mario,2026-05-10 08:50:50,entregado,114910.00,Pedido historico mock - Embutidos Don Mario,true,false,4
P-00032,25011,5493582132179,Embutidos Don Mario,2026-05-27 09:09:57,facturado,577040.00,Pedido historico mock - Embutidos Don Mario,true,false,4
P-00033,25011,5493582132179,Embutidos Don Mario,2026-03-13 10:28:04,confirmado,492900.00,Pedido historico mock - Embutidos Don Mario,true,false,4
P-00034,25012,5493872845902,Chacinados El Quebracho,2026-05-17 11:01:13,facturado,1567490.00,Pedido historico mock - Chacinados El Quebracho,true,false,1
P-00035,25012,5493872845902,Chacinados El Quebracho,2026-03-03 12:20:20,confirmado,101420.00,Pedido historico mock - Chacinados El Quebracho,true,false,1
P-00036,25012,5493872845902,Chacinados El Quebracho,2026-03-20 13:39:27,entregado,126440.00,Pedido historico mock - Chacinados El Quebracho,true,false,1
P-00037,25013,5492997670210,Carnicería Pueyrredón,2026-05-24 14:12:36,confirmado,185160.00,Pedido historico mock - Carnicería Pueyrredón,true,false,2
P-00038,25013,5492997670210,Carnicería Pueyrredón,2026-03-10 15:31:43,entregado,7660.00,Pedido historico mock - Carnicería Pueyrredón,true,false,2
P-00039,25013,5492997670210,Carnicería Pueyrredón,2026-03-27 16:50:50,facturado,282210.00,Pedido historico mock - Carnicería Pueyrredón,true,false,2
P-00040,25014,5493811657614,Frigorífico Río Carcarañá,2026-05-31 17:23:59,entregado,3876050.00,Pedido historico mock - Frigorífico Río Carcarañá,true,false,3
P-00041,25014,5493811657614,Frigorífico Río Carcarañá,2026-03-17 08:42:06,facturado,101370.00,Pedido historico mock - Frigorífico Río Carcarañá,true,false,3
P-00042,25014,5493811657614,Frigorífico Río Carcarañá,2026-04-03 09:01:13,confirmado,114880.00,Pedido historico mock - Frigorífico Río Carcarañá,true,false,3
P-00043,25015,5492994145193,Carnicería El Familiar,2026-03-07 10:34:22,facturado,183140.00,Pedido historico mock - Carnicería El Familiar,true,false,4
P-00044,25015,5492994145193,Carnicería El Familiar,2026-03-24 11:53:29,confirmado,217530.00,Pedido historico mock - Carnicería El Familiar,true,false,4
P-00045,25015,5492994145193,Carnicería El Familiar,2026-04-10 12:12:36,entregado,64200.00,Pedido historico mock - Carnicería El Familiar,true,false,4
P-00046,25016,5493515971311,Fábrica de Chorizos El Fogón,2026-03-14 13:45:45,confirmado,224230.00,Pedido historico mock - Fábrica de Chorizos El Fogón,true,false,1
P-00047,25016,5493515971311,Fábrica de Chorizos El Fogón,2026-03-31 14:04:52,entregado,255230.00,Pedido historico mock - Fábrica de Chorizos El Fogón,true,false,1
P-00048,25016,5493515971311,Fábrica de Chorizos El Fogón,2026-04-17 15:23:59,facturado,303360.00,Pedido historico mock - Fábrica de Chorizos El Fogón,true,false,1
P-00049,25017,5492994228106,Carnicería Don Santos,2026-03-21 16:56:08,entregado,346840.00,Pedido historico mock - Carnicería Don Santos,true,false,2
P-00050,25017,5492994228106,Carnicería Don Santos,2026-04-07 17:15:15,facturado,201500.00,Pedido historico mock - Carnicería Don Santos,true,false,2
P-00051,25017,5492994228106,Carnicería Don Santos,2026-04-24 08:34:22,confirmado,325160.00,Pedido historico mock - Carnicería Don Santos,true,false,2
P-00052,25018,5492998718887,Embutidos La Criolla,2026-03-28 09:07:31,facturado,252420.00,Pedido historico mock - Embutidos La Criolla,true,false,3
P-00053,25018,5492998718887,Embutidos La Criolla,2026-04-14 10:26:38,confirmado,92570.00,Pedido historico mock - Embutidos La Criolla,true,false,3
P-00054,25018,5492998718887,Embutidos La Criolla,2026-05-01 11:45:45,entregado,154780.00,Pedido historico mock - Embutidos La Criolla,true,false,3
P-00055,25019,5492995028869,Frigorífico Crisol,2026-04-04 12:18:54,confirmado,324870.00,Pedido historico mock - Frigorífico Crisol,true,false,4
P-00056,25019,5492995028869,Frigorífico Crisol,2026-04-21 13:37:01,entregado,318280.00,Pedido historico mock - Frigorífico Crisol,true,false,4
P-00057,25019,5492995028869,Frigorífico Crisol,2026-05-08 14:56:08,facturado,520890.00,Pedido historico mock - Frigorífico Crisol,true,false,4
P-00058,25020,5493517304254,Carnicería San Carlos,2026-04-11 15:29:17,entregado,185080.00,Pedido historico mock - Carnicería San Carlos,true,false,1
P-00059,25020,5493517304254,Carnicería San Carlos,2026-04-28 16:48:24,facturado,321510.00,Pedido historico mock - Carnicería San Carlos,true,false,1
P-00060,25020,5493517304254,Carnicería San Carlos,2026-05-15 17:07:31,confirmado,52720.00,Pedido historico mock - Carnicería San Carlos,true,false,1
P-00061,25021,5493416986538,Chacinados El Molino,2026-04-18 08:40:40,facturado,334140.00,Pedido historico mock - Chacinados El Molino,true,false,2
P-00062,25021,5493416986538,Chacinados El Molino,2026-05-05 09:59:47,confirmado,142870.00,Pedido historico mock - Chacinados El Molino,true,false,2
P-00063,25021,5493416986538,Chacinados El Molino,2026-05-22 10:18:54,entregado,874200.00,Pedido historico mock - Chacinados El Molino,true,false,2
P-00064,25022,5492619239862,Carnicería Las Brasas,2026-04-25 11:51:03,confirmado,362940.00,Pedido historico mock - Carnicería Las Brasas,true,false,3
P-00065,25022,5492619239862,Carnicería Las Brasas,2026-05-12 12:10:10,entregado,65800.00,Pedido historico mock - Carnicería Las Brasas,true,false,3
P-00066,25022,5492619239862,Carnicería Las Brasas,2026-05-29 13:29:17,facturado,257270.00,Pedido historico mock - Carnicería Las Brasas,true,false,3
P-00067,25023,5493513952681,Sala de Elaborados El Patio,2026-05-02 14:02:26,entregado,233960.00,Pedido historico mock - Sala de Elaborados El Patio,true,false,4
P-00068,25023,5493513952681,Sala de Elaborados El Patio,2026-05-19 15:21:33,facturado,12560.00,Pedido historico mock - Sala de Elaborados El Patio,true,false,4
P-00069,25023,5493513952681,Sala de Elaborados El Patio,2026-03-05 16:40:40,confirmado,61000.00,Pedido historico mock - Sala de Elaborados El Patio,true,false,4
P-00070,25024,5493414799650,Fiambres La Tradición,2026-05-09 17:13:49,facturado,122030.00,Pedido historico mock - Fiambres La Tradición,true,false,1
