id,pedido_id,client_id,product_code,nombre,cantidad_solicitada,precio_unitario,fecha_pedido,is_mock
1,1,1,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-07-26,True
2,1,1,423,CRIOLLO DE HOJALDRE x 11kg*,5,55100.0,2026-07-26,True
3,1,1,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,1,18000.0,2026-07-26,True
4,1,1,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,5,19220.0,2026-07-26,True
5,2,1,421,MEDIALUNA CON MANTECA,2,74650.0,2026-06-05,True
6,2,1,415,PAN MIGNON PRECOCIDO X 18un.,2,13300.0,2026-06-05,True
7,3,2,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,4,19220.0,2026-05-19,True
8,3,2,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-05-19,True
9,4,2,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,3,45600.0,2026-06-02,True
10,4,2,421,MEDIALUNA CON MANTECA,3,74650.0,2026-06-02,True
11,4,2,448,HOJALDRITOS ESPECIALES x 5kg,2,24600.0,2026-06-02,True
12,4,2,429,CROISSANT,2,43000.0,2026-06-02,True
13,5,3,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-07-16,True
14,5,3,422-MIX,FACTURA MIXTA,3,64200.0,2026-07-16,True
15,6,3,422,MEDIALUNA C/ MANTECA SALADA,1,74650.0,2026-05-13,True
16,6,3,430,CHIPACA DE GRASA x 5kg*,4,31400.0,2026-05-13,True
17,6,3,436,PAN TREBOLIN PRECOCIDO x3kg,1,12500.0,2026-05-13,True
18,7,3,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,5,19220.0,2026-05-20,True
19,7,3,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,2,18000.0,2026-05-20,True
20,7,3,427,CHIPÁ x 5kg*,1,133300.0,2026-05-20,True
21,8,4,425,TORTILLA TUCUMANA x 7.8kg*,2,40200.0,2026-05-06,True
22,8,4,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-05-06,True
23,9,4,430,CHIPACA DE GRASA x 5kg*,3,31400.0,2026-06-11,True
24,9,4,427,CHIPÁ x 5kg*,3,133300.0,2026-06-11,True
25,9,4,448,HOJALDRITOS ESPECIALES x 5kg,2,24600.0,2026-06-11,True
26,10,5,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-05-01,True
