product_code,nombre,categoria,descripcion,precio_base,precio_unidad_kg,unidades_por_bulto,es_pesable,peso_referencia_kg,stock,rotacion_index,mental_priority,unidad_minima_de_venta,umv_tipo,cantidad_minima_de_venta,en_catalogo,is_mock,image_url
421,MEDIALUNA CON MANTECA,Panadería Congelada > Medialunas,Producto congelado Valaice: MEDIALUNA CON MANTECA. Formato comercial: 168 un/bulto. Precios finales con IVA incluido.,74650.0,444.35,168,false,0.05,100,0.95,0.95,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/421.webp
422,MEDIALUNA C/ MANTECA SALADA,Panadería Congelada > Medialunas,Producto congelado Valaice: MEDIALUNA C/ MANTECA SALADA. Formato comercial: 168 un/bulto. Precios finales con IVA incluido.,74650.0,444.35,168,false,0.05,100,0.93,0.93,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/422.jpg
429,CROISSANT,Panadería Congelada > Facturas y Bollería,Producto congelado Valaice: CROISSANT. Formato comercial: 40 un/bulto. Precios finales con IVA incluido.,43000.0,1075.0,40,false,0.11,100,0.86,0.86,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/429.jpg
422-MIX,FACTURA MIXTA,Panadería Congelada > Facturas y Bollería,Producto congelado Valaice: FACTURA MIXTA. Formato comercial: 108 un/bulto. Precios finales con IVA incluido.,64200.0,594.44,108,false,0.07,100,0.84,0.84,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/422-MIX.jpg
426,FACTURA RECTANGULAR CRUDA CONGELADA,Panadería Congelada > Facturas y Bollería,Producto congelado Valaice: FACTURA RECTANGULAR CRUDA CONGELADA. Formato comercial: 180 un/bulto. Precios finales con IVA incluido.,69300.0,385.0,180,false,0.06,100,0.82,0.82,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/426.webp
423,CRIOLLO DE HOJALDRE x 11kg*,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: CRIOLLO DE HOJALDRE x 11kg*. Formato comercial: 200 un/bulto. Precios finales con IVA incluido.,55100.0,5009.09,200,true,0.055,100,0.75,0.75,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/423.jpg
424,CRIOLLO COMÚN HEXAGONAL x 11kg*,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: CRIOLLO COMÚN HEXAGONAL x 11kg*. Formato comercial: 220 un/bulto. Precios finales con IVA incluido.,45600.0,4145.45,220,true,0.045,100,0.73,0.73,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/424.webp
425,TORTILLA TUCUMANA x 7.8kg*,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: TORTILLA TUCUMANA x 7.8kg*. Formato comercial: 120 un/bulto. Precios finales con IVA incluido.,40200.0,5153.85,120,true,0.065,100,0.71,0.71,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/425.jpg
430,CHIPACA DE GRASA x 5kg*,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: CHIPACA DE GRASA x 5kg*. Formato comercial: 100 un/bulto. Precios finales con IVA incluido.,31400.0,6279.9,100,true,0.05,100,0.69,0.69,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/430.webp
449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: CRIOLLO COMÚN CON CHICHARRÓN x 11kg. Formato comercial: 220 un/bulto. Precios finales con IVA incluido.,45600.0,4145.45,220,true,0.045,100,0.67,0.67,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/449.png
448,HOJALDRITOS ESPECIALES x 5kg,Panadería Congelada > Panes Crudos y Precocidos,Producto congelado Valaice: HOJALDRITOS ESPECIALES x 5kg. Formato comercial: 250 un/bulto. Precios finales con IVA incluido.,24600.0,4920.0,250,true,0.02,100,0.55,0.55,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/448.jpg
427,CHIPÁ x 5kg*,Panadería Congelada > Especialidades y Criollos,Producto congelado Valaice: CHIPÁ x 5kg*. Formato comercial: 250 un/bulto. Precios finales con IVA incluido.,133300.0,26660.0,250,true,0.02,100,0.63,0.63,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/427.webp
435,PAN MIGNON CRUDO CONGELADO x 14kg*,Panadería Congelada > Panes Crudos y Precocidos,Producto congelado Valaice: PAN MIGNON CRUDO CONGELADO x 14kg*. Formato comercial: 55 un/bulto. Precios finales con IVA incluido.,35000.0,636.36,55,true,0.26,100,0.51,0.51,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/435.webp
440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,Panadería Congelada > Panes Crudos y Precocidos,Producto congelado Valaice: PAN BAGUETTE CRUDO CONGELADO x 7kg*. Formato comercial: 55 un/bulto. Precios finales con IVA incluido.,18000.0,327.27,55,true,0.13,100,0.49,0.49,unidad,unidad,1,true,true,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-valaice/440.webp
