cliente_codigo,codigo_erp,is_prospect,whatsapp_status,is_mock
1001,25001,false,validado,true
1002,25002,false,validado,true
1003,25003,false,validado,true
1004,25004,false,validado,true
1005,25005,false,validado,true
1006,25006,false,validado,true
1007,25007,false,validado,true
1008,25008,false,validado,true
1009,25009,false,validado,true
1010,25010,false,validado,true
1011,25011,false,validado,true
1012,25012,false,validado,true
1013,25013,false,validado,true
1014,25014,false,validado,true
1015,25015,false,validado,true
1016,25016,false,validado,true
1017,25017,false,validado,true
1018,25018,false,validado,true
1019,25019,false,validado,true
1020,25020,false,validado,true
1021,25021,false,validado,true
1022,25022,false,validado,true
1023,25023,false,validado,true
1024,25024,false,validado,true
1025,25025,false,validado,true
1026,25026,false,validado,true
1027,25027,false,validado,true
1028,25028,false,validado,true
1029,25029,false,validado,true
1030,25030,false,validado,true
1031,25031,false,existente,true
1032,25032,false,existente,true
1033,25033,false,existente,true
1034,25034,false,existente,true
1035,25035,false,existente,true
1036,25036,false,existente,true
1037,25037,false,existente,true
1038,25038,false,existente,true
1039,25039,false,existente,true
1040,25040,false,existente,true
1041,0,true,no_validado,true
1042,0,true,no_validado,true
1043,0,true,no_validado,true
1044,0,true,no_validado,true
1045,0,true,no_validado,true
1046,0,true,no_existente,true
1047,0,true,no_existente,true
1048,0,true,no_existente,true
1049,0,true,no_existente,true
1050,0,true,no_existente,true
