product_code,excel_row,fuente,ok,url
PAN-PAN-01735,2,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01735.jpg
PAN-PAN-01736,3,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01736.jpg
PAN-PAN-01819,4,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01819.jpg
PAN-PAN-01725,5,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01725.jpg
PAN-PAN-01724,6,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01724.jpg
COM-COR-01827,7,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/COM-COR-01827.jpg
COM-COR-01828,8,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/COM-COR-01828.jpg
COM-COR-01826,9,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/COM-COR-01826.jpg
PAN-PAN-01739,10,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01739.jpg
PAN-PAN-01722,11,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01722.jpg
PAN-PAN-01741,12,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01741.jpg
PAN-COR-01877,13,excel,sin_foto,
PAN-PAN-01740,14,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01740.jpg
PAN-PAN-01810,15,excel,sin_foto,
PAN-COR-01964,16,excel,sin_foto,
PAN-PAN-01812,17,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01812.jpg
PAN-COR-01878,18,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-COR-01878.jpg
PAN-PAN-01793,19,excel,sin_foto,
PAN-COR-20001,20,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-COR-20001.jpg
PAN-PAN-01813,21,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01813.jpg
PAN-PAN-01744,22,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01744.jpg
PAN-PAN-01730,23,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01730.jpg
PAN-PAN-01729,24,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01729.jpg
PAN-COR-01954,25,excel,sin_foto,
PAN-PAN-01594,26,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/PAN-PAN-01594.jpg
SIN-CRE-02000,27,excel,sin_foto,
SIN-CRE-01969,28,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/SIN-CRE-01969.jpg
SIN-CRE-01971,29,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/SIN-CRE-01971.jpg
SIN-CRE-01984,31,excel,sin_foto,
SIN-CRE-02002,32,excel,sin_foto,
SIN-CRE-01965,33,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/SIN-CRE-01965.jpg
SIN-CRE-01999,34,excel,sin_foto,
SIN-CRE-01985,35,excel,sin_foto,
SIN-CRE-02001,36,excel,sin_foto,
SIN-CRE-01967,37,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/SIN-CRE-01967.jpg
SIN-CRE-01966,38,excel,sin_foto,
SIN-CRE-20002,39,excel,sin_foto,
FRU-DRL-01957,40,excel,sin_foto,
REB-DRL-01944,41,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01944.jpg
REB-DRL-01943,42,excel,sin_foto,
FRU-DRL-01912,43,excel,sin_foto,
FRU-DRL-01911,44,excel,sin_foto,
REB-DRL-01945,45,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01945.jpg
REB-DRL-01946,46,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01946.jpg
REB-DRL-01947,47,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01947.jpg
REB-DRL-01948,48,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01948.jpg
REB-DRL-01951,49,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01951.jpg
FRU-DRL-01918,50,excel,sin_foto,
FRU-DRL-01913,51,excel,sin_foto,
REB-DRL-01949,52,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01949.jpg
REB-DRL-01950,53,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/REB-DRL-01950.jpg
IMP-FRO-01938,54,excel,sin_foto,
IMP-FRO-01933,55,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/IMP-FRO-01933.jpg
IMP-FRO-01939,56,excel,sin_foto,
BAL-GAT-01910,57,excel,sin_foto,
BAL-BAL-01253,58,excel,sin_foto,
BAL-BAL-01785,59,excel,sin_foto,
BAL-BAL-01246,60,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01246.jpg
BAL-BAL-01234,61,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01234.jpg
BAL-BAL-01235,62,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01235.jpg
BAL-BAL-01245,63,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01245.jpg
BAL-BAL-01251,64,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01251.jpg
BAL-BAL-01237,65,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01237.jpg
BAL-BAL-01547,66,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01547.jpg
BAL-BAL-01220,67,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01220.jpg
BAL-BAL-01238,68,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01238.jpg
BAL-BAL-01247,69,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01247.jpg
BAL-BAL-01775,70,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01775.jpg
BAL-BAL-01218,71,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01218.jpg
BAL-BAL-01227,72,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01227.jpg
BAL-BAL-01221,73,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01221.jpg
BAL-BAL-01229,74,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01229.jpg
BAL-BAL-01750,75,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01750.jpg
BAL-BAL-01248,76,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01248.jpg
BAL-BAL-01429,77,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01429.jpg
BAL-BAL-01222,78,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01222.jpg
BAL-BAL-01249,79,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01249.jpg
BAL-BAL-01749,80,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01749.jpg
BAL-BAL-01228,81,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01228.jpg
BAL-BAL-01783,82,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01783.jpg
BAL-BAL-01710,83,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01710.jpg
BAL-BAL-01223,84,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01223.jpg
BAL-BAL-01230,85,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01230.jpg
BAL-BAL-01231,86,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01231.jpg
BAL-BAL-01239,87,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01239.jpg
BAL-BAL-01232,88,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01232.jpg
BAL-BAL-01240,89,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01240.jpg
BAL-BAL-01241,90,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01241.jpg
BAL-BAL-01216,91,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01216.jpg
BAL-BAL-01418,92,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01418.jpg
BAL-BAL-01250,93,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01250.jpg
BAL-BAL-01242,94,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01242.jpg
BAL-BAL-01233,95,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01233.jpg
BAL-BAL-01628,96,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01628.jpg
BAL-GAT-01896,97,excel,sin_foto,
BAL-BAL-01243,98,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01243.jpg
BAL-BAL-01244,99,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01244.jpg
BAL-BAL-01225,100,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01225.jpg
BAL-BAL-01217,101,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/BAL-BAL-01217.jpg
IMP-IMP-01660,102,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/IMP-IMP-01660.jpg
GAT-BAL-01792,103,excel,sin_foto,
INS-INS-01565,104,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01565.jpg
INS-INS-01358,105,excel,sin_foto,
INS-INS-01838,106,excel,sin_foto,
INS-INS-01684,107,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01684.jpg
INS-INS-01586,108,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01586.jpg
INS-INS-01585,109,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01585.jpg
INS-INS-01584,110,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01584.jpg
INS-INS-01690,111,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01690.jpg
INS-INS-01598,112,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01598.jpg
INS-INS-01599,113,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01599.jpg
INS-INS-01383,114,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01383.jpg
INS-INS-01733,115,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01733.jpg
INS-INS-01336,116,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01336.jpg
INS-INS-01382,117,excel,sin_foto,
INS-INS-01569,118,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01569.jpg
INS-INS-01597,119,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01597.jpg
BAL-BAL-01748,120,excel,sin_foto,
INS-INS-01348,121,excel,ok,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-cordoba_frost/INS-INS-01348.jpg
INS-INS-01786,122,excel,sin_foto,
