product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,es_pesable,sku_origen,nota_sku
PAN-PAN-01735,Baguettin Blanco 115gr 40u.,18200,250,40,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Baguettin Blanco 115gr 40u.|CORDOBA PAN|Panificados Panaderia|caja|bulto|caja x40,0.82,0.0,"Baguettín congelado, Baguettin Blanco 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades.",,true,false,Productos | General,false,PAN-PAN-01735,
PAN-PAN-01736,Baguettin Salvado 115gr 40u.,18200,250,40,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Baguettin Salvado 115gr 40u.|CORDOBA PAN|Panificados Panaderia|caja|bulto|caja x40,0.82,0.0,"Baguettín congelado, Baguettin Salvado 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades.",,true,false,Productos | General,false,PAN-PAN-01736,
PAN-PAN-01819,Chipa Congelada 15grs 1KG,17500,250,1,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Chipa Congelada 15grs 1KG|CORDOBA PAN|Panificados Bizcocheria|Chipa 15grs 1KG,0.82,0.0,"Chipá congelada, Chipa Congelada 15grs 1KG, marca CORDOBA PAN, 15g.",,true,false,Productos | General,false,PAN-PAN-01819,
PAN-PAN-01725,Chipa Congelada 15grs caja x 5KG,76800,250,1,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Chipa Congelada 15grs caja x 5KG|CORDOBA PAN|Panificados Bizcocheria|Chipa 15grs x 5KG,0.82,0.0,"Chipá congelada, Chipa Congelada 15grs caja x 5KG, marca CORDOBA PAN, 15g.",,true,false,Productos | General,false,PAN-PAN-01725,
PAN-PAN-01724,"Chipaca Congelada 50grs 7,5KG",29800,250,1,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,"Chipaca Congelada 50grs 7,5KG|CORDOBA PAN|Panificados Bizcocheria|Chipaca 50grs 7,5KG",0.82,0.0,"Chipá congelada, Chipaca Congelada 50grs 7,5KG, marca CORDOBA PAN, 50g.",,true,false,Productos | General,false,PAN-PAN-01724,
PAN-PAN-01739,Criollo Comun 50grs x210u.,37100,250,210,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Criollo Comun 50grs x210u.|CORDOBA PAN|Panificados Bizcocheria|Criollo Comun 50grs .|caja|bulto|caja x210,0.82,0.0,"Criollo congelado, Criollo Comun 50grs x210u, marca CORDOBA PAN, 50g, x210 unidades.",,true,false,Productos | General,false,PAN-PAN-01739,
PAN-PAN-01722,Criollo Hojaldre 50grs x 10.5 kg x caja,41500,250,1,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Kg,Criollo Hojaldre 50grs x 10.5 kg x caja|CORDOBA PAN|Panificados Bizcocheria|Criollo Hojaldre 50grs x 10.5 kg x,0.82,0.0,"Criollo congelado, Criollo Hojaldre 50grs x 10.5 kg x caja, marca CORDOBA PAN, 50g, venta por kg.",,true,false,Productos | General,false,PAN-PAN-01722,
PAN-PAN-01741,Factura Carasucia Congelada x192u,43300,250,192,unidad,unidad,Panificados,Panificados Pasteleria,CORDOBA PAN,Caja,Factura Carasucia Congelada x192u|CORDOBA PAN|Panificados Pasteleria|Factura Carasucia|caja|bulto|caja x192,0.82,0.0,"Factura congelada, Factura Carasucia Congelada x192u, marca CORDOBA PAN, x192 unidades.",,true,false,Productos | General,false,PAN-PAN-01741,
PAN-COR-01877,Factura Persianita c/ Crema x120u 50gr,61100,250,120,unidad,unidad,Panificados,Panificados Pasteleria,CORDOBA PAN,Caja,Factura Persianita c/ Crema x120u 50gr|CORDOBA PAN|Panificados Pasteleria|Factura Persianita c/ Crema 50gr|caja|bulto|caja x120,0.82,0.0,"Factura congelada, Factura Persianita c/ Crema x120u 50gr, marca CORDOBA PAN, 50gr, x120 unidades.",,true,false,Productos | General,false,PAN-COR-01877,
PAN-PAN-01740,Factura Persianita Congelada 60grs 120u.,38200,250,120,unidad,unidad,Panificados,Panificados Pasteleria,CORDOBA PAN,Caja,Factura Persianita Congelada 60grs 120u.|CORDOBA PAN|Panificados Pasteleria|Factura Persianita 60grs 120u.|caja|bulto|caja x120,0.82,0.0,"Factura congelada, Factura Persianita Congelada 60grs 120u, marca CORDOBA PAN, 60g, x120 unidades.",,true,false,Productos | General,false,PAN-PAN-01740,
