Producto Nombre,Producto Codigo,Categoria,Precio,Stock
Chinchulin,AFTE0020,Achuras,$10.990.00,7.88
Chinchulin (C),AFTE0020 (C),Achuras,"$10,990.00",8.02
Molleja,AFTE0007,Achuras,"$40,990.00",6.70
Molleja (C),AFTE0007 (C),Achuras,"$40,990.00",3.25
Bondiola Magret EV,AFCE0103,Al Fuego,"$14,417.27",4.94
Chorizo x 4un Magret EV x 400gr,AFCE0108,Al Fuego,"$13,940.78",0.80
Enemigo cab-franc x750 ,AFBO0203,Al Fuego,"$31,600.00",3.00
Enemigo malbec x750,AFBO0202,Al Fuego,"$31,600.00",1.00
Jamon crudo feteado env vacio x kg,VACO0195,Al Fuego,"$60,476.15",0.72
Jamon crudo trozo en vacio x kg,VACO0194,Al Fuego,"$55,623.50",0.68
Luca Beso de Dante,VINO0173,Al Fuego,"$48,400.00",6.00
Luca malbec,VINO0172,Al Fuego,"$33,700.00",5.00
Luca pinot noir,VINO0171,Al Fuego,"$28,700.00",5.00
Matambre de cerdo Magret,AFCE0102,Al Fuego,"$27,654.17",10.58
Pizza 4 quesos Luco,DELI0035,Al Fuego,"$12,000.00",3.00
Pizza Especial Luco,DELI0034,Al Fuego,"$12,000.00",3.00
Pizza Fugazzetta Luco,DELI0036,Al Fuego,"$12,000.00",3.00
Pizza Muzzarella Luco,DELI0037,Al Fuego,"$11,500.00",3.00
Salsa Barbacoa,AFDE0159,Al Fuego,$0.00,-1.00
Sorrentinos Premium Molleja al verdeo,DELI0038,Al Fuego,"$18,900.00",1.00
Sorrentinos premium camarones al limón,DELI0039,Al Fuego,"$16,100.00",2.00
Sorrentinos premium salmón al limón,DELI0040,Al Fuego,"$16,100.00",2.00
los sauces piel y hueso,VACO0235,Al Fuego,"$20,000.00",2.00
naranjo piel y hueso,VACO0233,Al Fuego,"$30,000.00",2.00
rosado primero piel y hueso,VACO0236,Al Fuego,"$25,000.00",3.00
señor piel y hueso,VACO0234,Al Fuego,"$32,000.00",3.00
Coca Cola Vid. x 350cc,AFBE0050,Bebida,$0.00,48.00
Coca Cola x 1.5Lt,AFBE0001,Bebida,"$4,502.92",11.00
Coca Zero Lata x 354CC,AFBE0015,Bebida,"$1,900.00",7.00
Coca Zero x 1.5Lt,AFBE0004,Bebida,"$4,502.92",6.00
Fanta Naranja x 1.5Lt,AFBE0002,Bebida,"$4,238.04",10.00
Schweppes Pomelo x 1.5Lt,AFBE0013,Bebida,"$3,827.91",6.00
Schweppes Tonica x 1.5Lt,AFBE0010,Bebida,$0.00,12.00
Sprite Lata x 354CC,AFBE0018,Bebida,"$1,400.00",11.00
coca 500 ml ,VACO0178,Bebida,"$1,600.00",35.00
coca cola 1L ,VACO0177,Bebida,"$3,600.00",15.00
coca cola 2.25 L ,VACO0175,Bebida,"$6,000.00",4.00
coca cola vidrio ret 350 ml ,VACO0174,Bebida,"$2,500.00",-1.00
coca zero 2.25 L,VACO0176,Bebida,"$6,000.00",3.00
coca zero 500 ml ,VACO0179,Bebida,"$1,600.00",20.00
sprite 2.25 L ,VACO0171,Bebida,"$5,700.00",4.00
sprite 500 ml ,VACO0172,Bebida,"$1,600.00",11.00
sprite lata 230 ml ,VACO0173,Bebida,"$1,300.00",12.00
Champagne Salentein Brut Nature,VACO0091,Bebidas Whisky,"$13,600.00",11.00
Champagne Salentein Extra Brut,VACO0092,Bebidas Whisky,"$13,600.00",4.00
Champagne las perdices brut nature,VACO0090,Bebidas Whisky,"$14,100.00",6.00
Fernet Branca,VACO0084,Bebidas Whisky,"$15,400.00",11.00
Ramazotti,VACO0082,Bebidas Whisky,"$8,700.00",18.00
Vodka Sky,VACO0085,Bebidas Whisky,"$10,700.00",13.00
Whisky black label,VACO0088,Bebidas Whisky,"$10,000.00",6.00
Whisky jack daniels,VACO0089,Bebidas Whisky,"$10,000.00",6.00
Whisky red label,VACO0087,Bebidas Whisky,"$10,000.00",6.00
Al Al Pasión Sauvignon Blanc,VACO0138,Bodega,"$21,280.00",6.00
Al Pasión Cabernet Franc,VACO0140,Bodega,"$52,500.00",9.00
Al Pasión Cabernet Sauvignon,VACO0137,Bodega,"$21,280.00",12.00
Al Pasión Grand Malbec,VACO0139,Bodega,"$52,500.00",5.00
Al Pasión Malbec,VACO0136,Bodega,"$21,280.00",11.00
Al Pasión Petit Verdot,VACO0141,Bodega,"$10,000.00",6.00
Angelica Cabernet Franc,VACO0121,Bodega,"$39,000.00",7.00
Angelica Cabernet Sauvignon,VACO0120,Bodega,"$39,000.00",11.00
Angelica Malbec,VACO0119,Bodega,"$43,000.00",9.00
Angélica Zapata Cabernet Franc 750 cc,AFBO0100,Bodega,$0.00,12.00
Angélica Zapata Cabernet Sauvignon 750 cc,AFBO0126,Bodega,$0.00,12.00
Angélica Zapata Chardonnay 750 cc,AFBO1024,Bodega,$0.00,8.00
Angélica Zapata Malbec 750 cc,AFBO1025,Bodega,$0.00,20.00
Angélica Zapata Merlot 750 cc,AFBO0099,Bodega,$0.00,16.00
As de Bravas,VACO0135,Bodega,"$105,000.00",5.00
