product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
RUG-AZU-001,AZUCAR DUL C 10 X 1 KG,11200.0,250,10,unidad,unidad,Almacén,Azúcares,Distribuidora Ruggeri,Bulto x 10,RUG-AZU-001|AZUCAR DUL C 10 X 1 KG|Distribuidora Ruggeri Azúcares,0.65,2,AZUCAR DUL C 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-AZU-001.jpg,true,true,tabla_mayoristas.csv
RUG-AZU-002,AZUCAR BELLA VISTA 10X1KG,11200.0,250,10,unidad,unidad,Almacén,Azúcares,Distribuidora Ruggeri,Bulto x 10,RUG-AZU-002|AZUCAR BELLA VISTA 10X1KG|Distribuidora Ruggeri Azúcares,0.65,2,AZUCAR BELLA VISTA 10X1KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-AZU-002.jpg,true,true,tabla_mayoristas.csv
RUG-AZU-003,AZUCAR FRONTERITA 10 X 1 KG,12500.0,250,10,unidad,unidad,Almacén,Azúcares,Distribuidora Ruggeri,Bulto x 10,RUG-AZU-003|AZUCAR FRONTERITA 10 X 1 KG|Distribuidora Ruggeri Azúcares,0.65,2,AZUCAR FRONTERITA 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-AZU-003.webp,true,true,tabla_mayoristas.csv
RUG-AZU-004,AZUCAR X 50 KG,0.0,0,1,unidad,unidad,Almacén,Azúcares,Distribuidora Ruggeri,Bulto/Bolsa,RUG-AZU-004|AZUCAR X 50 KG|Distribuidora Ruggeri Azúcares,0.65,2,AZUCAR X 50 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-AZU-004.webp,false,true,tabla_mayoristas.csv
RUG-HAR-001,DISTINGUIDA 3/0 X 25 KG,15200.0,250,0,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Distribuidora Ruggeri,Bulto/Bolsa,RUG-HAR-001|DISTINGUIDA 3/0 X 25 KG|Distribuidora Ruggeri Harinas y Premezclas,0.4,2,DISTINGUIDA 3/0 X 25 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-001.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-002,GRACIELA. REAL 3/0 X 25 KG,15200.0,250,0,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Real,Bulto/Bolsa,RUG-HAR-002|GRACIELA. REAL 3/0 X 25 KG|Real Harinas y Premezclas,0.65,2,GRACIELA. REAL 3/0 X 25 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-002.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-003,GRACIELA. REAL 4/0 X 25 KG,17500.0,250,0,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Real,Bulto/Bolsa,RUG-HAR-003|GRACIELA. REAL 4/0 X 25 KG|Real Harinas y Premezclas,0.65,2,GRACIELA. REAL 4/0 X 25 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-003.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-004,SALVADO X 25 KG,14500.0,250,1,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Distribuidora Ruggeri,Bulto/Bolsa,RUG-HAR-004|SALVADO X 25 KG|Distribuidora Ruggeri Harinas y Premezclas,0.4,2,SALVADO X 25 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-004.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-005,HARINA MORIXES 3/0 10XKG,6950.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Morixe,Bulto x 10,RUG-HAR-005|HARINA MORIXES 3/0 10XKG|Morixe Harinas y Premezclas,0.85,1,HARINA MORIXES 3/0 10XKG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-005.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-006,HARINA MORIXES 4/0 10XKG,9600.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Morixe,Bulto x 10,RUG-HAR-006|HARINA MORIXES 4/0 10XKG|Morixe Harinas y Premezclas,0.85,1,HARINA MORIXES 4/0 10XKG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-006.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-007,HARINA PARA PIZZA MORIXES 10X1KG,10600.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Morixe,Bulto x 10,RUG-HAR-007|HARINA PARA PIZZA MORIXES 10X1KG|Morixe Harinas y Premezclas,0.85,1,HARINA PARA PIZZA MORIXES 10X1KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://via.placeholder.com/300?text=RUG-HAR-007,true,true,tabla_mayoristas.csv
RUG-HAR-008,HARINA MORIXES LEUDANTE 10 X 1 KG,12500.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Morixe,Bulto x 10,RUG-HAR-008|HARINA MORIXES LEUDANTE 10 X 1 KG|Morixe Harinas y Premezclas,0.85,1,HARINA MORIXES LEUDANTE 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-008.webp,true,true,tabla_mayoristas.csv
RUG-HAR-009,GRACIELA. REAL 3/0 10 X 1 KG,7100.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Real,Bulto x 10,RUG-HAR-009|GRACIELA. REAL 3/0 10 X 1 KG|Real Harinas y Premezclas,0.65,2,GRACIELA. REAL 3/0 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-009.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-010,GRACIELA. REAL 4/0 10 X 1 KG,9700.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Real,Bulto x 10,RUG-HAR-010|GRACIELA. REAL 4/0 10 X 1 KG|Real Harinas y Premezclas,0.65,2,GRACIELA. REAL 4/0 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-010.jpg,true,true,tabla_mayoristas.csv
RUG-HAR-011,GRACIELA. REAL LEUDANTE 10 X 1 KG,11000.0,250,10,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Real,Bulto x 10,RUG-HAR-011|GRACIELA. REAL LEUDANTE 10 X 1 KG|Real Harinas y Premezclas,0.65,2,GRACIELA. REAL LEUDANTE 10 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 10.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-011.jpg,true,true,tabla_mayoristas.csv
RUG-SAL-001,SAL ENTREFINA X 25KG RINSAL,8400.0,250,1,unidad,unidad,Almacén,Sales,Rinsal,Bulto/Bolsa,RUG-SAL-001|SAL ENTREFINA X 25KG RINSAL|Rinsal Sales,0.4,2,SAL ENTREFINA X 25KG RINSAL. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-SAL-001.png,true,true,tabla_mayoristas.csv
RUG-SAL-002,SAL FINA X 25KG RINSAL,10000.0,250,1,unidad,unidad,Almacén,Sales,Rinsal,Bulto/Bolsa,RUG-SAL-002|SAL FINA X 25KG RINSAL|Rinsal Sales,0.4,2,SAL FINA X 25KG RINSAL. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://via.placeholder.com/300?text=RUG-SAL-002,true,true,tabla_mayoristas.csv
RUG-PAN-001,PAN RALLADO/REBOZADOR 5 KG,7400.0,250,1,unidad,unidad,Harinas y Molinería,Pan Rallado y Rebozadores,Distribuidora Ruggeri,Bulto/Bolsa,RUG-PAN-001|PAN RALLADO/REBOZADOR 5 KG|Distribuidora Ruggeri Pan Rallado y Rebozadores,0.4,2,PAN RALLADO/REBOZADOR 5 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-PAN-001.png,true,true,tabla_mayoristas.csv
