base_product_code,related_product_code,reason,is_mock
PSQ-0016,PSQ-0582,Al antihongos gatillo sumale el quitasarro: baño y azulejos en el mismo pedido.,true
PSQ-0017,PSQ-0310,El antihongos 5 L + destapa cañerías deja el baño y las cañerías listos.,true
PSQ-0295,PSQ-0453,Desengrasante de cocina + lavandina 1 L: mesada y piso en la misma nota.,true
PSQ-0457,PSQ-0462,Limpia tapizados + limpiavidrios gatillo: auto o living en un solo viaje.,true
PSQ-0576,PSQ-0582,Quitamanchas y quitasarro: ropa y baño en el mismo pedido.,true
PSQ-0198,PSQ-0204,Caja de empanada + caja de pizza: el delivery del bar sale completo.,true
PSQ-0205,PSQ-0736,Caja de pizza + vaso 220 cc: takeaway listo para la mesa.,true
PSQ-0215,PSQ-0174,Camiseta Mundi Max + bolsa consorcio: mostrador y residuos en el mismo pedido.,true
PSQ-0454,PSQ-0686,Lavandina 5 L + suavizante: el combo de lavadero que cierra la nota.,true
PSQ-0684,PSQ-0735,Sorbete ensobrado + vaso 110 cc: vaso y pajita para la barra.,true
PSQ-0751,PSQ-0561,Vaso térmico + porta vasos: el café para llevar no se cae.,true
PSQ-0014,PSQ-0271,Alguicida + cloro 10 L: mantenimiento de pileta de la semana.,true
PSQ-0012,PSQ-0435,Alcohol en gel 1 L + jabón de manos: higiene de mostrador.,true
