pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587120001,Ferretería Banda Norte,2026-05-30 08:00:00,confirmado,31097.10,Pedido historico mock - Ferretería Banda Norte,true,false,2
P-00002,25001,5493587120001,Ferretería Banda Norte,2026-06-16 09:19:07,entregado,385585.88,Pedido historico mock - Ferretería Banda Norte,true,false,2
P-00003,25001,5493587120001,Ferretería Banda Norte,2026-07-03 10:38:14,facturado,2418.42,Pedido historico mock - Ferretería Banda Norte,true,false,2
P-00004,25002,5493587120002,Casa de Limpieza Don Héctor,2026-06-06 11:11:23,entregado,17663.86,Pedido historico mock - Casa de Limpieza Don Héctor,true,false,3
P-00005,25002,5493587120002,Casa de Limpieza Don Héctor,2026-06-23 12:30:30,facturado,80010.03,Pedido historico mock - Casa de Limpieza Don Héctor,true,false,3
P-00006,25002,5493587120002,Casa de Limpieza Don Héctor,2026-07-10 13:49:37,confirmado,131212.07,Pedido historico mock - Casa de Limpieza Don Héctor,true,false,3
P-00007,25003,5493587120003,Súper Chang Las Higueras,2026-06-13 14:22:46,facturado,57216.36,Pedido historico mock - Súper Chang Las Higueras,true,false,4
P-00008,25003,5493587120003,Súper Chang Las Higueras,2026-06-30 15:41:53,confirmado,5204.13,Pedido historico mock - Súper Chang Las Higueras,true,false,4
P-00009,25003,5493587120003,Súper Chang Las Higueras,2026-07-17 16:00:00,entregado,50228.98,Pedido historico mock - Súper Chang Las Higueras,true,false,4
P-00010,25004,5493587120004,Minimercado El Cruce,2026-06-20 17:33:09,confirmado,40272.40,Pedido historico mock - Minimercado El Cruce,true,false,1
P-00011,25004,5493587120004,Minimercado El Cruce,2026-07-07 08:52:16,entregado,34623.11,Pedido historico mock - Minimercado El Cruce,true,false,1
P-00012,25004,5493587120004,Minimercado El Cruce,2026-07-24 09:11:23,facturado,8343.36,Pedido historico mock - Minimercado El Cruce,true,false,1
P-00013,25005,5493587120005,Distribuidora Sur Córdoba,2026-06-27 10:44:32,entregado,48147.22,Pedido historico mock - Distribuidora Sur Córdoba,true,false,2
P-00014,25005,5493587120005,Distribuidora Sur Córdoba,2026-07-14 11:03:39,facturado,252397.09,Pedido historico mock - Distribuidora Sur Córdoba,true,false,2
P-00015,25005,5493587120005,Distribuidora Sur Córdoba,2026-07-31 12:22:46,confirmado,83766.69,Pedido historico mock - Distribuidora Sur Córdoba,true,false,2
P-00016,25006,5493587120006,Ferretería Alberdi,2026-07-04 13:55:55,facturado,30672.42,Pedido historico mock - Ferretería Alberdi,true,false,3
P-00017,25006,5493587120006,Ferretería Alberdi,2026-07-21 14:14:02,confirmado,115719.20,Pedido historico mock - Ferretería Alberdi,true,false,3
P-00018,25006,5493587120006,Ferretería Alberdi,2026-08-07 15:33:09,entregado,32845.40,Pedido historico mock - Ferretería Alberdi,true,false,3
P-00019,25007,5493587120007,Autoservicio SUNDE Centro,2026-07-11 16:06:18,confirmado,88386.23,Pedido historico mock - Autoservicio SUNDE Centro,true,false,4
P-00020,25007,5493587120007,Autoservicio SUNDE Centro,2026-07-28 17:25:25,entregado,18387.84,Pedido historico mock - Autoservicio SUNDE Centro,true,false,4
P-00021,25007,5493587120007,Autoservicio SUNDE Centro,2026-08-14 08:44:32,facturado,79160.38,Pedido historico mock - Autoservicio SUNDE Centro,true,false,4
P-00022,25008,5493587120008,Casa de Artículos El Lampazo,2026-07-18 09:17:41,entregado,1998.75,Pedido historico mock - Casa de Artículos El Lampazo,true,false,1
P-00023,25008,5493587120008,Casa de Artículos El Lampazo,2026-08-04 10:36:48,facturado,103681.48,Pedido historico mock - Casa de Artículos El Lampazo,true,false,1
P-00024,25008,5493587120008,Casa de Artículos El Lampazo,2026-08-21 11:55:55,confirmado,98200.08,Pedido historico mock - Casa de Artículos El Lampazo,true,false,1
P-00025,25009,5493587120009,Súper Chino Av. Italia,2026-07-25 12:28:04,facturado,41096.14,Pedido historico mock - Súper Chino Av. Italia,true,false,2
P-00026,25009,5493587120009,Súper Chino Av. Italia,2026-08-11 13:47:11,confirmado,48132.25,Pedido historico mock - Súper Chino Av. Italia,true,false,2
P-00027,25009,5493587120009,Súper Chino Av. Italia,2026-08-28 14:06:18,entregado,59302.27,Pedido historico mock - Súper Chino Av. Italia,true,false,2
P-00028,25010,5493587120010,Revendedor Holmberg,2026-08-01 15:39:27,confirmado,4606.76,Pedido historico mock - Revendedor Holmberg,true,false,3
P-00029,25010,5493587120010,Revendedor Holmberg,2026-08-18 16:58:34,entregado,52471.80,Pedido historico mock - Revendedor Holmberg,true,false,3
P-00030,25010,5493587120010,Revendedor Holmberg,2026-06-04 17:17:41,facturado,40613.71,Pedido historico mock - Revendedor Holmberg,true,false,3
P-00031,25011,5493587120011,Ferretería Barrio Industrial,2026-08-08 08:50:50,entregado,9562.77,Pedido historico mock - Ferretería Barrio Industrial,true,false,4
P-00032,25011,5493587120011,Ferretería Barrio Industrial,2026-08-25 09:09:57,facturado,50435.70,Pedido historico mock - Ferretería Barrio Industrial,true,false,4
P-00033,25011,5493587120011,Ferretería Barrio Industrial,2026-06-11 10:28:04,confirmado,50539.47,Pedido historico mock - Ferretería Barrio Industrial,true,false,4
P-00034,25012,5493587120012,Minimercado Banda Sur,2026-08-15 11:01:13,facturado,63865.70,Pedido historico mock - Minimercado Banda Sur,true,false,1
P-00035,25012,5493587120012,Minimercado Banda Sur,2026-06-01 12:20:20,confirmado,102477.24,Pedido historico mock - Minimercado Banda Sur,true,false,1
P-00036,25012,5493587120012,Minimercado Banda Sur,2026-06-18 13:39:27,entregado,142669.75,Pedido historico mock - Minimercado Banda Sur,true,false,1
P-00037,25013,5493587120013,Casa de Limpieza La Escoba,2026-08-22 14:12:36,confirmado,76993.50,Pedido historico mock - Casa de Limpieza La Escoba,true,false,2
P-00038,25013,5493587120013,Casa de Limpieza La Escoba,2026-06-08 15:31:43,entregado,244220.80,Pedido historico mock - Casa de Limpieza La Escoba,true,false,2
P-00039,25013,5493587120013,Casa de Limpieza La Escoba,2026-06-25 16:50:50,facturado,72800.15,Pedido historico mock - Casa de Limpieza La Escoba,true,false,2
P-00040,25014,5493587120014,Distribuidora San Luis Ruta,2026-08-29 17:23:59,entregado,70000.16,Pedido historico mock - Distribuidora San Luis Ruta,true,false,3
P-00041,25014,5493587120014,Distribuidora San Luis Ruta,2026-06-15 08:42:06,facturado,6109.26,Pedido historico mock - Distribuidora San Luis Ruta,true,false,3
P-00042,25014,5493587120014,Distribuidora San Luis Ruta,2026-07-02 09:01:13,confirmado,26626.77,Pedido historico mock - Distribuidora San Luis Ruta,true,false,3
P-00043,25015,5493587120015,Súper Chang Barrio Jardín,2026-06-05 10:34:22,facturado,11450.18,Pedido historico mock - Súper Chang Barrio Jardín,true,false,4
P-00044,25015,5493587120015,Súper Chang Barrio Jardín,2026-06-22 11:53:29,confirmado,109346.35,Pedido historico mock - Súper Chang Barrio Jardín,true,false,4
P-00045,25015,5493587120015,Súper Chang Barrio Jardín,2026-07-09 12:12:36,entregado,4596.96,Pedido historico mock - Súper Chang Barrio Jardín,true,false,4
P-00046,25016,5493587120016,Ferretería Don Santos,2026-06-12 13:45:45,confirmado,5408.19,Pedido historico mock - Ferretería Don Santos,true,false,1
P-00047,25016,5493587120016,Ferretería Don Santos,2026-06-29 14:04:52,entregado,144038.07,Pedido historico mock - Ferretería Don Santos,true,false,1
P-00048,25016,5493587120016,Ferretería Don Santos,2026-07-16 15:23:59,facturado,56623.15,Pedido historico mock - Ferretería Don Santos,true,false,1
