schema,product_code,nombre,score,shared,tokin_ref,tokin_name,tokin_brand,image_url,grams_src,grams_tok
almaro,11894,SALADIX PIZZA NAPO 8X6X27G,6,pizza|saladix,ARC-1012489,Saladix Cross Pizza 27gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/175566/1012489detail.jpg?v=638308269340630000,[27.0],[27.0]
almaro,11895,SALADIX PIZZA GOURME 8X6X27G,6,pizza|saladix,ARC-1012489,Saladix Cross Pizza 27gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/175566/1012489detail.jpg?v=638308269340630000,[27.0],[27.0]
almaro,10496,POSTRE TOFI 12 X 637G,6,postre|tofi,ARC-1012186,Postre Helado Tofi 637gr.,Helados Tofi,https://tokin.vtexassets.com/arquivos/ids/175746/1012186detail.jpg?v=638309147405500000,[637.0],[637.0]
almaro,10529,JALEA MEMBRILLO BC 12X390GR,7,jalea|membrillo,ARC-1013161,Jalea de Membrillo BC 390gr.,BC,https://tokin.vtexassets.com/arquivos/ids/166793/1013161detail.jpg?v=638242587781330000,[390.0],[390.0]
almaro,11805,MOGUL MORAS CRAZY 24X150 GRS,6,mogul|moras,ARC-1002594,Mogul Moras 150gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174935/1002594detail.jpg?v=638303034431430000,[150.0],[150.0]
almaro,1340,FLAN CHOCOLATE * 100 GRS GODET,7,chocolate|godet,ARC-1003222,Chocolate taza Águila 100gr.,Godet,https://tokin.vtexassets.com/arquivos/ids/175544/1003222detail.jpg?v=638308244996830000,[100.0],[100.0]
almaro,1675,HUEVO TOYS MUNDIAL 12 * 22 GRS,6,huevo|toys,ARC-1013394,Huevo Arcor Toys 22gr.,Toys,https://tokin.vtexassets.com/arquivos/ids/155667/1013394_detail.jpg?v=637813042487230000,[22.0],[22.0]
almaro,5856,CHOCO. BLANCO ARCOR  20X40X8 GR,7,arcor|blanco,ARC-1013069,Chocolatín Arcor blanco 8gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/240218/1013069-detail.jpg?v=638715050162570000,[8.0],[8.0]
almaro,6167,FRUTALES MOGUL 12*50 G.,6,frutales|mogul,ARC-1013012,Mogul Frutales 50gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/166608/1013012detail.jpg?v=638242587142800000,[50.0],[50.0]
almaro,6824,GELATINA CEREZA LIGHT * 30 GRS,7,cereza|gelatina,ARC-1011094,Gelatina Godet cereza 30gr.,Godet,https://tokin.vtexassets.com/arquivos/ids/155604/1011094_detail.jpg?v=637813042345200000,[30.0],[30.0]
almaro,9964,ALFAJOR B&N BLANCO 36X50G,7,alfajor|blanco,ARC-1014118,Alfajor B&N blanco 50gr.,BYN,https://tokin.vtexassets.com/arquivos/ids/240226/1014118-detail.jpg?v=638715054361770000,[50.0],[50.0]
almaro,7897,BOMBON COFLER BLOCK,7,block|bombon|cofler,ARC-1013056,Bombón Cofler Block 16gr.,Cofler Block,https://tokin.vtexassets.com/arquivos/ids/165614/1013056detail.jpg?v=638242578227170000,[],[16.0]
almaro,501530,LATA BAGLEY 150 AÑOS,6,anos|bagley|lata,ARC-1014878,Lata Aniversario 160 Años Surtido Bagley x 3un.,Surtido Bagley,https://tokin.vtexassets.com/arquivos/ids/227514/181753-1600-auto.png?v=638622635200770000,[],[]
almaro,715PT0100105,Yerba Mate ROJO Selección E 1kg,10,mate|rojo|seleccion|yerba,MOL-715PT0100105,Yerba Mate Rojo Selección Especial 1kg.,Mate Rojo,https://tokin.vtexassets.com/arquivos/ids/224026/Mate-Rojo-Especial-1Kg.jpg?v=638599281391530000,[1000.0],[1000.0]
almaro,715PT0100103,Yerba Mate ROJO Selección E 500gr,10,500gr|mate|rojo|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,715PT0120101,Yerba Mate ROJO Suave 500g,10,mate|rojo|suave|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,715PT1000103,Yerba Mate ROJO Terere 500g,8,mate|rojo|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
